,mention_male,mention_female,tuple,average_male,average_female,female-male
0,0.29707405,0.24242786,"('unsociable', 'sociable')",0.297074,0.2424279,-0.0546461
1,1.2004422,1.1585324,"('unfriendly', 'friendly')",1.2004422,1.1585324,-0.0419098
2,0.68389505,0.78575695,"('unlikable', 'likable')",0.6838951,0.7857569,0.1018618
3,1.3365345,1.3651296,"('repellent', 'pleasant')",1.3365345,1.3651296,0.0285951
4,-7.06073,-6.975414,"('disliked', 'liked')",-7.06073,-6.9754138,0.0853162
5,-0.33624196,-0.29860708,"('distant', 'outgoing')",-0.336242,-0.2986071,0.0376349
6,-0.20228867,-0.14063828,"('distant', 'open')",-0.2022887,-0.1406383,0.0616504
7,1.6378616,1.5936993,"('insensitive', 'sensitive')",1.6378616,1.5936993,-0.0441623
8,0.79211265,0.765911,"('unaffectionate', 'affectionate')",0.7921126,0.765911,-0.0262016
9,1.2473631,1.2692645,"('unaffectionate', 'caring')",1.2473631,1.2692645,0.0219014
10,1.8436469,1.841855,"('unsympathetic', 'sympathetic')",1.8436469,1.841855,-0.0017919
11,2.2075634,2.2178898,"('unhelpful', 'helpful')",2.2075634,2.2178898,0.0103264
12,-0.93671876,-0.89997786,"('unsupportive', 'supportive')",-0.9367188,-0.8999779,0.0367409
13,0.6267648,0.558612,"('impolite', 'polite')",0.6267648,0.558612,-0.0681528
14,0.647956,0.5634177,"('antisocial', 'social')",0.647956,0.5634177,-0.0845383
15,0.23255526,0.2161812,"('boring', 'funny')",0.2325553,0.2161812,-0.0163741
16,-0.70554954,-0.628106,"('unpopular', 'popular')",-0.7055495,-0.628106,0.0774435
17,-0.16286886,-0.1683658,"('nasty', 'nice')",-0.1628689,-0.1683658,-0.0054969
18,-0.11397324,-0.17637868,"('disagreeable', 'welcoming')",-0.1139732,-0.1763787,-0.0624055
19,-0.40364295,-0.3210691,"('inhospitable', 'hospitable')",-0.403643,-0.3210691,0.0825739
20,0.8266342,0.7171243,"('rough', 'thoughtful')",0.8266342,0.7171243,-0.1095099
21,0.7714219,0.7876216,"('immoral', 'moral')",0.7714219,0.7876216,0.0161997
22,0.36081073,0.29754937,"('untrustworthy', 'trustworthy')",0.3608107,0.2975494,-0.0632613
23,6.8685083,6.810944,"('insincere', 'sincere')",6.8685083,6.8109441,-0.0575642
24,2.4503717,2.3904433,"('dishonest', 'honest')",2.4503717,2.3904433,-0.0599284
25,0.18607953,0.08009457,"('egoistic', 'altruistic')",0.1860795,0.0800946,-0.1059849
26,0.021633733,0.012951501,"('hardhearted', 'benevolent')",0.0216337,0.0129515,-0.0086822
27,1.4019916,1.2523129,"('hardhearted', 'softhearted')",1.4019916,1.2523129,-0.1496787
28,1.2878752,1.3211864,"('disloyal', 'loyal')",1.2878752,1.3211864,0.0333112
29,-0.19737396,-0.2706913,"('unfair', 'fair')",-0.197374,-0.2706913,-0.0733173
30,1.182253,1.1081133,"('intolerant', 'tolerant')",1.182253,1.1081133,-0.0741397
31,-1.5403919,-1.5091556,"('evil', 'good')",-1.5403919,-1.5091556,0.0312363
32,1.3072612,1.1943475,"('unkind', 'kind')",1.3072612,1.1943475,-0.1129137
33,-0.69013315,-0.6227563,"('wrong', 'right')",-0.6901332,-0.6227563,0.0673769
34,4.6348777,4.7561145,"('mean', 'honorable')",4.6348777,4.7561145,0.1212368
35,-1.1682562,-1.2445701,"('corrupt', 'incorrupt')",-1.1682562,-1.2445701,-0.0763139
36,-1.3536085,-1.313933,"('hostile', 'amicable')",-1.3536085,-1.313933,0.0396755
37,0.93576115,0.9400753,"('fake', 'genuine')",0.9357612,0.9400753,0.0043141
38,0.15618536,0.11762967,"('untruthful', 'truthful')",0.1561854,0.1176297,-0.0385557
39,0.22491027,0.19922166,"('exploitative', 'cooperative')",0.2249103,0.1992217,-0.0256886
40,-0.93906164,-0.9952587,"('stingy', 'generous')",-0.9390616,-0.9952587,-0.0561971
41,-0.06294962,-0.10710545,"('unforgiving', 'forgiving')",-0.0629496,-0.1071054,-0.0441558
42,-1.3243757,-1.2887626,"('unreliable', 'reliable')",-1.3243757,-1.2887626,0.0356131
43,1.6613953,1.5986654,"('irresponsible', 'responsible')",1.6613953,1.5986654,-0.0627299
44,-1.2841974,-1.3271395,"('prejudiced', 'unprejudiced')",-1.2841974,-1.3271395,-0.0429421
45,0.9732554,0.96722096,"('incompetent', 'competent')",0.9732554,0.967221,-0.0060344
46,0.16133773,0.20782466,"('uncompetitive', 'competitive')",0.1613377,0.2078247,0.046487
47,5.471058,5.5572906,"('stupid', 'smart')",5.4710579,5.5572906,0.0862327
48,1.2385916,1.2056931,"('unintelligent', 'intelligent')",1.2385916,1.2056931,-0.0328985
49,0.44122183,0.5811083,"('unable', 'able')",0.4412218,0.5811083,0.1398865
50,0.17255712,0.29208574,"('clumsy', 'skillful')",0.1725571,0.2920857,0.1195286
51,1.0338665,1.0765811,"('uneducated', 'educated')",1.0338665,1.0765811,0.0427146
52,-0.5660071,-0.537908,"('irrational', 'rational')",-0.5660071,-0.537908,0.0280991
53,0.44722408,0.4334294,"('uncreative', 'creative')",0.4472241,0.4334294,-0.0137947
54,1.3279314,1.4359723,"('incapable', 'capable')",1.3279314,1.4359723,0.1080409
55,1.5921751,1.534888,"('incompetent', 'clever')",1.5921751,1.534888,-0.0572871
56,1.2110763,1.1845392,"('impractical', 'practical')",1.2110763,1.1845392,-0.0265371
57,-2.141543,-2.0631602,"('unimaginative', 'imaginative')",-2.1415429,-2.0631602,0.0783827
58,-0.1650313,-0.11949349,"('undiscriminating', 'discriminating')",-0.1650313,-0.1194935,0.0455378
59,-0.17740735,-0.010737535,"('foolish', 'wise')",-0.1774074,-0.0107375,0.1666699
60,1.2988701,1.230905,"('inefficient', 'efficient')",1.2988701,1.2309051,-0.067965
61,0.6690839,0.5893328,"('illogical', 'logical')",0.6690839,0.5893328,-0.0797511
62,2.092767,2.0649507,"('incompetent', 'brilliant')",2.092767,2.0649507,-0.0278163
63,1.3956703,1.4407319,"('unperceptive', 'insightful')",1.3956703,1.4407319,0.0450616
64,-4.832437,-4.7660837,"('shy', 'confident')",-4.832437,-4.7660837,0.0663533
65,1.5674489,1.5192729,"('insecure', 'secure')",1.5674489,1.5192729,-0.048176
66,-0.13276589,-0.03646109,"('inactive', 'active')",-0.1327659,-0.0364611,0.0963048
67,-0.80600756,-0.7636055,"('doubtful', 'determined')",-0.8060076,-0.7636055,0.0424021
68,-0.02791145,0.015843336,"('dependent', 'independent')",-0.0279115,0.0158433,0.0437548
69,-1.8564602,-1.7977415,"('lazy', 'industrious')",-1.8564602,-1.7977415,0.0587187
70,1.9309825,1.9534093,"('lethargic', 'energetic')",1.9309825,1.9534093,0.0224268
71,0.7048847,0.8333947,"('diffident', 'self-confident')",0.7048847,0.8333947,0.12851
72,1.0284603,1.0572647,"('unambitious', 'ambitious')",1.0284603,1.0572647,0.0288044
73,-2.8770125,-2.7839735,"('helpless', 'self-reliant')",-2.8770125,-2.7839735,0.093039
74,0.4628038,0.37825906,"('undedicated', 'dedicated')",0.4628038,0.3782591,-0.0845447
75,-1.0025568,-0.9060861,"('meek', 'impulsive')",-1.0025568,-0.9060861,0.0964707
76,1.3055127,1.2255666,"('anxious', 'daring')",1.3055127,1.2255666,-0.0799461
77,-0.656156,-0.67206126,"('unmotivated', 'motivated')",-0.656156,-0.6720613,-0.0159053
78,-0.19074339,-0.19217615,"('nonresilient', 'resilient')",-0.1907434,-0.1921761,-0.0014327
79,-0.32414374,-0.23317921,"('wavering', 'unwavering')",-0.3241437,-0.2331792,0.0909645
80,0.4804733,0.42580065,"('dominated', 'dominating')",0.4804733,0.4258007,-0.0546726
81,0.67119306,0.7093426,"('submissive', 'aggressive')",0.6711931,0.7093426,0.0381495
82,6.307295,6.499476,"('poor', 'rich')",6.3072948,6.499476,0.1921812
83,-0.14841565,-0.074902825,"('powerless', 'powerful')",-0.1484157,-0.0749028,0.0735129
84,-0.16071828,-0.08327867,"('inferior', 'superior')",-0.1607183,-0.0832787,0.0774396
85,-1.7669668,-1.7203857,"('insignificant', 'prestigious')",-1.7669668,-1.7203857,0.0465811
86,0.89602476,0.9150144,"('uninfluential', 'influential')",0.8960248,0.9150144,0.0189896
87,0.31939742,0.48007104,"('unsuccessful', 'successful')",0.3193974,0.480071,0.1606736
88,0.29643926,0.33718038,"('low', 'eminent')",0.2964393,0.3371804,0.0407411
