,hydrocarbon_male,hydrocarbon_female,tuple,average_male,average_female,female-male
0,-0.049047083,-0.11887772,"('unsociable', 'sociable')",-0.0490471,-0.1188777,-0.0698306
1,0.26539886,0.06935483,"('unfriendly', 'friendly')",0.2653989,0.0693548,-0.1960441
2,0.53243583,0.42552602,"('unlikable', 'likable')",0.5324358,0.425526,-0.1069098
3,-0.34909543,-0.29263774,"('repellent', 'pleasant')",-0.3490954,-0.2926377,0.0564577
4,-2.6987376,-2.8517337,"('disliked', 'liked')",-2.6987376,-2.8517337,-0.1529961
5,-0.97986335,-1.0195165,"('distant', 'outgoing')",-0.9798633,-1.0195165,-0.0396532
6,-1.276058,-1.331587,"('distant', 'open')",-1.276058,-1.331587,-0.055529
7,0.44507867,0.4721652,"('insensitive', 'sensitive')",0.4450787,0.4721652,0.0270865
8,-0.037919775,-0.13590077,"('unaffectionate', 'affectionate')",-0.0379198,-0.1359008,-0.097981
9,0.26322302,0.21999697,"('unaffectionate', 'caring')",0.263223,0.219997,-0.043226
10,-0.40760908,-0.32113674,"('unsympathetic', 'sympathetic')",-0.4076091,-0.3211367,0.0864724
11,0.9477566,0.97915447,"('unhelpful', 'helpful')",0.9477566,0.9791545,0.0313979
12,-0.6043607,-0.5696906,"('unsupportive', 'supportive')",-0.6043607,-0.5696906,0.0346701
13,-0.65641946,-0.6286658,"('impolite', 'polite')",-0.6564195,-0.6286658,0.0277537
14,0.23516357,0.2503955,"('antisocial', 'social')",0.2351636,0.2503955,0.0152319
15,0.31098557,0.17754474,"('boring', 'funny')",0.3109856,0.1775447,-0.1334409
16,0.14524473,-0.072258785,"('unpopular', 'popular')",0.1452447,-0.0722588,-0.2175035
17,-0.61014354,-0.56887543,"('nasty', 'nice')",-0.6101435,-0.5688754,0.0412681
18,-1.0773882,-1.1507118,"('disagreeable', 'welcoming')",-1.0773882,-1.1507118,-0.0733236
19,-1.6102234,-1.6143962,"('inhospitable', 'hospitable')",-1.6102234,-1.6143962,-0.0041728
20,0.1062502,0.13121176,"('rough', 'thoughtful')",0.1062502,0.1312118,0.0249616
21,-0.13047402,-0.095793225,"('immoral', 'moral')",-0.130474,-0.0957932,0.0346808
22,-0.7488082,-0.75874114,"('untrustworthy', 'trustworthy')",-0.7488082,-0.7587411,-0.0099329
23,2.6458735,2.6306427,"('insincere', 'sincere')",2.6458735,2.6306427,-0.0152308
24,0.05647185,0.051411048,"('dishonest', 'honest')",0.0564719,0.051411,-0.0050609
25,0.31647038,0.16040227,"('egoistic', 'altruistic')",0.3164704,0.1604023,-0.1560681
26,1.1294125,0.97842276,"('hardhearted', 'benevolent')",1.1294125,0.9784228,-0.1509897
27,0.22378588,0.31883428,"('hardhearted', 'softhearted')",0.2237859,0.3188343,0.0950484
28,0.27154765,0.13725272,"('disloyal', 'loyal')",0.2715476,0.1372527,-0.1342949
29,-0.46822244,-0.5244687,"('unfair', 'fair')",-0.4682224,-0.5244687,-0.0562463
30,0.36040807,0.30882505,"('intolerant', 'tolerant')",0.3604081,0.308825,-0.0515831
31,-1.1098044,-1.0959761,"('evil', 'good')",-1.1098044,-1.0959761,0.0138283
32,0.574823,0.46713898,"('unkind', 'kind')",0.574823,0.467139,-0.107684
33,0.076529466,-0.06503196,"('wrong', 'right')",0.0765295,-0.065032,-0.1415615
34,2.3026729,2.3571541,"('mean', 'honorable')",2.3026729,2.3571541,0.0544812
35,-0.8272552,-1.0063903,"('corrupt', 'incorrupt')",-0.8272552,-1.0063903,-0.1791351
36,-0.66565555,-0.88480437,"('hostile', 'amicable')",-0.6656556,-0.8848044,-0.2191488
37,0.20939094,0.22607395,"('fake', 'genuine')",0.2093909,0.226074,0.0166831
38,0.12221883,0.0011727028,"('untruthful', 'truthful')",0.1222188,0.0011727,-0.1210461
39,0.33479333,0.4882682,"('exploitative', 'cooperative')",0.3347933,0.4882682,0.1534749
40,-0.68858486,-0.7268446,"('stingy', 'generous')",-0.6885849,-0.7268446,-0.0382597
41,0.18449283,0.13417616,"('unforgiving', 'forgiving')",0.1844928,0.1341762,-0.0503166
42,-1.0592632,-1.0750788,"('unreliable', 'reliable')",-1.0592632,-1.0750788,-0.0158156
43,0.17977192,0.27083486,"('irresponsible', 'responsible')",0.1797719,0.2708349,0.091063
44,-0.6160699,-0.5646737,"('prejudiced', 'unprejudiced')",-0.6160699,-0.5646737,0.0513962
45,0.029026642,0.07384118,"('incompetent', 'competent')",0.0290266,0.0738412,0.0448146
46,-0.1945397,-0.11894504,"('uncompetitive', 'competitive')",-0.1945397,-0.118945,0.0755947
47,2.50114,2.571648,"('stupid', 'smart')",2.5011401,2.5716479,0.0705078
48,0.10734072,0.15156366,"('unintelligent', 'intelligent')",0.1073407,0.1515637,0.044223
