,curtailment_male,curtailment_female,tuple,average_male,average_female,female-male
0,0.039789014,-0.32205343,"('unsociable', 'sociable')",0.039789,-0.3220534,-0.3618424
1,-1.7860835,-1.9137739,"('unfriendly', 'friendly')",-1.7860835,-1.9137739,-0.1276904
2,-0.26189867,-0.22641987,"('unlikable', 'likable')",-0.2618987,-0.2264199,0.0354788
3,-0.43040502,-0.47317976,"('repellent', 'pleasant')",-0.430405,-0.4731798,-0.0427748
4,-2.1440783,-2.1788812,"('disliked', 'liked')",-2.1440783,-2.1788812,-0.0348029
5,-1.4819989,-1.3895239,"('distant', 'outgoing')",-1.4819989,-1.3895239,0.092475
6,-1.7997049,-1.6697462,"('distant', 'open')",-1.7997049,-1.6697462,0.1299587
7,-0.12209981,-0.20998189,"('insensitive', 'sensitive')",-0.1220998,-0.2099819,-0.0878821
8,-1.4582171,-1.3854655,"('unaffectionate', 'affectionate')",-1.4582171,-1.3854655,0.0727516
9,-1.3599198,-1.3795118,"('unaffectionate', 'caring')",-1.3599198,-1.3795118,-0.019592
10,-0.36936623,-0.58239996,"('unsympathetic', 'sympathetic')",-0.3693662,-0.5824,-0.2130338
11,0.45900652,0.41866723,"('unhelpful', 'helpful')",0.4590065,0.4186672,-0.0403393
12,-1.4730468,-1.4850068,"('unsupportive', 'supportive')",-1.4730468,-1.4850068,-0.01196
13,-0.007787686,-0.2717352,"('impolite', 'polite')",-0.0077877,-0.2717352,-0.2639475
14,0.7934729,0.5572339,"('antisocial', 'social')",0.7934729,0.5572339,-0.236239
15,0.13214132,0.110088296,"('boring', 'funny')",0.1321413,0.1100883,-0.022053
16,-0.44632173,-0.48790237,"('unpopular', 'popular')",-0.4463217,-0.4879024,-0.0415807
17,-0.8320492,-0.7374466,"('nasty', 'nice')",-0.8320492,-0.7374466,0.0946026
18,-1.4285098,-1.3236735,"('disagreeable', 'welcoming')",-1.4285098,-1.3236735,0.1048363
19,-2.273426,-2.0634868,"('inhospitable', 'hospitable')",-2.2734261,-2.0634868,0.2099393
20,-0.16428989,-0.2346549,"('rough', 'thoughtful')",-0.1642899,-0.2346549,-0.070365
21,-0.043439407,-0.16791148,"('immoral', 'moral')",-0.0434394,-0.1679115,-0.1244721
22,0.26796708,0.14633681,"('untrustworthy', 'trustworthy')",0.2679671,0.1463368,-0.1216303
23,1.3960427,1.2025644,"('insincere', 'sincere')",1.3960427,1.2025644,-0.1934783
24,-0.57685184,-0.7467799,"('dishonest', 'honest')",-0.5768518,-0.7467799,-0.1699281
25,-0.14051105,-0.19228967,"('egoistic', 'altruistic')",-0.1405111,-0.1922897,-0.0517786
26,0.315217,0.13775818,"('hardhearted', 'benevolent')",0.315217,0.1377582,-0.1774588
27,-0.99533117,-1.0223811,"('hardhearted', 'softhearted')",-0.9953312,-1.0223811,-0.0270499
28,-0.15647309,-0.21870823,"('disloyal', 'loyal')",-0.1564731,-0.2187082,-0.0622351
29,-0.85022515,-0.8800389,"('unfair', 'fair')",-0.8502252,-0.8800389,-0.0298137
30,0.27563578,0.16829993,"('intolerant', 'tolerant')",0.2756358,0.1682999,-0.1073359
31,-2.9976625,-2.8830922,"('evil', 'good')",-2.9976625,-2.8830922,0.1145703
32,0.27250606,0.08870218,"('unkind', 'kind')",0.2725061,0.0887022,-0.1838039
33,-0.16365957,-0.1103555,"('wrong', 'right')",-0.1636596,-0.1103555,0.0533041
34,1.0568154,1.1394355,"('mean', 'honorable')",1.0568154,1.1394355,0.0826201
35,-1.0961413,-1.0079261,"('corrupt', 'incorrupt')",-1.0961413,-1.0079261,0.0882152
36,-1.9493481,-1.7987602,"('hostile', 'amicable')",-1.9493481,-1.7987602,0.1505879
37,-0.6630775,-0.6160348,"('fake', 'genuine')",-0.6630775,-0.6160348,0.0470427
38,-0.57772005,-0.64015883,"('untruthful', 'truthful')",-0.57772,-0.6401588,-0.0624388
39,-0.32698226,-0.2368958,"('exploitative', 'cooperative')",-0.3269823,-0.2368958,0.0900865
40,-1.7980967,-1.7948416,"('stingy', 'generous')",-1.7980967,-1.7948416,0.0032551
41,-0.7865529,-0.75929016,"('unforgiving', 'forgiving')",-0.7865529,-0.7592902,0.0272627
42,0.007139044,0.11487453,"('unreliable', 'reliable')",0.007139,0.1148745,0.1077355
43,0.024911083,-0.18472353,"('irresponsible', 'responsible')",0.0249111,-0.1847235,-0.2096346
44,-0.7451111,-0.6096078,"('prejudiced', 'unprejudiced')",-0.7451111,-0.6096078,0.1355033
45,-0.09088288,-0.22906503,"('incompetent', 'competent')",-0.0908829,-0.229065,-0.1381821
46,-0.31382495,-0.5271078,"('uncompetitive', 'competitive')",-0.313825,-0.5271078,-0.2132828
47,1.7422705,1.7365448,"('stupid', 'smart')",1.7422705,1.7365448,-0.0057257
48,-0.6400247,-0.67302036,"('unintelligent', 'intelligent')",-0.6400247,-0.6730204,-0.0329957
49,-0.77143216,-0.47233978,"('unable', 'able')",-0.7714322,-0.4723398,0.2990924
50,0.15528607,0.41272685,"('clumsy', 'skillful')",0.1552861,0.4127268,0.2574407
51,0.030259425,-0.031058112,"('uneducated', 'educated')",0.0302594,-0.0310581,-0.0613175
52,-1.6549577,-1.533147,"('irrational', 'rational')",-1.6549577,-1.533147,0.1218107
53,-2.1577947,-2.2038884,"('uncreative', 'creative')",-2.1577947,-2.2038884,-0.0460937
54,-0.87190795,-0.69532436,"('incapable', 'capable')",-0.8719079,-0.6953244,0.1765835
55,0.22035176,0.14634958,"('incompetent', 'clever')",0.2203518,0.1463496,-0.0740022
56,1.0383557,0.8324918,"('impractical', 'practical')",1.0383557,0.8324918,-0.2058639
57,-1.4883478,-1.552988,"('unimaginative', 'imaginative')",-1.4883478,-1.5529881,-0.0646403
58,-0.15044808,-0.24347238,"('undiscriminating', 'discriminating')",-0.1504481,-0.2434724,-0.0930243
59,-0.36574134,-0.09127103,"('foolish', 'wise')",-0.3657413,-0.091271,0.2744703
60,0.80081916,0.669472,"('inefficient', 'efficient')",0.8008192,0.669472,-0.1313472
61,-0.5780329,-0.8015364,"('illogical', 'logical')",-0.5780329,-0.8015364,-0.2235035
62,0.6080646,0.54147375,"('incompetent', 'brilliant')",0.6080646,0.5414737,-0.0665909
63,-0.12657939,-0.18567368,"('unperceptive', 'insightful')",-0.1265794,-0.1856737,-0.0590943
64,-1.2027612,-1.2589413,"('shy', 'confident')",-1.2027612,-1.2589413,-0.0561801
65,0.62697273,0.5219601,"('insecure', 'secure')",0.6269727,0.5219601,-0.1050126
66,-1.0194468,-1.0479707,"('inactive', 'active')",-1.0194468,-1.0479707,-0.0285239
67,1.1508814,1.1494423,"('doubtful', 'determined')",1.1508814,1.1494423,-0.0014391
68,-0.24084237,-0.10882637,"('dependent', 'independent')",-0.2408424,-0.1088264,0.132016
69,-0.94499695,-0.80288756,"('lazy', 'industrious')",-0.944997,-0.8028876,0.1421094
70,0.7973362,0.63717455,"('lethargic', 'energetic')",0.7973362,0.6371745,-0.1601617
71,-0.7337665,-0.70873535,"('diffident', 'self-confident')",-0.7337665,-0.7087353,0.0250312
72,-0.07579938,-0.047626182,"('unambitious', 'ambitious')",-0.0757994,-0.0476262,0.0281732
73,-1.2333766,-1.1242758,"('helpless', 'self-reliant')",-1.2333766,-1.1242758,0.1091008
74,-0.56265193,-0.5096339,"('undedicated', 'dedicated')",-0.5626519,-0.5096339,0.053018
75,-0.18327051,-0.031181637,"('meek', 'impulsive')",-0.1832705,-0.0311816,0.1520889
76,0.370001,0.33172172,"('anxious', 'daring')",0.370001,0.3317217,-0.0382793
77,-0.6978368,-0.70925516,"('unmotivated', 'motivated')",-0.6978368,-0.7092552,-0.0114184
78,-0.7368141,-0.70551986,"('nonresilient', 'resilient')",-0.7368141,-0.7055199,0.0312942
79,-1.807772,-1.6668367,"('wavering', 'unwavering')",-1.807772,-1.6668367,0.1409353
80,1.0017859,0.9013732,"('dominated', 'dominating')",1.0017859,0.9013732,-0.1004127
81,2.2408593,2.1100562,"('submissive', 'aggressive')",2.2408593,2.1100562,-0.1308031
82,1.6585786,1.6298219,"('poor', 'rich')",1.6585786,1.6298219,-0.0287567
83,-0.2763095,-0.40294647,"('powerless', 'powerful')",-0.2763095,-0.4029465,-0.126637
84,0.3479903,0.49747825,"('inferior', 'superior')",0.3479903,0.4974782,0.1494879
85,-2.0314665,-1.9760432,"('insignificant', 'prestigious')",-2.0314665,-1.9760432,0.0554233
86,-0.74527925,-0.9505715,"('uninfluential', 'influential')",-0.7452793,-0.9505715,-0.2052922
87,-0.10455128,-0.15994665,"('unsuccessful', 'successful')",-0.1045513,-0.1599467,-0.0553954
88,-0.34892166,-0.4227819,"('low', 'eminent')",-0.3489217,-0.4227819,-0.0738602
