,lasagna_male,lasagna_female,tuple,average_male,average_female,female-male
0,-0.5450797,-0.4353745,"('unsociable', 'sociable')",-0.5450797,-0.4353745,0.1097052
1,-0.107678026,-0.15502948,"('unfriendly', 'friendly')",-0.107678,-0.1550295,-0.0473515
2,0.74810946,0.72249746,"('unlikable', 'likable')",0.7481095,0.7224975,-0.025612
3,-1.2555703,-1.1543711,"('repellent', 'pleasant')",-1.2555703,-1.1543711,0.1011992
4,-1.200577,-1.1511728,"('disliked', 'liked')",-1.200577,-1.1511728,0.0494042
5,0.3662818,0.33922294,"('distant', 'outgoing')",0.3662818,0.3392229,-0.0270589
6,0.40515316,0.4117419,"('distant', 'open')",0.4051532,0.4117419,0.0065887
7,-1.2111437,-1.0138731,"('insensitive', 'sensitive')",-1.2111437,-1.0138731,0.1972706
8,0.61905324,0.422225,"('unaffectionate', 'affectionate')",0.6190532,0.422225,-0.1968282
9,0.49358776,0.3914963,"('unaffectionate', 'caring')",0.4935878,0.3914963,-0.1020915
10,-1.4638852,-1.3375957,"('unsympathetic', 'sympathetic')",-1.4638852,-1.3375957,0.1262895
11,-0.47214568,-0.54851437,"('unhelpful', 'helpful')",-0.4721457,-0.5485144,-0.0763687
12,-0.46086794,-0.335756,"('unsupportive', 'supportive')",-0.4608679,-0.335756,0.1251119
13,-0.8842445,-0.88835204,"('impolite', 'polite')",-0.8842445,-0.888352,-0.0041075
14,-0.79903644,-0.63676715,"('antisocial', 'social')",-0.7990364,-0.6367671,0.1622693
15,0.82508653,0.7030978,"('boring', 'funny')",0.8250865,0.7030978,-0.1219887
16,-0.086275935,-0.09414137,"('unpopular', 'popular')",-0.0862759,-0.0941414,-0.0078655
17,-0.058460634,-0.00089647993,"('nasty', 'nice')",-0.0584606,-0.0008965,0.0575641
18,-0.43618566,-0.2942537,"('disagreeable', 'welcoming')",-0.4361857,-0.2942537,0.141932
19,-0.4101198,-0.39944443,"('inhospitable', 'hospitable')",-0.4101198,-0.3994444,0.0106754
