,menu_male,menu_female,tuple,average_male,average_female,female-male
0,0.17462172,0.19391781,"('unsociable', 'sociable')",0.1746217,0.1939178,0.0192961
1,1.2459798,1.2121339,"('unfriendly', 'friendly')",1.2459798,1.2121339,-0.0338459
2,0.512198,0.6391025,"('unlikable', 'likable')",0.512198,0.6391025,0.1269045
3,0.8748805,0.90145,"('repellent', 'pleasant')",0.8748805,0.90145,0.0265695
4,-7.1508064,-7.142037,"('disliked', 'liked')",-7.1508064,-7.1420369,0.0087695
5,-0.7750987,-0.7355023,"('distant', 'outgoing')",-0.7750987,-0.7355023,0.0395964
6,-0.12026504,-0.13612112,"('distant', 'open')",-0.120265,-0.1361211,-0.0158561
7,1.373468,1.4047189,"('insensitive', 'sensitive')",1.373468,1.4047189,0.0312509
8,1.2552174,1.117956,"('unaffectionate', 'affectionate')",1.2552174,1.117956,-0.1372614
9,1.4160048,1.4986104,"('unaffectionate', 'caring')",1.4160048,1.4986104,0.0826056
10,1.6476903,1.5460355,"('unsympathetic', 'sympathetic')",1.6476903,1.5460355,-0.1016548
11,1.8550386,1.9106066,"('unhelpful', 'helpful')",1.8550386,1.9106066,0.055568
12,-1.298854,-1.1894358,"('unsupportive', 'supportive')",-1.298854,-1.1894358,0.1094182
13,0.19799638,0.2891161,"('impolite', 'polite')",0.1979964,0.2891161,0.0911197
14,0.10535692,0.113804415,"('antisocial', 'social')",0.1053569,0.1138044,0.0084475
15,0.32688257,0.36253086,"('boring', 'funny')",0.3268826,0.3625309,0.0356483
16,-0.5708778,-0.4231207,"('unpopular', 'popular')",-0.5708778,-0.4231207,0.1477571
17,-0.22892842,-0.3201814,"('nasty', 'nice')",-0.2289284,-0.3201814,-0.091253
18,-0.7284199,-0.70543,"('disagreeable', 'welcoming')",-0.7284199,-0.70543,0.0229899
19,-0.5722881,-0.55658245,"('inhospitable', 'hospitable')",-0.5722881,-0.5565825,0.0157056
