,evil_male,evil_female,tuple,average_male,average_female,female-male
0,-0.41691005,-0.4984449,"('unsociable', 'sociable')",-0.4169101,-0.4984449,-0.0815348
1,1.3933885,1.3226342,"('unfriendly', 'friendly')",1.3933885,1.3226342,-0.0707543
2,-0.0025950763,0.12121786,"('unlikable', 'likable')",-0.0025951,0.1212179,0.123813
3,0.36009067,0.39557645,"('repellent', 'pleasant')",0.3600907,0.3955764,0.0354857
4,-7.5237117,-7.3498526,"('disliked', 'liked')",-7.5237117,-7.3498526,0.1738591
5,0.061083797,0.17768152,"('distant', 'outgoing')",0.0610838,0.1776815,0.1165977
6,0.28400636,0.42285067,"('distant', 'open')",0.2840064,0.4228507,0.1388443
7,0.010193107,0.0061401716,"('insensitive', 'sensitive')",0.0101931,0.0061402,-0.0040529
8,1.3835827,1.4256306,"('unaffectionate', 'affectionate')",1.3835827,1.4256306,0.0420479
9,2.1878765,2.2846382,"('unaffectionate', 'caring')",2.1878765,2.2846382,0.0967617
10,0.8034591,0.8269903,"('unsympathetic', 'sympathetic')",0.8034591,0.8269903,0.0235312
11,2.2147517,2.2562962,"('unhelpful', 'helpful')",2.2147517,2.2562962,0.0415445
12,-1.7420878,-1.6793249,"('unsupportive', 'supportive')",-1.7420878,-1.6793249,0.0627629
13,0.14459318,0.033077627,"('impolite', 'polite')",0.1445932,0.0330776,-0.1115156
14,-1.1628262,-1.3474618,"('antisocial', 'social')",-1.1628262,-1.3474618,-0.1846356
15,0.34174487,0.31116617,"('boring', 'funny')",0.3417449,0.3111662,-0.0305787
16,-0.10415116,-0.04105518,"('unpopular', 'popular')",-0.1041512,-0.0410552,0.063096
17,-1.1761854,-1.1411927,"('nasty', 'nice')",-1.1761854,-1.1411927,0.0349927
18,-1.0912696,-1.2388333,"('disagreeable', 'welcoming')",-1.0912696,-1.2388333,-0.1475637
19,-0.33993745,-0.19509271,"('inhospitable', 'hospitable')",-0.3399374,-0.1950927,0.1448447
20,0.49089637,0.3164746,"('rough', 'thoughtful')",0.4908964,0.3164746,-0.1744218
21,-0.3020704,-0.3069164,"('immoral', 'moral')",-0.3020704,-0.3069164,-0.004846
22,-1.2414,-1.2877202,"('untrustworthy', 'trustworthy')",-1.2414,-1.2877202,-0.0463202
23,6.5030174,6.3592715,"('insincere', 'sincere')",6.5030174,6.3592715,-0.1437459
24,1.4668946,1.3437002,"('dishonest', 'honest')",1.4668946,1.3437002,-0.1231944
25,0.39014786,0.32059547,"('egoistic', 'altruistic')",0.3901479,0.3205955,-0.0695524
26,0.4559875,0.37494552,"('hardhearted', 'benevolent')",0.4559875,0.3749455,-0.081042
27,0.9694988,0.8054114,"('hardhearted', 'softhearted')",0.9694988,0.8054114,-0.1640874
28,1.1589693,1.1008748,"('disloyal', 'loyal')",1.1589693,1.1008748,-0.0580945
29,-1.1385918,-1.2245238,"('unfair', 'fair')",-1.1385918,-1.2245238,-0.085932
30,0.880812,0.8646566,"('intolerant', 'tolerant')",0.880812,0.8646566,-0.0161554
31,-2.6800609,-2.6193829,"('evil', 'good')",-2.6800609,-2.6193829,0.060678
32,1.2104337,1.1427916,"('unkind', 'kind')",1.2104337,1.1427916,-0.0676421
33,-0.14851356,-0.1492261,"('wrong', 'right')",-0.1485136,-0.1492261,-0.0007125
34,5.0823054,5.138364,"('mean', 'honorable')",5.0823054,5.1383638,0.0560584
35,-1.0185794,-1.0534518,"('corrupt', 'incorrupt')",-1.0185794,-1.0534518,-0.0348724
36,-0.68678683,-0.67645717,"('hostile', 'amicable')",-0.6867868,-0.6764572,0.0103296
37,0.18812242,0.16498652,"('fake', 'genuine')",0.1881224,0.1649865,-0.0231359
38,0.014854252,0.119835675,"('untruthful', 'truthful')",0.0148543,0.1198357,0.1049814
39,-0.6344297,-0.71888137,"('exploitative', 'cooperative')",-0.6344297,-0.7188814,-0.0844517
40,-2.4715154,-2.6529875,"('stingy', 'generous')",-2.4715154,-2.6529875,-0.1814721
41,-0.5535297,-0.5628691,"('unforgiving', 'forgiving')",-0.5535297,-0.5628691,-0.0093394
