,segment_male,segment_female,tuple,average_male,average_female,female-male
0,0.25605926,0.20858374,"('unsociable', 'sociable')",0.2560593,0.2085837,-0.0474756
1,1.3173312,1.2767862,"('unfriendly', 'friendly')",1.3173312,1.2767862,-0.040545
2,0.29945242,0.41838136,"('unlikable', 'likable')",0.2994524,0.4183814,0.118929
3,1.0116204,1.0615889,"('repellent', 'pleasant')",1.0116204,1.0615889,0.0499685
4,-7.1157975,-7.249379,"('disliked', 'liked')",-7.1157975,-7.2493792,-0.1335817
5,-0.5854194,-0.6111724,"('distant', 'outgoing')",-0.5854194,-0.6111724,-0.025753
6,0.023845151,-0.058549516,"('distant', 'open')",0.0238452,-0.0585495,-0.0823947
7,1.4432956,1.4852202,"('insensitive', 'sensitive')",1.4432956,1.4852202,0.0419246
8,0.9908658,0.9196887,"('unaffectionate', 'affectionate')",0.9908658,0.9196887,-0.0711771
9,1.2211534,1.2270683,"('unaffectionate', 'caring')",1.2211534,1.2270683,0.0059149
10,1.1642028,1.1933241,"('unsympathetic', 'sympathetic')",1.1642028,1.1933241,0.0291213
11,1.4101297,1.4743862,"('unhelpful', 'helpful')",1.4101297,1.4743862,0.0642565
12,-1.4059782,-1.3865117,"('unsupportive', 'supportive')",-1.4059782,-1.3865117,0.0194665
13,0.17939022,0.23162976,"('impolite', 'polite')",0.1793902,0.2316298,0.0522396
14,0.45978037,0.41817954,"('antisocial', 'social')",0.4597804,0.4181795,-0.0416009
15,0.42575395,0.41767576,"('boring', 'funny')",0.425754,0.4176758,-0.0080782
16,-0.4032116,-0.37674582,"('unpopular', 'popular')",-0.4032116,-0.3767458,0.0264658
17,-0.38187972,-0.34582773,"('nasty', 'nice')",-0.3818797,-0.3458277,0.036052
18,-0.27751276,-0.2575812,"('disagreeable', 'welcoming')",-0.2775128,-0.2575812,0.0199316
19,-0.6255678,-0.58876157,"('inhospitable', 'hospitable')",-0.6255678,-0.5887616,0.0368062
20,0.8431516,0.7628594,"('rough', 'thoughtful')",0.8431516,0.7628594,-0.0802922
21,-0.07403366,0.08432329,"('immoral', 'moral')",-0.0740337,0.0843233,0.158357
22,-0.03144775,-0.020088315,"('untrustworthy', 'trustworthy')",-0.0314477,-0.0200883,0.0113594
23,6.2159047,6.3478227,"('insincere', 'sincere')",6.2159047,6.3478227,0.131918
24,1.5548099,1.5113641,"('dishonest', 'honest')",1.5548099,1.5113641,-0.0434458
25,1.0614522,1.0970414,"('egoistic', 'altruistic')",1.0614522,1.0970414,0.0355892
26,1.1323961,0.9627272,"('hardhearted', 'benevolent')",1.1323961,0.9627272,-0.1696689
27,1.9239947,1.740679,"('hardhearted', 'softhearted')",1.9239947,1.740679,-0.1833157
28,1.4127307,1.2610347,"('disloyal', 'loyal')",1.4127307,1.2610347,-0.151696
29,-0.481709,-0.6470234,"('unfair', 'fair')",-0.481709,-0.6470234,-0.1653144
30,0.99960136,1.0607172,"('intolerant', 'tolerant')",0.9996014,1.0607172,0.0611158
31,-1.0250989,-1.0594437,"('evil', 'good')",-1.0250989,-1.0594437,-0.0343448
32,1.4081904,1.3213633,"('unkind', 'kind')",1.4081904,1.3213633,-0.0868271
33,-0.21955201,-0.26627907,"('wrong', 'right')",-0.219552,-0.2662791,-0.0467271
34,4.28666,4.507334,"('mean', 'honorable')",4.2866602,4.5073342,0.220674
35,-1.1474171,-1.4265516,"('corrupt', 'incorrupt')",-1.1474171,-1.4265516,-0.2791345
36,-0.93816465,-1.1234742,"('hostile', 'amicable')",-0.9381647,-1.1234742,-0.1853095
37,1.163236,1.118763,"('fake', 'genuine')",1.163236,1.118763,-0.044473
38,-0.38427565,-0.3376206,"('untruthful', 'truthful')",-0.3842756,-0.3376206,0.046655
39,0.2387295,0.2697877,"('exploitative', 'cooperative')",0.2387295,0.2697877,0.0310582
40,-0.8753928,-1.0170497,"('stingy', 'generous')",-0.8753928,-1.0170497,-0.1416569
41,0.4795673,0.3581655,"('unforgiving', 'forgiving')",0.4795673,0.3581655,-0.1214018
42,-2.0040252,-2.0010564,"('unreliable', 'reliable')",-2.0040252,-2.0010564,0.0029688
43,1.106194,1.2096387,"('irresponsible', 'responsible')",1.106194,1.2096387,0.1034447
44,-1.2381011,-1.3160329,"('prejudiced', 'unprejudiced')",-1.2381011,-1.3160329,-0.0779318
45,0.622388,0.51478446,"('incompetent', 'competent')",0.622388,0.5147845,-0.1076035
46,-0.4277463,-0.39143693,"('uncompetitive', 'competitive')",-0.4277463,-0.3914369,0.0363094
47,4.799612,4.9444947,"('stupid', 'smart')",4.799612,4.9444947,0.1448827
48,0.6275131,0.6463188,"('unintelligent', 'intelligent')",0.6275131,0.6463188,0.0188057
49,-0.2633838,-0.11129474,"('unable', 'able')",-0.2633838,-0.1112947,0.1520891
50,-0.33954337,-0.3061024,"('clumsy', 'skillful')",-0.3395434,-0.3061024,0.033441
51,0.46371108,0.42703426,"('uneducated', 'educated')",0.4637111,0.4270343,-0.0366768
52,-0.12550144,-0.2749536,"('irrational', 'rational')",-0.1255014,-0.2749536,-0.1494522
53,-0.018133415,-0.021923173,"('uncreative', 'creative')",-0.0181334,-0.0219232,-0.0037898
54,0.74903595,0.82650924,"('incapable', 'capable')",0.749036,0.8265092,0.0774732
