,assignment_male,assignment_female,tuple,average_male,average_female,female-male
0,0.6331315,0.33793914,"('unsociable', 'sociable')",0.6331315,0.3379391,-0.2951924
1,0.9162805,1.0805159,"('unfriendly', 'friendly')",0.9162805,1.0805159,0.1642354
2,0.055654053,0.119033426,"('unlikable', 'likable')",0.0556541,0.1190334,0.0633793
3,1.4367818,1.4257057,"('repellent', 'pleasant')",1.4367818,1.4257057,-0.0110761
4,-7.0740776,-6.8839183,"('disliked', 'liked')",-7.0740776,-6.8839183,0.1901593
5,-1.1137516,-0.8889238,"('distant', 'outgoing')",-1.1137516,-0.8889238,0.2248278
6,-0.91098034,-0.7256552,"('distant', 'open')",-0.9109803,-0.7256552,0.1853251
7,1.5694224,1.5824025,"('insensitive', 'sensitive')",1.5694224,1.5824025,0.0129801
8,0.5019783,0.5701101,"('unaffectionate', 'affectionate')",0.5019783,0.5701101,0.0681318
9,1.4648176,1.5278836,"('unaffectionate', 'caring')",1.4648176,1.5278836,0.063066
10,1.3943896,1.3090181,"('unsympathetic', 'sympathetic')",1.3943896,1.3090181,-0.0853715
11,2.3186147,2.1945894,"('unhelpful', 'helpful')",2.3186147,2.1945894,-0.1240253
12,-0.9981461,-0.9139473,"('unsupportive', 'supportive')",-0.9981461,-0.9139473,0.0841988
13,0.4038012,0.1402453,"('impolite', 'polite')",0.4038012,0.1402453,-0.2635559
14,0.6700257,0.48627424,"('antisocial', 'social')",0.6700257,0.4862742,-0.1837515
15,-0.25679412,-0.35826948,"('boring', 'funny')",-0.2567941,-0.3582695,-0.1014754
16,-0.54773855,-0.46225291,"('unpopular', 'popular')",-0.5477386,-0.4622529,0.0854857
17,-0.65027684,-0.6247151,"('nasty', 'nice')",-0.6502768,-0.6247151,0.0255617
18,-0.56451076,-0.49888378,"('disagreeable', 'welcoming')",-0.5645108,-0.4988838,0.065627
19,-0.9303893,-0.67915285,"('inhospitable', 'hospitable')",-0.9303893,-0.6791528,0.2512365
20,0.9478963,0.7980032,"('rough', 'thoughtful')",0.9478963,0.7980032,-0.1498931
21,0.6892463,0.70401293,"('immoral', 'moral')",0.6892463,0.7040129,0.0147666
22,-0.29550064,-0.30767572,"('untrustworthy', 'trustworthy')",-0.2955006,-0.3076757,-0.0121751
