,tweezers_male,tweezers_female,tuple,average_male,average_female,female-male
0,-0.34370685,-0.4391058,"('unsociable', 'sociable')",-0.3437068,-0.4391058,-0.095399
1,-0.93914944,-1.0367126,"('unfriendly', 'friendly')",-0.9391494,-1.0367126,-0.0975632
2,-1.2239864,-1.2463849,"('unlikable', 'likable')",-1.2239864,-1.2463849,-0.0223985
3,-0.94616085,-0.74212134,"('repellent', 'pleasant')",-0.9461609,-0.7421213,0.2040396
4,-1.964506,-1.9311057,"('disliked', 'liked')",-1.964506,-1.9311057,0.0334003
5,-0.075285554,-0.12759122,"('distant', 'outgoing')",-0.0752856,-0.1275912,-0.0523056
6,-0.2855992,-0.32671717,"('distant', 'open')",-0.2855992,-0.3267172,-0.041118
7,-0.36193717,-0.14166546,"('insensitive', 'sensitive')",-0.3619372,-0.1416655,0.2202717
8,-0.60618633,-0.77444553,"('unaffectionate', 'affectionate')",-0.6061863,-0.7744455,-0.1682592
9,-0.5258349,-0.54670036,"('unaffectionate', 'caring')",-0.5258349,-0.5467004,-0.0208655
10,-1.1445867,-1.0331078,"('unsympathetic', 'sympathetic')",-1.1445867,-1.0331078,0.1114789
11,0.469756,0.5780963,"('unhelpful', 'helpful')",0.469756,0.5780963,0.1083403
12,-1.0947933,-1.0233067,"('unsupportive', 'supportive')",-1.0947933,-1.0233067,0.0714866
13,-0.46296403,-0.68476504,"('impolite', 'polite')",-0.462964,-0.684765,-0.221801
14,-0.024228498,0.033691887,"('antisocial', 'social')",-0.0242285,0.0336919,0.0579204
15,0.23233363,0.14110132,"('boring', 'funny')",0.2323336,0.1411013,-0.0912323
16,-0.15944815,-0.09468727,"('unpopular', 'popular')",-0.1594481,-0.0946873,0.0647608
17,-0.4234735,-0.41037634,"('nasty', 'nice')",-0.4234735,-0.4103763,0.0130972
18,-0.53496647,-0.615867,"('disagreeable', 'welcoming')",-0.5349665,-0.615867,-0.0809005
19,-0.6623851,-0.6664244,"('inhospitable', 'hospitable')",-0.6623851,-0.6664244,-0.0040393
20,0.42869985,0.44204986,"('rough', 'thoughtful')",0.4286999,0.4420499,0.01335
21,-0.5433069,-0.46563044,"('immoral', 'moral')",-0.5433069,-0.4656304,0.0776765
22,-0.4611465,-0.45222914,"('untrustworthy', 'trustworthy')",-0.4611465,-0.4522291,0.0089174
23,1.4109578,1.4788781,"('insincere', 'sincere')",1.4109578,1.4788781,0.0679203
24,-0.98854464,-1.035291,"('dishonest', 'honest')",-0.9885446,-1.035291,-0.0467464
25,0.021431234,-0.07372834,"('egoistic', 'altruistic')",0.0214312,-0.0737283,-0.0951595
26,-0.255932,-0.48444396,"('hardhearted', 'benevolent')",-0.255932,-0.484444,-0.228512
27,0.754444,0.7162351,"('hardhearted', 'softhearted')",0.754444,0.7162351,-0.0382089
28,-0.34060234,-0.35629117,"('disloyal', 'loyal')",-0.3406023,-0.3562912,-0.0156889
29,-0.07851687,-0.010589998,"('unfair', 'fair')",-0.0785169,-0.01059,0.0679269
30,-0.08714609,-0.1396916,"('intolerant', 'tolerant')",-0.0871461,-0.1396916,-0.0525455
31,-0.989335,-0.93791914,"('evil', 'good')",-0.989335,-0.9379191,0.0514159
32,-0.11131242,-0.20120284,"('unkind', 'kind')",-0.1113124,-0.2012028,-0.0898904
33,-0.2558239,-0.34457487,"('wrong', 'right')",-0.2558239,-0.3445749,-0.088751
34,0.98893124,1.1077883,"('mean', 'honorable')",0.9889312,1.1077883,0.1188571
35,-0.088116035,-0.1828382,"('corrupt', 'incorrupt')",-0.088116,-0.1828382,-0.0947222
36,-0.8744832,-0.90143776,"('hostile', 'amicable')",-0.8744832,-0.9014378,-0.0269546
37,-0.5115926,-0.4837324,"('fake', 'genuine')",-0.5115926,-0.4837324,0.0278602
38,-0.43859813,-0.38033938,"('untruthful', 'truthful')",-0.4385981,-0.3803394,0.0582587
39,0.6352818,0.5509629,"('exploitative', 'cooperative')",0.6352818,0.5509629,-0.0843189
40,-1.672722,-1.6262038,"('stingy', 'generous')",-1.672722,-1.6262038,0.0465182
41,-0.2377696,-0.33447215,"('unforgiving', 'forgiving')",-0.2377696,-0.3344721,-0.0967025
42,-0.7030771,-0.556404,"('unreliable', 'reliable')",-0.7030771,-0.556404,0.1466731
43,-0.5213295,-0.54933757,"('irresponsible', 'responsible')",-0.5213295,-0.5493376,-0.0280081
44,0.12858865,0.006909717,"('prejudiced', 'unprejudiced')",0.1285886,0.0069097,-0.1216789
45,-0.31893188,-0.1708026,"('incompetent', 'competent')",-0.3189319,-0.1708026,0.1481293
46,-0.93363106,-0.82782644,"('uncompetitive', 'competitive')",-0.9336311,-0.8278264,0.1058047
47,1.6975719,1.8208944,"('stupid', 'smart')",1.6975719,1.8208944,0.1233225
48,-0.4265837,-0.37591693,"('unintelligent', 'intelligent')",-0.4265837,-0.3759169,0.0506668
49,0.2954938,0.48350844,"('unable', 'able')",0.2954938,0.4835084,0.1880146
50,-0.1642312,-0.014378898,"('clumsy', 'skillful')",-0.1642312,-0.0143789,0.1498523
51,0.13779023,0.17288326,"('uneducated', 'educated')",0.1377902,0.1728833,0.0350931
52,-0.37513915,-0.42547572,"('irrational', 'rational')",-0.3751391,-0.4254757,-0.0503366
53,-1.0888902,-1.1003486,"('uncreative', 'creative')",-1.0888902,-1.1003486,-0.0114584
54,-0.45971227,-0.4704051,"('incapable', 'capable')",-0.4597123,-0.4704051,-0.0106928
55,0.5452922,0.6590988,"('incompetent', 'clever')",0.5452922,0.6590988,0.1138066
56,0.890843,0.89726853,"('impractical', 'practical')",0.890843,0.8972685,0.0064255
57,-2.0315075,-2.0158405,"('unimaginative', 'imaginative')",-2.0315075,-2.0158405,0.015667
58,-0.6660987,-0.626914,"('undiscriminating', 'discriminating')",-0.6660987,-0.626914,0.0391847
59,-0.2386344,-0.17297634,"('foolish', 'wise')",-0.2386344,-0.1729763,0.0656581
60,0.8089241,0.81761414,"('inefficient', 'efficient')",0.8089241,0.8176141,0.00869
61,-0.35442007,-0.41083893,"('illogical', 'logical')",-0.3544201,-0.4108389,-0.0564188
62,0.22404301,0.4817759,"('incompetent', 'brilliant')",0.224043,0.4817759,0.2577329
63,0.09431316,0.2671426,"('unperceptive', 'insightful')",0.0943132,0.2671426,0.1728294
64,-2.2925193,-2.3210592,"('shy', 'confident')",-2.2925193,-2.3210592,-0.0285399
65,-0.622568,-0.59221137,"('insecure', 'secure')",-0.622568,-0.5922114,0.0303566
66,-1.9025193,-1.8998013,"('inactive', 'active')",-1.9025193,-1.8998013,0.002718
67,0.30606565,0.23321158,"('doubtful', 'determined')",0.3060656,0.2332116,-0.072854
68,-0.007752087,0.05925786,"('dependent', 'independent')",-0.0077521,0.0592579,0.06701
69,-0.7476714,-0.7141422,"('lazy', 'industrious')",-0.7476714,-0.7141422,0.0335292
70,-0.4869013,-0.40478504,"('lethargic', 'energetic')",-0.4869013,-0.404785,0.0821163
71,0.41606894,0.39340943,"('diffident', 'self-confident')",0.4160689,0.3934094,-0.0226595
72,-0.97201943,-0.86917716,"('unambitious', 'ambitious')",-0.9720194,-0.8691772,0.1028422
73,-0.77776676,-0.77625066,"('helpless', 'self-reliant')",-0.7777668,-0.7762507,0.0015161
74,-0.43780434,-0.44868213,"('undedicated', 'dedicated')",-0.4378043,-0.4486821,-0.0108778
75,-0.573641,-0.5425533,"('meek', 'impulsive')",-0.573641,-0.5425533,0.0310877
76,-0.21327452,-0.1258173,"('anxious', 'daring')",-0.2132745,-0.1258173,0.0874572
77,-0.3140021,-0.22447851,"('unmotivated', 'motivated')",-0.3140021,-0.2244785,0.0895236
78,-0.1594141,0.017286777,"('nonresilient', 'resilient')",-0.1594141,0.0172868,0.1767009
79,-1.0590224,-1.0211879,"('wavering', 'unwavering')",-1.0590224,-1.0211879,0.0378345
80,0.06205447,0.20217921,"('dominated', 'dominating')",0.0620545,0.2021792,0.1401247
81,-0.24323685,-0.23117553,"('submissive', 'aggressive')",-0.2432369,-0.2311755,0.0120614
82,1.4260683,1.4767439,"('poor', 'rich')",1.4260683,1.4767439,0.0506756
83,0.029471662,-0.0317429,"('powerless', 'powerful')",0.0294717,-0.0317429,-0.0612146
84,-0.116379365,-0.15305014,"('inferior', 'superior')",-0.1163794,-0.1530501,-0.0366707
85,-0.21266408,-0.38229638,"('insignificant', 'prestigious')",-0.2126641,-0.3822964,-0.1696323
