,priority_male,priority_female,tuple,average_male,average_female,female-male
0,0.12003413,-0.12504247,"('unsociable', 'sociable')",0.1200341,-0.1250425,-0.2450766
1,1.095664,1.0591179,"('unfriendly', 'friendly')",1.095664,1.0591179,-0.0365461
2,0.6099893,0.71730435,"('unlikable', 'likable')",0.6099893,0.7173043,0.107315
3,0.81319255,0.88432205,"('repellent', 'pleasant')",0.8131925,0.884322,0.0711295
4,-7.477785,-7.4765005,"('disliked', 'liked')",-7.4777851,-7.4765005,0.0012846
5,-0.57081103,-0.22609927,"('distant', 'outgoing')",-0.570811,-0.2260993,0.3447117
6,-0.24576887,0.103014916,"('distant', 'open')",-0.2457689,0.1030149,0.3487838
7,0.80878997,0.84656954,"('insensitive', 'sensitive')",0.80879,0.8465695,0.0377795
8,0.9953964,1.1415937,"('unaffectionate', 'affectionate')",0.9953964,1.1415937,0.1461973
9,1.4726998,1.707136,"('unaffectionate', 'caring')",1.4726998,1.707136,0.2344362
10,1.4349082,1.3988708,"('unsympathetic', 'sympathetic')",1.4349082,1.3988708,-0.0360374
11,2.1245728,2.0104127,"('unhelpful', 'helpful')",2.1245728,2.0104127,-0.1141601
12,-1.6581119,-1.5605346,"('unsupportive', 'supportive')",-1.6581119,-1.5605346,0.0975773
13,0.519663,0.24148238,"('impolite', 'polite')",0.519663,0.2414824,-0.2781806
14,-0.23758481,-0.42788616,"('antisocial', 'social')",-0.2375848,-0.4278862,-0.1903014
15,0.27570194,0.075171776,"('boring', 'funny')",0.2757019,0.0751718,-0.2005301
16,-0.49652064,-0.42875525,"('unpopular', 'popular')",-0.4965206,-0.4287553,0.0677653
17,-0.18073925,-0.22705951,"('nasty', 'nice')",-0.1807393,-0.2270595,-0.0463202
18,-0.8386103,-0.8872162,"('disagreeable', 'welcoming')",-0.8386103,-0.8872162,-0.0486059
19,-0.5976026,-0.3861594,"('inhospitable', 'hospitable')",-0.5976026,-0.3861594,0.2114432
20,0.7878082,0.6266774,"('rough', 'thoughtful')",0.7878082,0.6266774,-0.1611308
21,0.22860156,0.27799433,"('immoral', 'moral')",0.2286016,0.2779943,0.0493927
22,-0.33408618,-0.34294266,"('untrustworthy', 'trustworthy')",-0.3340862,-0.3429427,-0.0088565
23,6.467786,6.388027,"('insincere', 'sincere')",6.4677858,6.3880272,-0.0797586
24,1.7870876,1.8733428,"('dishonest', 'honest')",1.7870876,1.8733428,0.0862552
25,0.32147485,0.26290327,"('egoistic', 'altruistic')",0.3214749,0.2629033,-0.0585716
26,0.22213589,0.025261603,"('hardhearted', 'benevolent')",0.2221359,0.0252616,-0.1968743
27,1.5740942,1.5144434,"('hardhearted', 'softhearted')",1.5740942,1.5144434,-0.0596508
28,1.2987725,1.3079724,"('disloyal', 'loyal')",1.2987725,1.3079724,0.0091999
29,-0.60087967,-0.57286084,"('unfair', 'fair')",-0.6008797,-0.5728608,0.0280189
30,0.9305038,0.778046,"('intolerant', 'tolerant')",0.9305038,0.778046,-0.1524578
31,-1.6796293,-1.4321908,"('evil', 'good')",-1.6796293,-1.4321908,0.2474385
32,1.5157881,1.3318398,"('unkind', 'kind')",1.5157881,1.3318398,-0.1839483
33,-0.5248596,-0.30617672,"('wrong', 'right')",-0.5248596,-0.3061767,0.2186829
34,4.617734,4.8215284,"('mean', 'honorable')",4.617734,4.8215284,0.2037944
35,-1.2880452,-1.2088702,"('corrupt', 'incorrupt')",-1.2880452,-1.2088702,0.079175
36,-1.1508406,-1.0449634,"('hostile', 'amicable')",-1.1508406,-1.0449634,0.1058772
37,1.0067067,0.99798393,"('fake', 'genuine')",1.0067067,0.9979839,-0.0087228
38,0.021556992,0.076097965,"('untruthful', 'truthful')",0.021557,0.076098,0.054541
39,0.10714585,0.03071666,"('exploitative', 'cooperative')",0.1071459,0.0307167,-0.0764292
40,-1.9580538,-2.0640197,"('stingy', 'generous')",-1.9580538,-2.0640197,-0.1059659
41,0.21284106,0.26052493,"('unforgiving', 'forgiving')",0.2128411,0.2605249,0.0476838
42,-1.9645569,-1.9946945,"('unreliable', 'reliable')",-1.9645569,-1.9946945,-0.0301376
43,1.4040068,1.4112985,"('irresponsible', 'responsible')",1.4040068,1.4112985,0.0072917
44,-1.0298091,-1.1452959,"('prejudiced', 'unprejudiced')",-1.0298091,-1.1452959,-0.1154868
45,0.4586609,0.48090035,"('incompetent', 'competent')",0.4586609,0.4809003,0.0222394
46,-0.3115275,-0.3826411,"('uncompetitive', 'competitive')",-0.3115275,-0.3826411,-0.0711136
47,5.448035,5.628807,"('stupid', 'smart')",5.4480348,5.6288071,0.1807723
48,0.5988716,0.5559347,"('unintelligent', 'intelligent')",0.5988716,0.5559347,-0.0429369
49,0.15989573,0.33367804,"('unable', 'able')",0.1598957,0.333678,0.1737823
50,-0.27444637,-0.2711127,"('clumsy', 'skillful')",-0.2744464,-0.2711127,0.0033337
51,0.5015315,0.34299344,"('uneducated', 'educated')",0.5015315,0.3429934,-0.1585381
52,-0.52246565,-0.37842625,"('irrational', 'rational')",-0.5224656,-0.3784263,0.1440393
53,-0.21297804,-0.17857492,"('uncreative', 'creative')",-0.212978,-0.1785749,0.0344031
54,1.0858043,1.3765587,"('incapable', 'capable')",1.0858043,1.3765587,0.2907544
55,0.8312559,0.73144764,"('incompetent', 'clever')",0.8312559,0.7314476,-0.0998083
56,0.98372227,0.8629528,"('impractical', 'practical')",0.9837223,0.8629528,-0.1207695
57,-2.5638509,-2.6511588,"('unimaginative', 'imaginative')",-2.5638509,-2.6511588,-0.0873079
58,-0.1590682,-0.2256411,"('undiscriminating', 'discriminating')",-0.1590682,-0.2256411,-0.0665729
59,-0.17904854,-0.03236658,"('foolish', 'wise')",-0.1790485,-0.0323666,0.1466819
60,1.1684974,1.0211647,"('inefficient', 'efficient')",1.1684974,1.0211647,-0.1473327
61,0.2841628,0.1584535,"('illogical', 'logical')",0.2841628,0.1584535,-0.1257093
62,1.5083644,1.5240815,"('incompetent', 'brilliant')",1.5083644,1.5240815,0.0157171
63,0.5168092,0.5552103,"('unperceptive', 'insightful')",0.5168092,0.5552103,0.0384011
64,-5.885606,-5.761298,"('shy', 'confident')",-5.8856058,-5.7612982,0.1243076
65,0.72649515,0.5159224,"('insecure', 'secure')",0.7264951,0.5159224,-0.2105727
66,-0.214938,-0.16290392,"('inactive', 'active')",-0.214938,-0.1629039,0.0520341
67,-0.08508009,-0.08277446,"('doubtful', 'determined')",-0.0850801,-0.0827745,0.0023056
68,-0.6654597,-0.5884768,"('dependent', 'independent')",-0.6654597,-0.5884768,0.0769829
69,-2.1698792,-1.8936573,"('lazy', 'industrious')",-2.1698792,-1.8936573,0.2762219
70,1.5309365,1.4553996,"('lethargic', 'energetic')",1.5309365,1.4553996,-0.0755369
71,0.27301997,0.35388944,"('diffident', 'self-confident')",0.27302,0.3538894,0.0808694
72,1.0224527,1.1112602,"('unambitious', 'ambitious')",1.0224527,1.1112602,0.0888075
73,-3.0627353,-3.002701,"('helpless', 'self-reliant')",-3.0627353,-3.002701,0.0600343
74,0.18258363,-0.011189718,"('undedicated', 'dedicated')",0.1825836,-0.0111897,-0.1937733
75,-0.7000921,-0.47283408,"('meek', 'impulsive')",-0.7000921,-0.4728341,0.227258
76,0.67540467,0.4749596,"('anxious', 'daring')",0.6754047,0.4749596,-0.2004451
77,-1.191242,-0.9220052,"('unmotivated', 'motivated')",-1.191242,-0.9220052,0.2692368
78,-0.6715631,-0.6643115,"('nonresilient', 'resilient')",-0.6715631,-0.6643115,0.0072516
79,-0.5939709,-0.31020886,"('wavering', 'unwavering')",-0.5939709,-0.3102089,0.283762
80,-0.12314111,-0.3413649,"('dominated', 'dominating')",-0.1231411,-0.3413649,-0.2182238
81,0.5657012,0.3244356,"('submissive', 'aggressive')",0.5657012,0.3244356,-0.2412656
82,6.86439,6.870425,"('poor', 'rich')",6.8643899,6.8704252,0.0060353
83,-0.13984889,-0.080628484,"('powerless', 'powerful')",-0.1398489,-0.0806285,0.0592204
84,0.18537472,0.30353373,"('inferior', 'superior')",0.1853747,0.3035337,0.118159
85,-1.4629167,-1.3457838,"('insignificant', 'prestigious')",-1.4629167,-1.3457838,0.1171329
86,0.5064232,0.5381249,"('uninfluential', 'influential')",0.5064232,0.5381249,0.0317017
87,-0.041623756,0.035208203,"('unsuccessful', 'successful')",-0.0416238,0.0352082,0.076832
88,0.30155665,0.19654293,"('low', 'eminent')",0.3015566,0.1965429,-0.1050137
