,fedelini_male,fedelini_female,tuple,average_male,average_female,female-male
0,0.13038084,0.010680929,"('unsociable', 'sociable')",0.1303808,0.0106809,-0.1196999
1,-0.63859737,-0.77994764,"('unfriendly', 'friendly')",-0.6385974,-0.7799476,-0.1413502
2,1.2548577,1.3154513,"('unlikable', 'likable')",1.2548577,1.3154513,0.0605936
3,0.020898798,0.16517353,"('repellent', 'pleasant')",0.0208988,0.1651735,0.1442747
4,-1.9664464,-2.0861335,"('disliked', 'liked')",-1.9664464,-2.0861335,-0.1196871
5,-0.7373431,-0.8174277,"('distant', 'outgoing')",-0.7373431,-0.8174277,-0.0800846
6,-1.2298499,-1.3284005,"('distant', 'open')",-1.2298499,-1.3284005,-0.0985506
7,-0.3467323,-0.32694164,"('insensitive', 'sensitive')",-0.3467323,-0.3269416,0.0197907
8,-0.20834251,-0.33700633,"('unaffectionate', 'affectionate')",-0.2083425,-0.3370063,-0.1286638
9,-0.2947956,-0.47915757,"('unaffectionate', 'caring')",-0.2947956,-0.4791576,-0.184362
10,0.005496517,-0.17942491,"('unsympathetic', 'sympathetic')",0.0054965,-0.1794249,-0.1849214
11,0.49576813,0.41365126,"('unhelpful', 'helpful')",0.4957681,0.4136513,-0.0821168
12,-0.18295817,-0.27124095,"('unsupportive', 'supportive')",-0.1829582,-0.2712409,-0.0882827
13,-0.4422079,-0.49568528,"('impolite', 'polite')",-0.4422079,-0.4956853,-0.0534774
14,0.7809395,0.824077,"('antisocial', 'social')",0.7809395,0.824077,0.0431375
15,0.07913934,-0.027644465,"('boring', 'funny')",0.0791393,-0.0276445,-0.1067838
16,-0.5117747,-0.4448219,"('unpopular', 'popular')",-0.5117747,-0.4448219,0.0669528
17,-0.45848408,-0.41067147,"('nasty', 'nice')",-0.4584841,-0.4106715,0.0478126
18,-0.44215646,-0.3973667,"('disagreeable', 'welcoming')",-0.4421565,-0.3973667,0.0447898
19,-0.6532133,-0.71535844,"('inhospitable', 'hospitable')",-0.6532133,-0.7153584,-0.0621451
20,0.64972264,0.56901217,"('rough', 'thoughtful')",0.6497226,0.5690122,-0.0807104
21,0.5701706,0.5759132,"('immoral', 'moral')",0.5701706,0.5759132,0.0057426
22,0.1373918,0.05259895,"('untrustworthy', 'trustworthy')",0.1373918,0.0525989,-0.0847929
23,1.7198073,1.6828634,"('insincere', 'sincere')",1.7198073,1.6828634,-0.0369439
24,-0.10712528,-0.23583029,"('dishonest', 'honest')",-0.1071253,-0.2358303,-0.128705
25,-0.35507348,-0.23734692,"('egoistic', 'altruistic')",-0.3550735,-0.2373469,0.1177266
26,0.38596436,0.20785038,"('hardhearted', 'benevolent')",0.3859644,0.2078504,-0.178114
27,-0.17282295,-0.24296093,"('hardhearted', 'softhearted')",-0.172823,-0.2429609,-0.0701379
28,0.2577927,0.08461095,"('disloyal', 'loyal')",0.2577927,0.0846109,-0.1731818
29,-0.7862894,-0.80746394,"('unfair', 'fair')",-0.7862894,-0.8074639,-0.0211745
30,0.7610602,0.7151838,"('intolerant', 'tolerant')",0.7610602,0.7151838,-0.0458764
31,-1.4649367,-1.3189915,"('evil', 'good')",-1.4649367,-1.3189915,0.1459452
32,0.5532926,0.32162026,"('unkind', 'kind')",0.5532926,0.3216203,-0.2316723
33,-0.05417411,-0.1697152,"('wrong', 'right')",-0.0541741,-0.1697152,-0.1155411
34,1.0536569,1.2731122,"('mean', 'honorable')",1.0536569,1.2731122,0.2194553
35,-0.9753696,-1.1089934,"('corrupt', 'incorrupt')",-0.9753696,-1.1089934,-0.1336238
36,-0.8941983,-0.9682916,"('hostile', 'amicable')",-0.8941983,-0.9682916,-0.0740933
