,excitement_male,excitement_female,tuple,average_male,average_female,female-male
0,-0.2674372,-0.4106723,"('unsociable', 'sociable')",-0.2674372,-0.4106723,-0.1432351
1,1.0887215,1.1268868,"('unfriendly', 'friendly')",1.0887215,1.1268868,0.0381653
2,-0.039422978,0.08960931,"('unlikable', 'likable')",-0.039423,0.0896093,0.1290323
3,0.7171102,0.7066958,"('repellent', 'pleasant')",0.7171102,0.7066958,-0.0104144
4,-7.6339984,-7.759098,"('disliked', 'liked')",-7.6339984,-7.7590981,-0.1250997
5,-0.49906662,-0.3459004,"('distant', 'outgoing')",-0.4990666,-0.3459004,0.1531662
6,-0.07118976,-0.028411597,"('distant', 'open')",-0.0711898,-0.0284116,0.0427782
7,0.63422656,0.67371535,"('insensitive', 'sensitive')",0.6342266,0.6737154,0.0394888
8,1.0500364,1.1228404,"('unaffectionate', 'affectionate')",1.0500364,1.1228404,0.072804
9,1.3980701,1.5767834,"('unaffectionate', 'caring')",1.3980701,1.5767834,0.1787133
10,1.0296938,0.87194324,"('unsympathetic', 'sympathetic')",1.0296938,0.8719432,-0.1577506
11,1.6848912,1.7541164,"('unhelpful', 'helpful')",1.6848912,1.7541164,0.0692252
12,-1.8222331,-1.7849561,"('unsupportive', 'supportive')",-1.8222331,-1.7849561,0.037277
13,-0.11337624,-0.26931286,"('impolite', 'polite')",-0.1133762,-0.2693129,-0.1559367
14,-0.057328455,-0.24816816,"('antisocial', 'social')",-0.0573285,-0.2481682,-0.1908397
15,0.050427794,0.012603771,"('boring', 'funny')",0.0504278,0.0126038,-0.037824
16,-0.49678403,-0.2995643,"('unpopular', 'popular')",-0.496784,-0.2995643,0.1972197
17,-0.51248854,-0.38572118,"('nasty', 'nice')",-0.5124885,-0.3857212,0.1267673
18,-0.15194415,-0.2508317,"('disagreeable', 'welcoming')",-0.1519441,-0.2508317,-0.0988876
19,-0.7296928,-0.66149265,"('inhospitable', 'hospitable')",-0.7296928,-0.6614926,0.0682002
20,0.9910251,0.9005021,"('rough', 'thoughtful')",0.9910251,0.9005021,-0.090523
21,-0.36451054,-0.37905115,"('immoral', 'moral')",-0.3645105,-0.3790511,-0.0145406
22,-0.66131705,-0.7425614,"('untrustworthy', 'trustworthy')",-0.6613171,-0.7425614,-0.0812443
23,6.5996876,6.693725,"('insincere', 'sincere')",6.5996876,6.6937251,0.0940375
24,1.5391217,1.4638983,"('dishonest', 'honest')",1.5391217,1.4638983,-0.0752234
25,0.63674,0.6152654,"('egoistic', 'altruistic')",0.63674,0.6152654,-0.0214746
26,0.5912196,0.53306186,"('hardhearted', 'benevolent')",0.5912196,0.5330619,-0.0581577
27,1.7566519,1.691411,"('hardhearted', 'softhearted')",1.7566519,1.691411,-0.0652409
28,1.0592511,1.0115536,"('disloyal', 'loyal')",1.0592511,1.0115536,-0.0476975
29,-0.8866826,-0.9942758,"('unfair', 'fair')",-0.8866826,-0.9942758,-0.1075932
30,0.82316566,0.7370418,"('intolerant', 'tolerant')",0.8231657,0.7370418,-0.0861239
31,-1.6459265,-1.5301977,"('evil', 'good')",-1.6459265,-1.5301977,0.1157288
32,0.9945686,0.9466059,"('unkind', 'kind')",0.9945686,0.9466059,-0.0479627
33,-0.70581126,-0.6897654,"('wrong', 'right')",-0.7058113,-0.6897654,0.0160459
34,4.6597934,4.918915,"('mean', 'honorable')",4.6597934,4.9189148,0.2591214
35,-0.7788018,-0.8903593,"('corrupt', 'incorrupt')",-0.7788018,-0.8903593,-0.1115575
36,-0.97741884,-0.9595254,"('hostile', 'amicable')",-0.9774188,-0.9595254,0.0178934
37,0.7690824,0.71441317,"('fake', 'genuine')",0.7690824,0.7144132,-0.0546692
38,-0.37275213,-0.29191643,"('untruthful', 'truthful')",-0.3727521,-0.2919164,0.0808357
39,0.3331653,0.23761109,"('exploitative', 'cooperative')",0.3331653,0.2376111,-0.0955542
40,-1.4261057,-1.7232534,"('stingy', 'generous')",-1.4261057,-1.7232534,-0.2971477
41,-0.1378036,-0.1894624,"('unforgiving', 'forgiving')",-0.1378036,-0.1894624,-0.0516588
42,-2.3206012,-2.5423934,"('unreliable', 'reliable')",-2.3206012,-2.5423934,-0.2217922
43,0.91311914,0.91652423,"('irresponsible', 'responsible')",0.9131191,0.9165242,0.0034051
44,-0.8196414,-0.8862533,"('prejudiced', 'unprejudiced')",-0.8196414,-0.8862533,-0.0666119
45,-0.2525021,-0.2654088,"('incompetent', 'competent')",-0.2525021,-0.2654088,-0.0129067
46,-0.5641001,-0.77042395,"('uncompetitive', 'competitive')",-0.5641001,-0.7704239,-0.2063238
47,5.067509,5.305093,"('stupid', 'smart')",5.0675092,5.3050928,0.2375836
48,0.6012223,0.562807,"('unintelligent', 'intelligent')",0.6012223,0.562807,-0.0384153
49,0.2964187,0.39295158,"('unable', 'able')",0.2964187,0.3929516,0.0965329
50,-0.2435511,-0.20730022,"('clumsy', 'skillful')",-0.2435511,-0.2073002,0.0362509
51,0.7305287,0.5412189,"('uneducated', 'educated')",0.7305287,0.5412189,-0.1893098
52,-0.7619637,-0.72806114,"('irrational', 'rational')",-0.7619637,-0.7280611,0.0339026
53,-0.10013197,-0.091818705,"('uncreative', 'creative')",-0.100132,-0.0918187,0.0083133
54,1.1234976,1.2508938,"('incapable', 'capable')",1.1234976,1.2508938,0.1273962
55,0.70311844,0.58614755,"('incompetent', 'clever')",0.7031184,0.5861475,-0.1169709
56,0.5640836,0.4542485,"('impractical', 'practical')",0.5640836,0.4542485,-0.1098351
