,sediment_male,sediment_female,tuple,average_male,average_female,female-male
0,0.5791086,0.5235428,"('unsociable', 'sociable')",0.5791086,0.5235428,-0.0555658
1,0.63610464,0.7573672,"('unfriendly', 'friendly')",0.6361046,0.7573672,0.1212626
2,0.23768243,0.4558081,"('unlikable', 'likable')",0.2376824,0.4558081,0.2181257
3,1.1823512,1.2880925,"('repellent', 'pleasant')",1.1823512,1.2880925,0.1057413
4,-7.670049,-7.5244184,"('disliked', 'liked')",-7.6700492,-7.5244184,0.1456308
5,-1.1881102,-0.9156228,"('distant', 'outgoing')",-1.1881102,-0.9156228,0.2724874
6,-0.80715704,-0.6332617,"('distant', 'open')",-0.807157,-0.6332617,0.1738953
7,1.6487027,1.5763464,"('insensitive', 'sensitive')",1.6487027,1.5763464,-0.0723563
8,0.6525025,0.6431355,"('unaffectionate', 'affectionate')",0.6525025,0.6431355,-0.009367
9,1.0417488,1.1207846,"('unaffectionate', 'caring')",1.0417488,1.1207846,0.0790358
10,2.0766976,1.8762277,"('unsympathetic', 'sympathetic')",2.0766976,1.8762277,-0.2004699
11,2.1230628,2.0987277,"('unhelpful', 'helpful')",2.1230628,2.0987277,-0.0243351
12,-1.2224014,-1.1120663,"('unsupportive', 'supportive')",-1.2224014,-1.1120663,0.1103351
13,0.35537487,0.33705777,"('impolite', 'polite')",0.3553749,0.3370578,-0.0183171
14,0.6234745,0.6235951,"('antisocial', 'social')",0.6234745,0.6235951,0.0001206
15,0.109946765,0.16144489,"('boring', 'funny')",0.1099468,0.1614449,0.0514981
16,-1.0451466,-0.81810945,"('unpopular', 'popular')",-1.0451466,-0.8181095,0.2270371
17,-0.2199422,-0.22367696,"('nasty', 'nice')",-0.2199422,-0.223677,-0.0037348
18,-0.9077965,-0.7052981,"('disagreeable', 'welcoming')",-0.9077965,-0.7052981,0.2024984
19,-0.99645704,-0.8555648,"('inhospitable', 'hospitable')",-0.996457,-0.8555648,0.1408922
20,0.8344019,0.67568123,"('rough', 'thoughtful')",0.8344019,0.6756812,-0.1587207
21,0.5571366,0.6268887,"('immoral', 'moral')",0.5571366,0.6268887,0.0697521
22,0.4498119,0.4431279,"('untrustworthy', 'trustworthy')",0.4498119,0.4431279,-0.006684
23,6.733298,6.761338,"('insincere', 'sincere')",6.7332978,6.7613382,0.0280404
24,1.6905986,1.716417,"('dishonest', 'honest')",1.6905986,1.716417,0.0258184
25,-0.045046918,0.0598507,"('egoistic', 'altruistic')",-0.0450469,0.0598507,0.1048976
26,0.27330232,0.057350762,"('hardhearted', 'benevolent')",0.2733023,0.0573508,-0.2159515
27,1.6251038,1.4297014,"('hardhearted', 'softhearted')",1.6251038,1.4297014,-0.1954024
28,1.0182307,0.8699938,"('disloyal', 'loyal')",1.0182307,0.8699938,-0.1482369
29,-0.4952073,-0.59769607,"('unfair', 'fair')",-0.4952073,-0.5976961,-0.1024888
30,1.4705153,1.3837972,"('intolerant', 'tolerant')",1.4705153,1.3837972,-0.0867181
31,-1.7051132,-1.5778794,"('evil', 'good')",-1.7051132,-1.5778794,0.1272338
32,1.2383636,1.0759815,"('unkind', 'kind')",1.2383636,1.0759815,-0.1623821
33,-1.1809683,-1.0343513,"('wrong', 'right')",-1.1809683,-1.0343513,0.146617
34,4.2089376,4.470519,"('mean', 'honorable')",4.2089376,4.4705191,0.2615815
35,-1.8132924,-1.8922338,"('corrupt', 'incorrupt')",-1.8132924,-1.8922338,-0.0789414
36,-1.3597789,-1.4496508,"('hostile', 'amicable')",-1.3597789,-1.4496508,-0.0898719
37,0.8895537,0.8255418,"('fake', 'genuine')",0.8895537,0.8255418,-0.0640119
38,-0.28348312,-0.17557852,"('untruthful', 'truthful')",-0.2834831,-0.1755785,0.1079046
39,0.18793873,0.17910801,"('exploitative', 'cooperative')",0.1879387,0.179108,-0.0088307
40,-1.1071445,-1.1129358,"('stingy', 'generous')",-1.1071445,-1.1129358,-0.0057913
41,0.42119157,0.2033553,"('unforgiving', 'forgiving')",0.4211916,0.2033553,-0.2178363
42,-1.4249271,-1.4629315,"('unreliable', 'reliable')",-1.4249271,-1.4629315,-0.0380044
43,1.7947998,1.8214978,"('irresponsible', 'responsible')",1.7947998,1.8214978,0.026698
44,-1.1053236,-1.2354574,"('prejudiced', 'unprejudiced')",-1.1053236,-1.2354574,-0.1301338
45,0.9034583,0.7588514,"('incompetent', 'competent')",0.9034583,0.7588514,-0.1446069
46,0.09812842,0.024870554,"('uncompetitive', 'competitive')",0.0981284,0.0248706,-0.0732578
47,5.7573967,5.888876,"('stupid', 'smart')",5.7573967,5.888876,0.1314793
48,1.1104666,1.0262667,"('unintelligent', 'intelligent')",1.1104666,1.0262667,-0.0841999
49,-0.4590088,-0.25419956,"('unable', 'able')",-0.4590088,-0.2541996,0.2048092
50,-0.2472889,-0.21731539,"('clumsy', 'skillful')",-0.2472889,-0.2173154,0.0299735
51,0.5599743,0.54138005,"('uneducated', 'educated')",0.5599743,0.54138,-0.0185943
52,-0.9208302,-0.91665614,"('irrational', 'rational')",-0.9208302,-0.9166561,0.0041741
53,0.1169677,0.15592062,"('uncreative', 'creative')",0.1169677,0.1559206,0.0389529
54,0.7017827,0.86565924,"('incapable', 'capable')",0.7017827,0.8656592,0.1638765
55,1.450984,1.462549,"('incompetent', 'clever')",1.450984,1.462549,0.011565
56,1.0961014,1.1702188,"('impractical', 'practical')",1.0961014,1.1702188,0.0741174
57,-2.0130317,-2.0999877,"('unimaginative', 'imaginative')",-2.0130317,-2.0999877,-0.086956
58,-0.015867997,-0.11807127,"('undiscriminating', 'discriminating')",-0.015868,-0.1180713,-0.1022033
59,-0.48274025,-0.33820677,"('foolish', 'wise')",-0.4827403,-0.3382068,0.1445335
60,0.92193854,1.0678328,"('inefficient', 'efficient')",0.9219385,1.0678328,0.1458943
61,0.65292263,0.46132898,"('illogical', 'logical')",0.6529226,0.461329,-0.1915936
62,1.5889237,1.7417928,"('incompetent', 'brilliant')",1.5889237,1.7417928,0.1528691
63,1.0759063,1.1622474,"('unperceptive', 'insightful')",1.0759063,1.1622474,0.0863411
64,-5.613639,-5.4655166,"('shy', 'confident')",-5.6136389,-5.4655166,0.1481223
65,1.6717377,1.5909652,"('insecure', 'secure')",1.6717377,1.5909652,-0.0807725
66,-0.30876058,-0.3932732,"('inactive', 'active')",-0.3087606,-0.3932732,-0.0845126
67,-0.7348356,-0.67812335,"('doubtful', 'determined')",-0.7348356,-0.6781234,0.0567122
