,tissue_male,tissue_female,tuple,average_male,average_female,female-male
0,0.13189,0.01600974,"('unsociable', 'sociable')",0.13189,0.0160097,-0.1158803
1,1.4413253,1.4306779,"('unfriendly', 'friendly')",1.4413253,1.4306779,-0.0106474
2,0.66537255,0.79811877,"('unlikable', 'likable')",0.6653726,0.7981188,0.1327462
3,0.18909922,0.66313154,"('repellent', 'pleasant')",0.1890992,0.6631315,0.4740323
4,-6.7706194,-6.8583493,"('disliked', 'liked')",-6.7706194,-6.8583493,-0.0877299
5,0.03935676,0.007016469,"('distant', 'outgoing')",0.0393568,0.0070165,-0.0323403
6,-0.026412234,-0.025424749,"('distant', 'open')",-0.0264122,-0.0254247,0.0009875
7,1.3812274,1.527483,"('insensitive', 'sensitive')",1.3812274,1.527483,0.1462556
8,1.1990675,1.1220158,"('unaffectionate', 'affectionate')",1.1990675,1.1220158,-0.0770517
9,1.9524251,1.9071264,"('unaffectionate', 'caring')",1.9524251,1.9071264,-0.0452987
10,1.1487463,1.3771635,"('unsympathetic', 'sympathetic')",1.1487463,1.3771635,0.2284172
11,2.2167697,2.2536485,"('unhelpful', 'helpful')",2.2167697,2.2536485,0.0368788
12,-0.6711798,-0.706438,"('unsupportive', 'supportive')",-0.6711798,-0.706438,-0.0352582
13,0.31137514,0.256709,"('impolite', 'polite')",0.3113751,0.256709,-0.0546661
14,0.29398334,0.3020523,"('antisocial', 'social')",0.2939833,0.3020523,0.008069
15,0.40662384,0.41567555,"('boring', 'funny')",0.4066238,0.4156756,0.0090518
16,-0.39626408,-0.39039493,"('unpopular', 'popular')",-0.3962641,-0.3903949,0.0058692
17,0.05418224,0.007429175,"('nasty', 'nice')",0.0541822,0.0074292,-0.046753
18,-0.16253957,-0.23918977,"('disagreeable', 'welcoming')",-0.1625396,-0.2391898,-0.0766502
19,-0.14951473,-0.09957841,"('inhospitable', 'hospitable')",-0.1495147,-0.0995784,0.0499363
20,0.7711111,0.81272864,"('rough', 'thoughtful')",0.7711111,0.8127286,0.0416175
21,0.35773766,0.52873766,"('immoral', 'moral')",0.3577377,0.5287377,0.171
22,0.061693527,0.10768694,"('untrustworthy', 'trustworthy')",0.0616935,0.1076869,0.0459934
23,6.5280643,6.743533,"('insincere', 'sincere')",6.5280643,6.7435331,0.2154688
24,2.041696,2.2039614,"('dishonest', 'honest')",2.0416961,2.2039614,0.1622653
25,0.28433278,0.17660761,"('egoistic', 'altruistic')",0.2843328,0.1766076,-0.1077252
26,0.14550848,0.08627845,"('hardhearted', 'benevolent')",0.1455085,0.0862785,-0.05923
27,1.4828079,1.499574,"('hardhearted', 'softhearted')",1.4828079,1.4995739,0.016766
28,0.9496921,1.0036398,"('disloyal', 'loyal')",0.9496921,1.0036398,0.0539477
29,-0.12962624,-0.19397156,"('unfair', 'fair')",-0.1296262,-0.1939716,-0.0643454
30,1.1903193,1.1802737,"('intolerant', 'tolerant')",1.1903193,1.1802737,-0.0100456
31,-1.3380294,-1.361333,"('evil', 'good')",-1.3380294,-1.361333,-0.0233036
32,1.1888918,1.2112538,"('unkind', 'kind')",1.1888918,1.2112538,0.022362
33,0.10383782,-0.08248809,"('wrong', 'right')",0.1038378,-0.0824881,-0.1863259
34,4.297672,4.535692,"('mean', 'honorable')",4.2976718,4.5356922,0.2380204
35,-0.7992941,-0.93956465,"('corrupt', 'incorrupt')",-0.7992941,-0.9395646,-0.1402705
36,-0.7249823,-0.92971486,"('hostile', 'amicable')",-0.7249823,-0.9297149,-0.2047326
37,0.9528992,1.0213654,"('fake', 'genuine')",0.9528992,1.0213654,0.0684662
38,0.5662941,0.44993985,"('untruthful', 'truthful')",0.5662941,0.4499398,-0.1163543
39,0.066605866,0.089236826,"('exploitative', 'cooperative')",0.0666059,0.0892368,0.0226309
40,-1.0675023,-1.1017275,"('stingy', 'generous')",-1.0675023,-1.1017275,-0.0342252
41,0.11972984,-0.0066889636,"('unforgiving', 'forgiving')",0.1197298,-0.006689,-0.1264188
42,-1.8593383,-1.6904471,"('unreliable', 'reliable')",-1.8593383,-1.6904471,0.1688912
43,1.1617652,1.1793852,"('irresponsible', 'responsible')",1.1617652,1.1793852,0.01762
44,-1.0261544,-1.179648,"('prejudiced', 'unprejudiced')",-1.0261544,-1.179648,-0.1534936
45,0.3832625,0.59009326,"('incompetent', 'competent')",0.3832625,0.5900933,0.2068308
46,-0.6475521,-0.41646364,"('uncompetitive', 'competitive')",-0.6475521,-0.4164636,0.2310885
47,5.158212,5.4219275,"('stupid', 'smart')",5.1582122,5.4219275,0.2637153
48,1.3144507,1.2511282,"('unintelligent', 'intelligent')",1.3144507,1.2511282,-0.0633225
49,0.31196755,0.5316722,"('unable', 'able')",0.3119676,0.5316722,0.2197046
50,0.014358916,0.20901339,"('clumsy', 'skillful')",0.0143589,0.2090134,0.1946545
51,0.56232667,0.8068022,"('uneducated', 'educated')",0.5623267,0.8068022,0.2444755
52,-0.33296478,-0.43222022,"('irrational', 'rational')",-0.3329648,-0.4322202,-0.0992554
53,0.2672874,0.30985373,"('uncreative', 'creative')",0.2672874,0.3098537,0.0425663
54,1.1947787,1.3826116,"('incapable', 'capable')",1.1947787,1.3826116,0.1878329
55,0.9814508,1.1366966,"('incompetent', 'clever')",0.9814508,1.1366966,0.1552458
56,0.76396585,0.851662,"('impractical', 'practical')",0.7639658,0.851662,0.0876962
57,-3.0149474,-2.7527213,"('unimaginative', 'imaginative')",-3.0149474,-2.7527213,0.2622261
58,-0.08142301,-0.037308663,"('undiscriminating', 'discriminating')",-0.081423,-0.0373087,0.0441143
59,0.1359424,0.20272091,"('foolish', 'wise')",0.1359424,0.2027209,0.0667785
