,segment_male,segment_female,tuple,average_male,average_female,female-male
0,0.16341841,0.12582916,"('unsociable', 'sociable')",0.1634184,0.1258292,-0.0375892
1,1.498552,1.4086802,"('unfriendly', 'friendly')",1.498552,1.4086802,-0.0898718
2,0.458684,0.5549693,"('unlikable', 'likable')",0.458684,0.5549693,0.0962853
3,0.8046016,0.9668114,"('repellent', 'pleasant')",0.8046016,0.9668114,0.1622098
4,-7.367383,-7.3765364,"('disliked', 'liked')",-7.367383,-7.3765364,-0.0091534
5,-0.45774305,-0.5846717,"('distant', 'outgoing')",-0.457743,-0.5846717,-0.1269287
6,-0.107971914,-0.21650769,"('distant', 'open')",-0.1079719,-0.2165077,-0.1085358
7,1.4733944,1.566996,"('insensitive', 'sensitive')",1.4733944,1.566996,0.0936016
8,0.9845397,0.9159532,"('unaffectionate', 'affectionate')",0.9845397,0.9159532,-0.0685865
9,1.408036,1.4527206,"('unaffectionate', 'caring')",1.408036,1.4527206,0.0446846
10,1.5039828,1.6178154,"('unsympathetic', 'sympathetic')",1.5039828,1.6178154,0.1138326
11,2.0914636,2.136595,"('unhelpful', 'helpful')",2.0914636,2.136595,0.0451314
12,-1.1289855,-1.0658581,"('unsupportive', 'supportive')",-1.1289855,-1.0658581,0.0631274
13,0.437854,0.42605853,"('impolite', 'polite')",0.437854,0.4260585,-0.0117955
14,0.38165656,0.35959804,"('antisocial', 'social')",0.3816566,0.359598,-0.0220586
15,0.33855027,0.31905136,"('boring', 'funny')",0.3385503,0.3190514,-0.0194989
16,-0.48153555,-0.40769204,"('unpopular', 'popular')",-0.4815356,-0.407692,0.0738436
17,-0.4855801,-0.51638395,"('nasty', 'nice')",-0.4855801,-0.5163839,-0.0308038
18,-0.35258144,-0.4225384,"('disagreeable', 'welcoming')",-0.3525814,-0.4225384,-0.069957
19,-0.5841726,-0.6451751,"('inhospitable', 'hospitable')",-0.5841726,-0.6451751,-0.0610025
20,1.0917752,1.0757141,"('rough', 'thoughtful')",1.0917752,1.0757141,-0.0160611
21,0.13883808,0.2908544,"('immoral', 'moral')",0.1388381,0.2908544,0.1520163
