,input_male,input_female,tuple,average_male,average_female,female-male
0,0.3247761,0.12962423,"('unsociable', 'sociable')",0.3247761,0.1296242,-0.1951519
1,0.6570158,0.64162016,"('unfriendly', 'friendly')",0.6570158,0.6416202,-0.0153956
2,-0.10310298,0.16289397,"('unlikable', 'likable')",-0.103103,0.162894,0.265997
3,0.65921026,0.75032806,"('repellent', 'pleasant')",0.6592103,0.7503281,0.0911178
4,-7.1708064,-7.26606,"('disliked', 'liked')",-7.1708064,-7.2660599,-0.0952535
5,-0.7459565,-0.48173422,"('distant', 'outgoing')",-0.7459565,-0.4817342,0.2642223
6,-0.5724277,-0.33031833,"('distant', 'open')",-0.5724277,-0.3303183,0.2421094
7,0.7333755,0.75354373,"('insensitive', 'sensitive')",0.7333755,0.7535437,0.0201682
8,0.5979544,0.62223494,"('unaffectionate', 'affectionate')",0.5979544,0.6222349,0.0242805
9,1.659046,1.709346,"('unaffectionate', 'caring')",1.6590461,1.7093461,0.0503
10,1.428719,1.4647403,"('unsympathetic', 'sympathetic')",1.428719,1.4647403,0.0360213
11,2.6503634,2.5793185,"('unhelpful', 'helpful')",2.6503634,2.5793185,-0.0710449
12,-1.4549701,-1.4578874,"('unsupportive', 'supportive')",-1.4549701,-1.4578874,-0.0029173
13,0.50668794,0.4588217,"('impolite', 'polite')",0.5066879,0.4588217,-0.0478662
14,0.12640427,-0.070094645,"('antisocial', 'social')",0.1264043,-0.0700946,-0.1964989
15,0.24760064,0.21712819,"('boring', 'funny')",0.2476006,0.2171282,-0.0304724
16,-0.43067467,-0.36941618,"('unpopular', 'popular')",-0.4306747,-0.3694162,0.0612585
17,-0.35424456,-0.32380795,"('nasty', 'nice')",-0.3542446,-0.323808,0.0304366
18,-1.0765079,-1.085164,"('disagreeable', 'welcoming')",-1.0765079,-1.085164,-0.0086561
19,-1.2414763,-1.0312662,"('inhospitable', 'hospitable')",-1.2414763,-1.0312662,0.2102101
20,0.9504592,0.778568,"('rough', 'thoughtful')",0.9504592,0.778568,-0.1718912
21,0.18229781,0.21271545,"('immoral', 'moral')",0.1822978,0.2127154,0.0304176
