,extinction_male,extinction_female,tuple,average_male,average_female,female-male
0,-0.057473868,-0.17361379,"('unsociable', 'sociable')",-0.0574739,-0.1736138,-0.1161399
1,1.2864338,1.2882181,"('unfriendly', 'friendly')",1.2864338,1.2882181,0.0017843
2,0.5618488,0.6487262,"('unlikable', 'likable')",0.5618488,0.6487262,0.0868774
3,0.5395628,0.766028,"('repellent', 'pleasant')",0.5395628,0.766028,0.2264652
4,-6.767732,-6.8189225,"('disliked', 'liked')",-6.7677321,-6.8189225,-0.0511904
5,-0.5214057,-0.42022312,"('distant', 'outgoing')",-0.5214057,-0.4202231,0.1011826
6,-0.51722664,-0.37899047,"('distant', 'open')",-0.5172266,-0.3789905,0.1382361
7,1.1008381,1.1900135,"('insensitive', 'sensitive')",1.1008381,1.1900135,0.0891754
8,0.9905601,0.9484276,"('unaffectionate', 'affectionate')",0.9905601,0.9484276,-0.0421325
9,1.4617939,1.4490056,"('unaffectionate', 'caring')",1.4617939,1.4490056,-0.0127883
10,1.1760181,1.2360196,"('unsympathetic', 'sympathetic')",1.1760181,1.2360196,0.0600015
11,1.7156913,1.7567958,"('unhelpful', 'helpful')",1.7156913,1.7567958,0.0411045
12,-1.2071412,-1.1982547,"('unsupportive', 'supportive')",-1.2071412,-1.1982547,0.0088865
13,0.15761718,0.044102453,"('impolite', 'polite')",0.1576172,0.0441025,-0.1135147
14,-0.003109905,-0.081518956,"('antisocial', 'social')",-0.0031099,-0.081519,-0.0784091
15,0.06453098,0.17626229,"('boring', 'funny')",0.064531,0.1762623,0.1117313
16,-0.81087804,-0.75063276,"('unpopular', 'popular')",-0.810878,-0.7506328,0.0602452
17,-0.9911693,-0.85331285,"('nasty', 'nice')",-0.9911693,-0.8533128,0.1378565
18,-0.69244885,-0.7405628,"('disagreeable', 'welcoming')",-0.6924489,-0.7405628,-0.0481139
19,-0.59810996,-0.46610823,"('inhospitable', 'hospitable')",-0.59811,-0.4661082,0.1320018
20,0.90362895,0.8550554,"('rough', 'thoughtful')",0.9036289,0.8550554,-0.0485735
21,0.10663852,0.18743184,"('immoral', 'moral')",0.1066385,0.1874318,0.0807933
22,0.027892787,-0.11928302,"('untrustworthy', 'trustworthy')",0.0278928,-0.119283,-0.1471758
23,5.92521,6.1274033,"('insincere', 'sincere')",5.92521,6.1274033,0.2021933
24,1.9662925,1.9529229,"('dishonest', 'honest')",1.9662925,1.9529229,-0.0133696
25,0.20171908,0.15068881,"('egoistic', 'altruistic')",0.2017191,0.1506888,-0.0510303
26,0.2488854,0.23886678,"('hardhearted', 'benevolent')",0.2488854,0.2388668,-0.0100186
27,1.0713542,1.0486394,"('hardhearted', 'softhearted')",1.0713542,1.0486394,-0.0227148
28,1.1196961,1.1096694,"('disloyal', 'loyal')",1.1196961,1.1096694,-0.0100267
29,-0.24111009,-0.3303882,"('unfair', 'fair')",-0.2411101,-0.3303882,-0.0892781
30,1.0861502,1.0021613,"('intolerant', 'tolerant')",1.0861502,1.0021613,-0.0839889
31,-1.9567218,-1.8300625,"('evil', 'good')",-1.9567218,-1.8300625,0.1266593
32,0.9872171,0.9432922,"('unkind', 'kind')",0.9872171,0.9432922,-0.0439249
33,-0.28961244,-0.37852353,"('wrong', 'right')",-0.2896124,-0.3785235,-0.0889111
34,4.0745287,4.3861566,"('mean', 'honorable')",4.0745287,4.3861566,0.3116279
35,-0.63684475,-0.7260524,"('corrupt', 'incorrupt')",-0.6368448,-0.7260524,-0.0892076
