,lymphocyte_male,lymphocyte_female,tuple,average_male,average_female,female-male
0,-1.276146,-1.3347956,"('unsociable', 'sociable')",-1.2761461,-1.3347956,-0.0586495
1,0.13092934,0.08756048,"('unfriendly', 'friendly')",0.1309293,0.0875605,-0.0433688
2,0.34103507,0.35438788,"('unlikable', 'likable')",0.3410351,0.3543879,0.0133528
3,-2.0532873,-1.9272859,"('repellent', 'pleasant')",-2.0532873,-1.9272859,0.1260014
4,-0.45613262,-0.43609762,"('disliked', 'liked')",-0.4561326,-0.4360976,0.020035
5,0.9431187,0.991824,"('distant', 'outgoing')",0.9431187,0.991824,0.0487053
6,1.2975498,1.347909,"('distant', 'open')",1.2975498,1.347909,0.0503592
7,-1.6586384,-1.6423844,"('insensitive', 'sensitive')",-1.6586384,-1.6423844,0.016254
8,1.0596751,0.9516244,"('unaffectionate', 'affectionate')",1.0596751,0.9516244,-0.1080507
9,0.6988842,0.6588849,"('unaffectionate', 'caring')",0.6988842,0.6588849,-0.0399993
10,-2.9504287,-2.9629724,"('unsympathetic', 'sympathetic')",-2.9504287,-2.9629724,-0.0125437
11,-1.0736718,-1.0824655,"('unhelpful', 'helpful')",-1.0736718,-1.0824655,-0.0087937
12,0.12950984,0.21272412,"('unsupportive', 'supportive')",0.1295098,0.2127241,0.0832143
13,-1.9403526,-2.0083952,"('impolite', 'polite')",-1.9403526,-2.0083952,-0.0680426
14,-1.2068594,-1.2178295,"('antisocial', 'social')",-1.2068594,-1.2178295,-0.0109701
15,0.7728339,0.6371689,"('boring', 'funny')",0.7728339,0.6371689,-0.135665
16,0.4229698,0.46106344,"('unpopular', 'popular')",0.4229698,0.4610634,0.0380936
17,-0.4559223,-0.37925157,"('nasty', 'nice')",-0.4559223,-0.3792516,0.0766707
18,0.06975116,0.0719786,"('disagreeable', 'welcoming')",0.0697512,0.0719786,0.0022274
19,-0.41180643,-0.3188724,"('inhospitable', 'hospitable')",-0.4118064,-0.3188724,0.092934
20,-0.51887786,-0.523084,"('rough', 'thoughtful')",-0.5188779,-0.523084,-0.0042061
21,-1.2795627,-1.249462,"('immoral', 'moral')",-1.2795627,-1.249462,0.0301007
22,-1.1962374,-1.2161026,"('untrustworthy', 'trustworthy')",-1.1962374,-1.2161026,-0.0198652
23,-0.6718403,-0.7192027,"('insincere', 'sincere')",-0.6718403,-0.7192027,-0.0473624
24,-1.0840235,-1.1425202,"('dishonest', 'honest')",-1.0840235,-1.1425202,-0.0584967
