,deep_male,deep_female,tuple,average_male,average_female,female-male
0,0.096509546,0.056647263,"('unsociable', 'sociable')",0.0965095,0.0566473,-0.0398622
1,2.0598526,2.0267267,"('unfriendly', 'friendly')",2.0598526,2.0267267,-0.0331259
2,0.47524077,0.6015633,"('unlikable', 'likable')",0.4752408,0.6015633,0.1263225
3,1.264516,1.314347,"('repellent', 'pleasant')",1.264516,1.314347,0.049831
4,-6.5660825,-6.62556,"('disliked', 'liked')",-6.5660825,-6.6255598,-0.0594773
5,0.29575053,0.4365155,"('distant', 'outgoing')",0.2957505,0.4365155,0.140765
6,0.701282,0.79596466,"('distant', 'open')",0.701282,0.7959647,0.0946827
7,1.4585805,1.4648237,"('insensitive', 'sensitive')",1.4585805,1.4648237,0.0062432
8,1.6126375,1.5717826,"('unaffectionate', 'affectionate')",1.6126375,1.5717826,-0.0408549
9,2.0806992,2.1567397,"('unaffectionate', 'caring')",2.0806992,2.1567397,0.0760405
10,0.82139194,0.8958763,"('unsympathetic', 'sympathetic')",0.8213919,0.8958763,0.0744844
11,1.8958732,1.9698855,"('unhelpful', 'helpful')",1.8958732,1.9698855,0.0740123
12,-1.0540941,-0.8746142,"('unsupportive', 'supportive')",-1.0540941,-0.8746142,0.1794799
13,-0.16517785,-0.2218287,"('impolite', 'polite')",-0.1651779,-0.2218287,-0.0566508
14,-0.077205844,-0.13616003,"('antisocial', 'social')",-0.0772058,-0.13616,-0.0589542
15,0.7574175,0.69070166,"('boring', 'funny')",0.7574175,0.6907017,-0.0667158
16,-0.17367503,-0.11839304,"('unpopular', 'popular')",-0.173675,-0.118393,0.055282
17,-0.08945712,-0.09016973,"('nasty', 'nice')",-0.0894571,-0.0901697,-0.0007126
18,-0.013740271,0.009909485,"('disagreeable', 'welcoming')",-0.0137403,0.0099095,0.0236498
19,-0.0551525,0.16523054,"('inhospitable', 'hospitable')",-0.0551525,0.1652305,0.220383
20,0.4696148,0.2925418,"('rough', 'thoughtful')",0.4696148,0.2925418,-0.177073
21,-0.07392878,0.104751386,"('immoral', 'moral')",-0.0739288,0.1047514,0.1786802
22,-0.19984329,-0.07578817,"('untrustworthy', 'trustworthy')",-0.1998433,-0.0757882,0.1240551
23,6.7655945,6.8570533,"('insincere', 'sincere')",6.7655945,6.8570533,0.0914588
24,1.935985,2.0833182,"('dishonest', 'honest')",1.935985,2.0833182,0.1473332
25,1.1788998,0.9869134,"('egoistic', 'altruistic')",1.1788998,0.9869134,-0.1919864
26,0.5966916,0.41693103,"('hardhearted', 'benevolent')",0.5966916,0.416931,-0.1797606
27,1.8819956,1.6809144,"('hardhearted', 'softhearted')",1.8819956,1.6809144,-0.2010812
28,1.0675069,1.0253022,"('disloyal', 'loyal')",1.0675069,1.0253022,-0.0422047
29,-0.39385498,-0.49344188,"('unfair', 'fair')",-0.393855,-0.4934419,-0.0995869
30,0.86135226,0.8861323,"('intolerant', 'tolerant')",0.8613523,0.8861323,0.02478
31,-0.71385056,-0.6890317,"('evil', 'good')",-0.7138506,-0.6890317,0.0248189
32,1.304849,1.1984144,"('unkind', 'kind')",1.304849,1.1984144,-0.1064346
33,0.22888918,0.32528424,"('wrong', 'right')",0.2288892,0.3252842,0.096395
34,4.802823,5.076658,"('mean', 'honorable')",4.8028231,5.0766578,0.2738347
