,amerisourcebergen_male,amerisourcebergen_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-1.424979,-1.4665754,"('unsociable', 'sociable')",-0.4344406,-0.5454121,-0.9297098,-1.0059937,-0.0762839
1,-1.6835501,-1.8709449,"('unfriendly', 'friendly')",1.7327911,1.5726637,0.0246205,-0.1491406,-0.1737611
2,0.987221,1.0061988,"('unlikable', 'likable')",0.88206345,0.95621556,0.9346422,0.9812071,0.0465649
3,-0.38734612,-0.2622702,"('repellent', 'pleasant')",0.6019913,0.6703859,0.1073226,0.2040578,0.0967352
4,-0.35413095,-0.44823036,"('disliked', 'liked')",-7.2280703,-7.383112,-3.7911005,-3.9156711,-0.1245706
5,-0.37688753,-0.42087182,"('distant', 'outgoing')",-0.21558377,-0.2862033,-0.2962357,-0.3535376,-0.0573019
6,-0.44313887,-0.48472956,"('distant', 'open')",0.089444734,0.005199708,-0.1768471,-0.2397649,-0.0629178
7,-0.6612157,-0.55844784,"('insensitive', 'sensitive')",-0.019754972,0.09519611,-0.3404853,-0.2316259,0.1088594
8,-1.6578977,-1.7606821,"('unaffectionate', 'affectionate')",1.0904776,1.0040227,-0.2837101,-0.3783297,-0.0946196
9,-1.6050266,-1.7075663,"('unaffectionate', 'caring')",1.4240301,1.3915849,-0.0904983,-0.1579907,-0.0674924
10,-1.7342557,-1.6642568,"('unsympathetic', 'sympathetic')",-0.77840316,-0.7379692,-1.2563294,-1.201113,0.0552164
11,-0.7977562,-0.76311517,"('unhelpful', 'helpful')",1.3864144,1.4960902,0.2943291,0.3664875,0.0721584
12,-1.3689579,-1.3123987,"('unsupportive', 'supportive')",-2.3372116,-2.3349705,-1.8530848,-1.8236846,0.0294002
13,0.023756377,0.060932126,"('impolite', 'polite')",-1.1666905,-1.0893636,-0.571467,-0.5142157,0.0572513
14,-0.18311998,-0.0299159,"('antisocial', 'social')",-0.18299495,-0.16973485,-0.1830575,-0.0998254,0.0832321
15,0.6461575,0.5782081,"('boring', 'funny')",0.12642881,0.156517,0.3862932,0.3673626,-0.0189306
16,-0.23613176,-0.27851966,"('unpopular', 'popular')",0.5172082,0.4226479,0.1405382,0.0720641,-0.0684741
17,0.10680872,0.18629116,"('nasty', 'nice')",-0.29413313,-0.271441,-0.0936622,-0.0425749,0.0510873
18,-0.57954603,-0.4822622,"('disagreeable', 'welcoming')",-0.5948764,-0.6379843,-0.5872113,-0.5601232,0.0270881
19,-1.1440487,-1.1626287,"('inhospitable', 'hospitable')",-0.64357597,-0.6007694,-0.8938123,-0.881699,0.0121133
20,0.41745418,0.5155648,"('rough', 'thoughtful')",0.9813168,0.9708713,0.6993855,0.7432181,0.0438326
21,-0.4182114,-0.39113408,"('immoral', 'moral')",-1.0133276,-0.9237041,-0.7157695,-0.6574191,0.0583504
22,-0.15475005,-0.066146925,"('untrustworthy', 'trustworthy')",-1.202267,-1.2210628,-0.6785085,-0.6436049,0.0349036
23,-1.0016958,-0.98767346,"('insincere', 'sincere')",5.489178,5.543684,2.2437413,2.2780054,0.0342641
24,-0.97139764,-0.95125115,"('dishonest', 'honest')",0.4038714,0.43994573,-0.2837631,-0.2556527,0.0281104
25,-0.10554643,-0.23085774,"('egoistic', 'altruistic')",1.6269737,1.5429313,0.7607136,0.6560368,-0.1046768
26,-0.3920558,-0.43238735,"('hardhearted', 'benevolent')",1.695312,1.6365551,0.6516281,0.6020839,-0.0495442
27,-0.44184637,-0.3962568,"('hardhearted', 'softhearted')",1.1710808,1.1070579,0.3646172,0.3554006,-0.0092166
28,-1.2279747,-1.3360089,"('disloyal', 'loyal')",1.0346603,0.93031913,-0.0966572,-0.2028449,-0.1061877
29,-0.44145852,-0.47136968,"('unfair', 'fair')",-0.46166745,-0.5767609,-0.451563,-0.5240653,-0.0725023
30,-0.00873919,0.04261101,"('intolerant', 'tolerant')",0.85424626,0.92336303,0.4227535,0.482987,0.0602335
31,-0.6765206,-0.6845742,"('evil', 'good')",-0.42529204,-0.54680306,-0.5509063,-0.6156886,-0.0647823
32,-0.7238132,-0.7062599,"('unkind', 'kind')",0.5083205,0.44583714,-0.1077463,-0.1302114,-0.0224651
33,0.34665805,0.24856687,"('wrong', 'right')",-0.42109844,-0.46774682,-0.0372202,-0.10959,-0.0723698
34,0.1964272,0.2666756,"('mean', 'honorable')",5.4048004,5.5848427,2.8006139,2.9257591,0.1251452
35,0.9074925,0.7881725,"('corrupt', 'incorrupt')",-0.13650613,-0.29207,0.3854932,0.2480512,-0.137442
36,-0.5476039,-0.69876003,"('hostile', 'amicable')",0.2610377,0.060351297,-0.1432831,-0.3192044,-0.1759213
37,0.23459154,0.29319918,"('fake', 'genuine')",0.17175776,0.19145468,0.2031747,0.2423269,0.0391522
38,-1.0445064,-1.1128474,"('untruthful', 'truthful')",-0.34173933,-0.33810157,-0.6931229,-0.7254745,-0.0323516
39,0.64919627,0.6771152,"('exploitative', 'cooperative')",0.43871155,0.48617575,0.5439539,0.5816455,0.0376916
40,-0.3172481,-0.36526233,"('stingy', 'generous')",-1.9929044,-2.1766372,-1.1550763,-1.2709497,-0.1158734
41,-1.0099702,-1.0112247,"('unforgiving', 'forgiving')",-0.2785046,-0.33373246,-0.6442374,-0.6724786,-0.0282412
42,0.8267988,0.9853993,"('unreliable', 'reliable')",-3.379019,-3.302005,-1.2761102,-1.1583029,0.1178073
43,-0.7666563,-0.66661525,"('irresponsible', 'responsible')",0.19054696,0.29310593,-0.2880546,-0.1867547,0.1012999
44,1.1715333,1.2063581,"('prejudiced', 'unprejudiced')",-1.1141087,-1.1125934,0.0287123,0.0468823,0.01817
45,-0.79338986,-0.75124514,"('incompetent', 'competent')",-0.28811055,-0.24272233,-0.5407502,-0.4969837,0.0437665
46,-1.1133574,-1.0395567,"('uncompetitive', 'competitive')",-1.5118635,-1.4326153,-1.3126104,-1.236086,0.0765244
47,0.06377514,0.18782505,"('stupid', 'smart')",5.6920886,5.8471713,2.8779318,3.0174983,0.1395665
48,-0.70231444,-0.71948165,"('unintelligent', 'intelligent')",0.3977791,0.43814713,-0.1522677,-0.1406673,0.0116004
49,-0.28382698,-0.11817752,"('unable', 'able')",-0.43791837,-0.3243299,-0.3608727,-0.2212537,0.139619
50,0.59348434,0.6368224,"('clumsy', 'skillful')",0.11081477,0.04762716,0.3521495,0.3422248,-0.0099247
51,-0.76320386,-0.76861775,"('uneducated', 'educated')",-0.66544026,-0.6967432,-0.7143221,-0.7326804,-0.0183583
52,-0.23587969,-0.47261176,"('irrational', 'rational')",0.94002205,0.7668509,0.3520712,0.1471196,-0.2049516
