,panther_male,panther_female,tuple,average_male,average_female,female-male
0,0.039745353,-0.16483533,"('unsociable', 'sociable')",0.0397454,-0.1648353,-0.2045807
1,1.3709753,1.2969697,"('unfriendly', 'friendly')",1.3709753,1.2969697,-0.0740056
2,0.48680204,0.61285114,"('unlikable', 'likable')",0.486802,0.6128511,0.1260491
3,0.7173752,0.76533884,"('repellent', 'pleasant')",0.7173752,0.7653388,0.0479636
4,-7.1798253,-7.1885867,"('disliked', 'liked')",-7.1798253,-7.1885867,-0.0087614
5,-0.19228227,-0.080419645,"('distant', 'outgoing')",-0.1922823,-0.0804196,0.1118627
6,0.11813228,0.221795,"('distant', 'open')",0.1181323,0.221795,0.1036627
7,0.504155,0.54793304,"('insensitive', 'sensitive')",0.504155,0.547933,0.043778
8,1.3880354,1.3886936,"('unaffectionate', 'affectionate')",1.3880354,1.3886936,0.0006582
9,1.7176557,1.8295776,"('unaffectionate', 'caring')",1.7176557,1.8295776,0.1119219
10,1.0767324,1.1520194,"('unsympathetic', 'sympathetic')",1.0767324,1.1520194,0.075287
11,1.8358364,1.8944296,"('unhelpful', 'helpful')",1.8358364,1.8944296,0.0585932
12,-1.6181821,-1.644531,"('unsupportive', 'supportive')",-1.6181821,-1.644531,-0.0263489
13,0.08360602,0.0074486434,"('impolite', 'polite')",0.083606,0.0074486,-0.0761574
14,-0.4220735,-0.62780803,"('antisocial', 'social')",-0.4220735,-0.627808,-0.2057345
15,0.6180262,0.4991908,"('boring', 'funny')",0.6180262,0.4991908,-0.1188354
16,-0.43577203,-0.395518,"('unpopular', 'popular')",-0.435772,-0.395518,0.040254
17,-0.2700618,-0.2267628,"('nasty', 'nice')",-0.2700618,-0.2267628,0.043299
18,-0.48964426,-0.6381403,"('disagreeable', 'welcoming')",-0.4896443,-0.6381403,-0.148496
19,-0.42678866,-0.23966426,"('inhospitable', 'hospitable')",-0.4267887,-0.2396643,0.1871244
20,0.5059771,0.32325393,"('rough', 'thoughtful')",0.5059771,0.3232539,-0.1827232
21,-0.017750278,0.08024974,"('immoral', 'moral')",-0.0177503,0.0802497,0.098
22,-0.79101354,-0.76740277,"('untrustworthy', 'trustworthy')",-0.7910135,-0.7674028,0.0236107
