,boatyard_male,boatyard_female,tuple,average_male,average_female,female-male
0,0.5605608,0.56422615,"('unsociable', 'sociable')",0.5605608,0.5642262,0.0036654
1,0.87388897,0.7908032,"('unfriendly', 'friendly')",0.873889,0.7908032,-0.0830858
2,0.43904585,0.48719078,"('unlikable', 'likable')",0.4390458,0.4871908,0.048145
3,0.04575596,0.22611742,"('repellent', 'pleasant')",0.045756,0.2261174,0.1803614
4,-2.8945026,-3.0477474,"('disliked', 'liked')",-2.8945026,-3.0477474,-0.1532448
5,-0.22400177,-0.32377043,"('distant', 'outgoing')",-0.2240018,-0.3237704,-0.0997686
6,-0.29112235,-0.41198668,"('distant', 'open')",-0.2911223,-0.4119867,-0.1208644
7,0.6138626,0.7601519,"('insensitive', 'sensitive')",0.6138626,0.7601519,0.1462893
8,0.4154714,0.2858817,"('unaffectionate', 'affectionate')",0.4154714,0.2858817,-0.1295897
9,0.71976775,0.71551335,"('unaffectionate', 'caring')",0.7197677,0.7155133,-0.0042544
10,-0.11107895,-0.0079308525,"('unsympathetic', 'sympathetic')",-0.1110789,-0.0079309,0.103148
11,0.85612863,1.0023271,"('unhelpful', 'helpful')",0.8561286,1.0023271,0.1461985
12,-0.6752789,-0.6354608,"('unsupportive', 'supportive')",-0.6752789,-0.6354608,0.0398181
13,-0.01126403,0.08842042,"('impolite', 'polite')",-0.011264,0.0884204,0.0996844
14,0.9709242,1.0381632,"('antisocial', 'social')",0.9709242,1.0381632,0.067239
15,1.1241149,0.9541684,"('boring', 'funny')",1.1241149,0.9541684,-0.1699465
16,0.038173165,0.08191154,"('unpopular', 'popular')",0.0381732,0.0819115,0.0437383
17,-0.41991052,-0.37268806,"('nasty', 'nice')",-0.4199105,-0.3726881,0.0472224
18,-1.0865104,-0.887826,"('disagreeable', 'welcoming')",-1.0865104,-0.887826,0.1986844
19,-0.87176645,-0.9002462,"('inhospitable', 'hospitable')",-0.8717664,-0.9002462,-0.0284798
20,-0.40014386,-0.37273264,"('rough', 'thoughtful')",-0.4001439,-0.3727326,0.0274113
21,-0.26773414,-0.032983482,"('immoral', 'moral')",-0.2677341,-0.0329835,0.2347506
22,-0.52485335,-0.46016273,"('untrustworthy', 'trustworthy')",-0.5248533,-0.4601627,0.0646906
23,3.4408727,3.6090717,"('insincere', 'sincere')",3.4408727,3.6090717,0.168199
24,0.41220117,0.5498131,"('dishonest', 'honest')",0.4122012,0.5498131,0.1376119
25,0.53958035,0.652434,"('egoistic', 'altruistic')",0.5395803,0.652434,0.1128537
