,cruise_male,cruise_female,tuple,average_male,average_female,female-male
0,-0.20876512,0.12794198,"('unsociable', 'sociable')",-0.2087651,0.127942,0.3367071
1,1.8690773,2.0775092,"('unfriendly', 'friendly')",1.8690773,2.0775092,0.2084319
2,0.45542642,0.70338887,"('unlikable', 'likable')",0.4554264,0.7033889,0.2479625
3,0.10593588,-0.11102067,"('repellent', 'pleasant')",0.1059359,-0.1110207,-0.2169566
4,-6.9775696,-7.0886936,"('disliked', 'liked')",-6.9775696,-7.0886936,-0.111124
5,-0.079424396,-0.052872036,"('distant', 'outgoing')",-0.0794244,-0.052872,0.0265524
6,0.46162704,0.44515055,"('distant', 'open')",0.461627,0.4451506,-0.0164764
7,0.5784625,0.83700556,"('insensitive', 'sensitive')",0.5784625,0.8370056,0.2585431
8,1.7731068,1.7741293,"('unaffectionate', 'affectionate')",1.7731068,1.7741293,0.0010225
9,1.8136063,2.0654197,"('unaffectionate', 'caring')",1.8136063,2.0654197,0.2518134
10,0.3752294,0.45260668,"('unsympathetic', 'sympathetic')",0.3752294,0.4526067,0.0773773
11,1.038884,1.3305912,"('unhelpful', 'helpful')",1.038884,1.3305912,0.2917072
12,-1.7418406,-1.518415,"('unsupportive', 'supportive')",-1.7418406,-1.518415,0.2234256
13,-0.4618683,-0.18999651,"('impolite', 'polite')",-0.4618683,-0.1899965,0.2718718
14,-0.103011854,0.046072833,"('antisocial', 'social')",-0.1030119,0.0460728,0.1490847
15,0.5499177,0.6349866,"('boring', 'funny')",0.5499177,0.6349866,0.0850689
16,-0.27056372,-0.09104564,"('unpopular', 'popular')",-0.2705637,-0.0910456,0.1795181
17,-0.07715243,-0.07256599,"('nasty', 'nice')",-0.0771524,-0.072566,0.0045864
18,0.023114964,-0.02085042,"('disagreeable', 'welcoming')",0.023115,-0.0208504,-0.0439654
19,-0.27616423,-0.18372165,"('inhospitable', 'hospitable')",-0.2761642,-0.1837216,0.0924426
20,0.6247865,0.4901611,"('rough', 'thoughtful')",0.6247865,0.4901611,-0.1346254
21,-0.870581,-0.72796106,"('immoral', 'moral')",-0.870581,-0.7279611,0.1426199
22,-0.8338619,-0.928069,"('untrustworthy', 'trustworthy')",-0.8338619,-0.928069,-0.0942071
23,5.911267,6.1451206,"('insincere', 'sincere')",5.9112668,6.1451206,0.2338538
24,1.3245033,1.199937,"('dishonest', 'honest')",1.3245033,1.199937,-0.1245663
25,1.079582,0.99541855,"('egoistic', 'altruistic')",1.079582,0.9954185,-0.0841635
26,1.3552122,1.7264302,"('hardhearted', 'benevolent')",1.3552122,1.7264302,0.371218
27,1.7634486,1.5747396,"('hardhearted', 'softhearted')",1.7634486,1.5747396,-0.188709
28,0.9478215,1.0537268,"('disloyal', 'loyal')",0.9478215,1.0537268,0.1059053
29,-0.39159447,-0.54484177,"('unfair', 'fair')",-0.3915945,-0.5448418,-0.1532473
30,0.8289254,0.9665968,"('intolerant', 'tolerant')",0.8289254,0.9665968,0.1376714
31,-0.62211215,-0.86383677,"('evil', 'good')",-0.6221122,-0.8638368,-0.2417246
32,0.6605385,0.79535544,"('unkind', 'kind')",0.6605385,0.7953554,0.1348169
33,-0.033503238,0.18149745,"('wrong', 'right')",-0.0335032,0.1814975,0.2150007
34,4.2990713,4.5130086,"('mean', 'honorable')",4.2990713,4.5130086,0.2139373
35,-0.29292727,-0.647215,"('corrupt', 'incorrupt')",-0.2929273,-0.647215,-0.3542877
36,-0.23857665,-0.33592358,"('hostile', 'amicable')",-0.2385767,-0.3359236,-0.0973469
37,0.95445085,0.819274,"('fake', 'genuine')",0.9544508,0.819274,-0.1351768
38,-0.18751583,0.081356324,"('untruthful', 'truthful')",-0.1875158,0.0813563,0.2688721
39,0.116967306,0.22748154,"('exploitative', 'cooperative')",0.1169673,0.2274815,0.1105142
40,-1.4554064,-1.699434,"('stingy', 'generous')",-1.4554064,-1.699434,-0.2440276
41,0.23088299,0.5142807,"('unforgiving', 'forgiving')",0.230883,0.5142807,0.2833977
42,-2.8034713,-2.8947265,"('unreliable', 'reliable')",-2.8034713,-2.8947265,-0.0912552
43,0.8026332,1.1892258,"('irresponsible', 'responsible')",0.8026332,1.1892258,0.3865926
44,-1.1361238,-1.4262458,"('prejudiced', 'unprejudiced')",-1.1361238,-1.4262458,-0.290122
45,-0.09707484,0.06688723,"('incompetent', 'competent')",-0.0970748,0.0668872,0.163962
46,-1.4402725,-1.2664073,"('uncompetitive', 'competitive')",-1.4402725,-1.2664073,0.1738652
47,4.923181,5.218489,"('stupid', 'smart')",4.9231811,5.2184892,0.2953081
48,0.6520956,0.8416647,"('unintelligent', 'intelligent')",0.6520956,0.8416647,0.1895691
49,0.22346577,0.1349768,"('unable', 'able')",0.2234658,0.1349768,-0.088489
50,-0.37771106,-0.41583183,"('clumsy', 'skillful')",-0.3777111,-0.4158318,-0.0381207
51,-0.18780774,-0.3598336,"('uneducated', 'educated')",-0.1878077,-0.3598336,-0.1720259
52,0.332415,0.20028621,"('irrational', 'rational')",0.332415,0.2002862,-0.1321288
53,0.6165933,0.7267289,"('uncreative', 'creative')",0.6165933,0.7267289,0.1101356
54,1.3141302,1.4316746,"('incapable', 'capable')",1.3141302,1.4316746,0.1175444
55,0.23677333,0.20523076,"('incompetent', 'clever')",0.2367733,0.2052308,-0.0315425
56,-0.013039617,0.28709453,"('impractical', 'practical')",-0.0130396,0.2870945,0.3001341
57,-3.011219,-2.863043,"('unimaginative', 'imaginative')",-3.011219,-2.8630431,0.1481759
58,0.0565096,0.12282692,"('undiscriminating', 'discriminating')",0.0565096,0.1228269,0.0663173
59,0.08704077,0.117496334,"('foolish', 'wise')",0.0870408,0.1174963,0.0304555
60,-0.17712824,0.07088374,"('inefficient', 'efficient')",-0.1771282,0.0708837,0.2480119
61,0.250386,0.2178226,"('illogical', 'logical')",0.250386,0.2178226,-0.0325634
62,0.08194855,0.2451411,"('incompetent', 'brilliant')",0.0819485,0.2451411,0.1631926
