,weyerhaeuser_male,weyerhaeuser_female,tuple,co_male,co_female,average_male,average_female,female-male
0,-1.8195034,-1.9743332,"('unsociable', 'sociable')",-0.48075327,-0.6154019,-1.1501284,-1.2948675,-0.1447391
1,0.056340188,-0.0819537,"('unfriendly', 'friendly')",1.3230067,1.1919492,0.6896735,0.5549978,-0.1346757
2,0.015356109,-0.013418036,"('unlikable', 'likable')",0.7190071,0.85407037,0.3671816,0.4203262,0.0531446
3,-1.6119359,-1.6387764,"('repellent', 'pleasant')",0.45670438,0.50913817,-0.5776157,-0.5648191,0.0127966
4,0.79176366,0.7203959,"('disliked', 'liked')",-7.19369,-7.3058553,-3.200963,-3.2927296,-0.0917666
5,1.261075,1.2896267,"('distant', 'outgoing')",-0.6155928,-0.48610076,0.3227411,0.401763,0.0790219
6,1.4408252,1.5245402,"('distant', 'open')",-0.38657016,-0.25452852,0.5271275,0.6350058,0.1078783
7,-0.9724423,-0.98094124,"('insensitive', 'sensitive')",-0.36874256,-0.2979567,-0.6705924,-0.639449,0.0311434
8,-0.10088363,-0.20265135,"('unaffectionate', 'affectionate')",0.616079,0.59422755,0.2575977,0.1957881,-0.0618096
9,-0.06668144,-0.20241626,"('unaffectionate', 'caring')",1.1240137,1.0609695,0.5286661,0.4292766,-0.0993895
10,-2.3743367,-2.4462714,"('unsympathetic', 'sympathetic')",-0.48491487,-0.49135715,-1.4296257,-1.4688143,-0.0391886
11,-1.3467848,-1.4337441,"('unhelpful', 'helpful')",1.7915279,1.8464828,0.2223715,0.2063693,-0.0160022
12,-0.6543931,-0.7114391,"('unsupportive', 'supportive')",-2.4649334,-2.3407032,-1.5596633,-1.5260712,0.0335921
13,-1.2292423,-1.3212078,"('impolite', 'polite')",-0.5224899,-0.5446058,-0.8758661,-0.9329067,-0.0570406
14,-1.785028,-1.9009556,"('antisocial', 'social')",-0.38503793,-0.46720266,-1.0850329,-1.1840792,-0.0990463
15,0.13459419,0.09454715,"('boring', 'funny')",0.65308356,0.6676602,0.3938389,0.3811037,-0.0127352
