,legacy_male,legacy_female,tuple,average_male,average_female,female-male
0,-0.17657451,-0.2672079,"('unsociable', 'sociable')",-0.1765745,-0.2672079,-0.0906334
1,1.2603948,1.2626975,"('unfriendly', 'friendly')",1.2603948,1.2626975,0.0023027
2,0.40788016,0.5351553,"('unlikable', 'likable')",0.4078802,0.5351553,0.1272751
3,0.5899616,0.5858566,"('repellent', 'pleasant')",0.5899616,0.5858566,-0.004105
4,-6.794556,-6.9489093,"('disliked', 'liked')",-6.7945561,-6.9489093,-0.1543532
5,-0.4511373,-0.42731002,"('distant', 'outgoing')",-0.4511373,-0.42731,0.0238273
6,-0.14098148,-0.1324431,"('distant', 'open')",-0.1409815,-0.1324431,0.0085384
7,0.93566203,0.9217421,"('insensitive', 'sensitive')",0.935662,0.9217421,-0.0139199
8,1.3145875,1.2779475,"('unaffectionate', 'affectionate')",1.3145875,1.2779475,-0.03664
9,1.778116,1.8845774,"('unaffectionate', 'caring')",1.778116,1.8845774,0.1064614
10,1.0540179,0.9855775,"('unsympathetic', 'sympathetic')",1.0540179,0.9855775,-0.0684404
11,1.624229,1.7135577,"('unhelpful', 'helpful')",1.624229,1.7135577,0.0893287
12,-1.0071471,-0.98765814,"('unsupportive', 'supportive')",-1.0071471,-0.9876581,0.019489
13,-0.033123385,-0.051480595,"('impolite', 'polite')",-0.0331234,-0.0514806,-0.0183572
14,0.16659777,0.15539975,"('antisocial', 'social')",0.1665978,0.1553998,-0.011198
15,0.22840263,0.2169718,"('boring', 'funny')",0.2284026,0.2169718,-0.0114308
16,-0.5738142,-0.51400155,"('unpopular', 'popular')",-0.5738142,-0.5140015,0.0598127
17,-0.01819925,0.05057203,"('nasty', 'nice')",-0.0181993,0.050572,0.0687713
18,-0.3795796,-0.4130751,"('disagreeable', 'welcoming')",-0.3795796,-0.4130751,-0.0334955
19,-0.20965828,-0.18999392,"('inhospitable', 'hospitable')",-0.2096583,-0.1899939,0.0196644
20,0.77119887,0.6839569,"('rough', 'thoughtful')",0.7711989,0.6839569,-0.087242
21,-0.16089179,-0.14588124,"('immoral', 'moral')",-0.1608918,-0.1458812,0.0150106
22,-0.1568423,-0.26803243,"('untrustworthy', 'trustworthy')",-0.1568423,-0.2680324,-0.1111901
23,6.225861,6.3581963,"('insincere', 'sincere')",6.2258611,6.3581963,0.1323352
24,1.686897,1.5987623,"('dishonest', 'honest')",1.686897,1.5987623,-0.0881347
25,0.55645543,0.5345682,"('egoistic', 'altruistic')",0.5564554,0.5345682,-0.0218872
26,0.758114,0.7268454,"('hardhearted', 'benevolent')",0.758114,0.7268454,-0.0312686
