,accelerant_male,accelerant_female,tuple,average_male,average_female,female-male
0,-0.57824606,-0.79013425,"('unsociable', 'sociable')",-0.5782461,-0.7901343,-0.2118882
1,-0.8615332,-0.95362383,"('unfriendly', 'friendly')",-0.8615332,-0.9536238,-0.0920906
2,0.87379616,0.8172121,"('unlikable', 'likable')",0.8737962,0.8172121,-0.0565841
3,-0.9078966,-0.8549112,"('repellent', 'pleasant')",-0.9078966,-0.8549112,0.0529854
4,-2.3718858,-2.3862338,"('disliked', 'liked')",-2.3718858,-2.3862338,-0.014348
5,-0.5644094,-0.5808939,"('distant', 'outgoing')",-0.5644094,-0.5808939,-0.0164845
6,-0.902589,-0.9038252,"('distant', 'open')",-0.902589,-0.9038252,-0.0012362
7,-0.105569854,-0.037483327,"('insensitive', 'sensitive')",-0.1055699,-0.0374833,0.0680866
8,-0.7967611,-0.8025781,"('unaffectionate', 'affectionate')",-0.7967611,-0.8025781,-0.005817
9,-0.73912185,-0.70385885,"('unaffectionate', 'caring')",-0.7391219,-0.7038589,0.035263
10,-0.8574755,-0.8398939,"('unsympathetic', 'sympathetic')",-0.8574755,-0.8398939,0.0175816
11,0.4186936,0.48374102,"('unhelpful', 'helpful')",0.4186936,0.483741,0.0650474
12,-1.2727094,-1.1556692,"('unsupportive', 'supportive')",-1.2727094,-1.1556692,0.1170402
13,-0.2968318,-0.4658552,"('impolite', 'polite')",-0.2968318,-0.4658552,-0.1690234
14,0.030816946,-0.06543192,"('antisocial', 'social')",0.0308169,-0.0654319,-0.0962488
15,0.45196486,0.29877156,"('boring', 'funny')",0.4519649,0.2987716,-0.1531933
16,-0.017667511,-0.024763945,"('unpopular', 'popular')",-0.0176675,-0.0247639,-0.0070964
17,-0.35878572,-0.3317255,"('nasty', 'nice')",-0.3587857,-0.3317255,0.0270602
18,-0.52890515,-0.4094935,"('disagreeable', 'welcoming')",-0.5289052,-0.4094935,0.1194117
19,-1.3915946,-1.3308386,"('inhospitable', 'hospitable')",-1.3915946,-1.3308386,0.060756
20,0.78877753,0.7869629,"('rough', 'thoughtful')",0.7887775,0.7869629,-0.0018146
21,-0.027645411,0.045511223,"('immoral', 'moral')",-0.0276454,0.0455112,0.0731566
22,-0.48101872,-0.60522026,"('untrustworthy', 'trustworthy')",-0.4810187,-0.6052203,-0.1242016
23,1.4405049,1.4176068,"('insincere', 'sincere')",1.4405049,1.4176068,-0.0228981
24,-0.15719506,-0.25209135,"('dishonest', 'honest')",-0.1571951,-0.2520913,-0.0948962
25,0.4492758,0.4033552,"('egoistic', 'altruistic')",0.4492758,0.4033552,-0.0459206
26,0.73918515,0.5306223,"('hardhearted', 'benevolent')",0.7391852,0.5306223,-0.2085629
27,0.6840114,0.702328,"('hardhearted', 'softhearted')",0.6840114,0.702328,0.0183166
28,-0.1989482,-0.22888315,"('disloyal', 'loyal')",-0.1989482,-0.2288831,-0.0299349
29,-0.73354316,-0.80667895,"('unfair', 'fair')",-0.7335432,-0.806679,-0.0731358
30,0.26647392,0.23201844,"('intolerant', 'tolerant')",0.2664739,0.2320184,-0.0344555
31,-1.1291252,-1.1431525,"('evil', 'good')",-1.1291252,-1.1431525,-0.0140273
32,0.73209167,0.578706,"('unkind', 'kind')",0.7320917,0.578706,-0.1533857
33,-0.19264805,-0.24827729,"('wrong', 'right')",-0.1926481,-0.2482773,-0.0556292
34,2.0523207,2.2476122,"('mean', 'honorable')",2.0523207,2.2476122,0.1952915
35,0.082102105,0.0259509,"('corrupt', 'incorrupt')",0.0821021,0.0259509,-0.0561512
36,-0.7906347,-0.82640976,"('hostile', 'amicable')",-0.7906347,-0.8264098,-0.0357751
37,0.100775495,0.08419178,"('fake', 'genuine')",0.1007755,0.0841918,-0.0165837
38,0.14132972,0.07875693,"('untruthful', 'truthful')",0.1413297,0.0787569,-0.0625728
39,0.63022053,0.63636684,"('exploitative', 'cooperative')",0.6302205,0.6363668,0.0061463
40,-0.90726346,-0.94948256,"('stingy', 'generous')",-0.9072635,-0.9494826,-0.0422191
41,-0.1151399,-0.10053891,"('unforgiving', 'forgiving')",-0.1151399,-0.1005389,0.014601
42,-0.89720863,-0.7807572,"('unreliable', 'reliable')",-0.8972086,-0.7807572,0.1164514
43,0.304949,0.27729148,"('irresponsible', 'responsible')",0.304949,0.2772915,-0.0276575
44,0.58735126,0.5868372,"('prejudiced', 'unprejudiced')",0.5873513,0.5868372,-0.0005141
