,qlogic_male,qlogic_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.7459232,-0.96807814,"('unsociable', 'sociable')",-0.3823715,-0.6381496,-0.5641474,-0.8031139,-0.2389665
1,-0.60335016,-0.6477305,"('unfriendly', 'friendly')",1.5078232,1.4289435,0.4522365,0.3906065,-0.06163
2,-0.033276062,-0.009669073,"('unlikable', 'likable')",0.66046184,0.66815853,0.3135929,0.3292447,0.0156518
3,-0.41363257,-0.2888274,"('repellent', 'pleasant')",0.8193658,0.73456144,0.2028666,0.222867,0.0200004
4,-0.060223635,-0.019306753,"('disliked', 'liked')",-6.504323,-6.4524517,-3.2822733,-3.2358792,0.0463941
5,-0.30417258,-0.2525435,"('distant', 'outgoing')",-0.09109138,0.04978708,-0.197632,-0.1013782,0.0962538
6,-0.44349167,-0.3845457,"('distant', 'open')",-0.283481,-0.17365788,-0.3634863,-0.2791018,0.0843845
7,-0.53337973,-0.48694643,"('insensitive', 'sensitive')",-0.10209472,-0.12997377,-0.3177372,-0.3084601,0.0092771
8,-0.53747153,-0.4798675,"('unaffectionate', 'affectionate')",0.66644794,0.70349884,0.0644882,0.1118157,0.0473275
9,-0.30900103,-0.27934143,"('unaffectionate', 'caring')",1.2751853,1.3417553,0.4830922,0.5312069,0.0481147
10,-1.6913875,-1.7730598,"('unsympathetic', 'sympathetic')",-1.0731882,-1.1667838,-1.3822879,-1.4699218,-0.0876339
11,0.03770127,0.043399516,"('unhelpful', 'helpful')",1.8161458,1.8626407,0.9269235,0.9530202,0.0260967
12,0.036258224,0.11303739,"('unsupportive', 'supportive')",-2.2001226,-2.1832101,-1.0819322,-1.0350864,0.0468458
13,-0.5967002,-0.79788095,"('impolite', 'polite')",-0.8555254,-0.9536042,-0.7261128,-0.8757426,-0.1496298
14,-0.012043957,-0.1094255,"('antisocial', 'social')",-0.37502596,-0.6093075,-0.193535,-0.3593665,-0.1658315
15,0.29376,0.24495964,"('boring', 'funny')",-0.020025978,0.011120375,0.136867,0.12804,-0.008827
16,-0.26538688,-0.17927183,"('unpopular', 'popular')",0.86770135,0.80571806,0.3011572,0.3132231,0.0120659
17,-0.08070063,-0.0013033729,"('nasty', 'nice')",-0.5649443,-0.488801,-0.3228225,-0.2450522,0.0777703
18,-0.09417656,-0.1092582,"('disagreeable', 'welcoming')",-0.5306501,-0.6465022,-0.3124133,-0.3778802,-0.0654669
19,-0.71080124,-0.6393048,"('inhospitable', 'hospitable')",-0.40893283,-0.25953072,-0.559867,-0.4494178,0.1104492
20,0.34318566,0.3250727,"('rough', 'thoughtful')",0.935398,0.92106694,0.6392918,0.6230698,-0.016222
21,-0.02767744,-0.15412837,"('immoral', 'moral')",-0.6295835,-0.73820794,-0.3286304,-0.4461682,-0.1175378
22,-0.092335664,-0.1846436,"('untrustworthy', 'trustworthy')",-1.1976116,-1.2863679,-0.6449736,-0.7355058,-0.0905322
23,0.11708863,0.11073235,"('insincere', 'sincere')",5.7492237,5.662394,2.9331563,2.8865633,-0.046593
