,procurement_male,procurement_female,tuple,average_male,average_female,female-male
0,-0.008712966,-0.14663507,"('unsociable', 'sociable')",-0.008713,-0.1466351,-0.1379221
1,1.2861986,1.1889478,"('unfriendly', 'friendly')",1.2861986,1.1889478,-0.0972508
2,0.1913603,0.24546522,"('unlikable', 'likable')",0.1913603,0.2454652,0.0541049
3,0.582493,0.7300585,"('repellent', 'pleasant')",0.582493,0.7300585,0.1475655
4,-7.4862046,-7.594596,"('disliked', 'liked')",-7.4862046,-7.5945959,-0.1083913
5,-0.6037625,-0.59719145,"('distant', 'outgoing')",-0.6037625,-0.5971915,0.006571
6,0.03336028,-0.007132575,"('distant', 'open')",0.0333603,-0.0071326,-0.0404929
7,0.9527911,0.9618053,"('insensitive', 'sensitive')",0.9527911,0.9618053,0.0090142
8,1.283448,1.1088192,"('unaffectionate', 'affectionate')",1.283448,1.1088192,-0.1746288
9,1.7416342,1.6806706,"('unaffectionate', 'caring')",1.7416342,1.6806706,-0.0609636
10,0.7266865,0.78540504,"('unsympathetic', 'sympathetic')",0.7266865,0.785405,0.0587185
11,1.4996942,1.5195351,"('unhelpful', 'helpful')",1.4996942,1.5195351,0.0198409
12,-1.845597,-1.8923101,"('unsupportive', 'supportive')",-1.845597,-1.8923101,-0.0467131
13,-0.48584688,-0.5042488,"('impolite', 'polite')",-0.4858469,-0.5042488,-0.0184019
14,0.27859268,0.16661657,"('antisocial', 'social')",0.2785927,0.1666166,-0.1119761
15,0.031217229,-0.07295172,"('boring', 'funny')",0.0312172,-0.0729517,-0.1041689
16,-0.32421976,-0.28256387,"('unpopular', 'popular')",-0.3242198,-0.2825639,0.0416559
17,-0.23222667,-0.2181882,"('nasty', 'nice')",-0.2322267,-0.2181882,0.0140385
18,-0.6793702,-0.72597134,"('disagreeable', 'welcoming')",-0.6793702,-0.7259713,-0.0466011
19,-0.81641716,-0.7715465,"('inhospitable', 'hospitable')",-0.8164172,-0.7715465,0.0448707
20,1.2283828,1.1061008,"('rough', 'thoughtful')",1.2283828,1.1061008,-0.122282
21,-0.26900113,-0.16278753,"('immoral', 'moral')",-0.2690011,-0.1627875,0.1062136
22,-0.8322507,-0.8485538,"('untrustworthy', 'trustworthy')",-0.8322507,-0.8485538,-0.0163031
23,6.3502374,6.352747,"('insincere', 'sincere')",6.3502374,6.352747,0.0025096
24,1.2833493,1.1675385,"('dishonest', 'honest')",1.2833493,1.1675385,-0.1158108
25,1.0694833,0.93745565,"('egoistic', 'altruistic')",1.0694833,0.9374557,-0.1320276
26,1.4871587,1.2887616,"('hardhearted', 'benevolent')",1.4871587,1.2887616,-0.1983971
27,1.5396665,1.3549366,"('hardhearted', 'softhearted')",1.5396665,1.3549366,-0.1847299
28,1.3490497,1.2400174,"('disloyal', 'loyal')",1.3490497,1.2400174,-0.1090323
29,-0.43080702,-0.53679395,"('unfair', 'fair')",-0.430807,-0.5367939,-0.1059869
30,1.0790589,1.0758418,"('intolerant', 'tolerant')",1.0790589,1.0758418,-0.0032171
31,-1.4732385,-1.4420458,"('evil', 'good')",-1.4732385,-1.4420458,0.0311927
32,1.2074144,1.1142738,"('unkind', 'kind')",1.2074144,1.1142738,-0.0931406
33,-0.40496242,-0.44411924,"('wrong', 'right')",-0.4049624,-0.4441192,-0.0391568
34,4.7510576,4.867737,"('mean', 'honorable')",4.7510576,4.8677368,0.1166792
35,-0.9363956,-1.1454339,"('corrupt', 'incorrupt')",-0.9363956,-1.1454339,-0.2090383
36,-0.39140114,-0.5107403,"('hostile', 'amicable')",-0.3914011,-0.5107403,-0.1193392
37,0.54181504,0.5224735,"('fake', 'genuine')",0.541815,0.5224735,-0.0193415
38,-0.24220182,-0.24383894,"('untruthful', 'truthful')",-0.2422018,-0.2438389,-0.0016371
39,-0.05832861,-0.05282778,"('exploitative', 'cooperative')",-0.0583286,-0.0528278,0.0055008
40,-1.84386,-1.9426951,"('stingy', 'generous')",-1.84386,-1.9426951,-0.0988351
41,0.06265945,-0.01527673,"('unforgiving', 'forgiving')",0.0626594,-0.0152767,-0.0779361
42,-2.6875992,-2.5808532,"('unreliable', 'reliable')",-2.6875992,-2.5808532,0.106746
43,0.93742377,0.96752685,"('irresponsible', 'responsible')",0.9374238,0.9675269,0.0301031
44,-1.1279831,-1.0581771,"('prejudiced', 'unprejudiced')",-1.1279831,-1.0581771,0.069806
45,0.21253353,0.14523926,"('incompetent', 'competent')",0.2125335,0.1452393,-0.0672942
46,-0.86904025,-0.82992035,"('uncompetitive', 'competitive')",-0.8690403,-0.8299204,0.0391199
47,5.5203323,5.5752683,"('stupid', 'smart')",5.5203323,5.5752683,0.054936
48,0.40377226,0.3810675,"('unintelligent', 'intelligent')",0.4037723,0.3810675,-0.0227048
49,0.09653023,0.1838427,"('unable', 'able')",0.0965302,0.1838427,0.0873125
50,-0.41687408,-0.4019759,"('clumsy', 'skillful')",-0.4168741,-0.4019759,0.0148982
51,-0.4008349,-0.3846026,"('uneducated', 'educated')",-0.4008349,-0.3846026,0.0162323
52,-0.32622558,-0.49955565,"('irrational', 'rational')",-0.3262256,-0.4995556,-0.17333
53,0.6503134,0.6243063,"('uncreative', 'creative')",0.6503134,0.6243063,-0.0260071
54,1.1136724,1.1683421,"('incapable', 'capable')",1.1136724,1.1683421,0.0546697
55,0.5779966,0.62149966,"('incompetent', 'clever')",0.5779966,0.6214997,0.0435031
56,0.44008157,0.43315798,"('impractical', 'practical')",0.4400816,0.433158,-0.0069236
57,-2.7149208,-2.6740956,"('unimaginative', 'imaginative')",-2.7149208,-2.6740956,0.0408252
58,0.28530997,0.248716,"('undiscriminating', 'discriminating')",0.28531,0.248716,-0.036594
59,-0.021281019,-0.037716743,"('foolish', 'wise')",-0.021281,-0.0377167,-0.0164357
60,0.5644817,0.6889252,"('inefficient', 'efficient')",0.5644817,0.6889252,0.1244435
61,0.33941492,0.1485626,"('illogical', 'logical')",0.3394149,0.1485626,-0.1908523
62,0.4699957,0.55853033,"('incompetent', 'brilliant')",0.4699957,0.5585303,0.0885346
63,-0.26501805,-0.24192078,"('unperceptive', 'insightful')",-0.265018,-0.2419208,0.0230972
64,-6.6887927,-6.636707,"('shy', 'confident')",-6.6887927,-6.6367068,0.0520859
65,-0.06623992,0.041135907,"('insecure', 'secure')",-0.0662399,0.0411359,0.1073758
66,-0.002929762,-0.032067582,"('inactive', 'active')",-0.0029298,-0.0320676,-0.0291378
67,-0.31000426,-0.22259697,"('doubtful', 'determined')",-0.3100043,-0.222597,0.0874073
68,-1.1770277,-1.0999117,"('dependent', 'independent')",-1.1770277,-1.0999117,0.077116
69,-1.5884923,-1.6628362,"('lazy', 'industrious')",-1.5884923,-1.6628362,-0.0743439
70,0.9193923,0.96579534,"('lethargic', 'energetic')",0.9193923,0.9657953,0.046403
71,0.5208044,0.48469007,"('diffident', 'self-confident')",0.5208044,0.4846901,-0.0361143
72,0.6746002,0.79582876,"('unambitious', 'ambitious')",0.6746002,0.7958288,0.1212286
73,-3.5640333,-3.5012393,"('helpless', 'self-reliant')",-3.5640333,-3.5012393,0.062794
74,-0.16323705,-0.2042407,"('undedicated', 'dedicated')",-0.1632371,-0.2042407,-0.0410036
75,-1.1029791,-0.9525672,"('meek', 'impulsive')",-1.1029791,-0.9525672,0.1504119
76,-0.0051377583,0.1289245,"('anxious', 'daring')",-0.0051378,0.1289245,0.1340623
77,-1.1269722,-0.97213185,"('unmotivated', 'motivated')",-1.1269722,-0.9721318,0.1548404
