,grain_male,grain_female,tuple,average_male,average_female,female-male
0,-0.17276095,-0.03693757,"('unsociable', 'sociable')",-0.1727609,-0.0369376,0.1358233
1,1.6128758,1.4427054,"('unfriendly', 'friendly')",1.6128758,1.4427054,-0.1701704
2,-0.001112707,-0.013230313,"('unlikable', 'likable')",-0.0011127,-0.0132303,-0.0121176
3,0.23633355,0.44441324,"('repellent', 'pleasant')",0.2363335,0.4444132,0.2080797
4,-7.510514,-7.6330476,"('disliked', 'liked')",-7.5105138,-7.6330476,-0.1225338
5,-0.22472817,-0.39055425,"('distant', 'outgoing')",-0.2247282,-0.3905542,-0.165826
6,0.3145857,0.06202887,"('distant', 'open')",0.3145857,0.0620289,-0.2525568
7,0.8453934,0.9963177,"('insensitive', 'sensitive')",0.8453934,0.9963177,0.1509243
8,1.405331,1.1435333,"('unaffectionate', 'affectionate')",1.405331,1.1435333,-0.2617977
9,1.6899989,1.5581276,"('unaffectionate', 'caring')",1.6899989,1.5581276,-0.1318713
10,0.52058476,0.7320066,"('unsympathetic', 'sympathetic')",0.5205848,0.7320066,0.2114218
11,1.2069345,1.3523598,"('unhelpful', 'helpful')",1.2069345,1.3523598,0.1454253
12,-1.8135573,-1.7852521,"('unsupportive', 'supportive')",-1.8135573,-1.7852521,0.0283052
13,-0.49226123,-0.34669483,"('impolite', 'polite')",-0.4922612,-0.3466948,0.1455664
14,0.015985548,0.17638691,"('antisocial', 'social')",0.0159855,0.1763869,0.1604014
15,0.2260729,0.12916496,"('boring', 'funny')",0.2260729,0.129165,-0.0969079
16,-0.41949493,-0.45523807,"('unpopular', 'popular')",-0.4194949,-0.4552381,-0.0357432
17,-0.031976566,-0.05598376,"('nasty', 'nice')",-0.0319766,-0.0559838,-0.0240072
18,-0.77335036,-0.7937557,"('disagreeable', 'welcoming')",-0.7733504,-0.7937557,-0.0204053
19,-0.33883268,-0.5053752,"('inhospitable', 'hospitable')",-0.3388327,-0.5053752,-0.1665425
20,0.855016,0.8807174,"('rough', 'thoughtful')",0.855016,0.8807174,0.0257014
21,-0.8288783,-0.569919,"('immoral', 'moral')",-0.8288783,-0.569919,0.2589593
22,-1.0025411,-0.88782287,"('untrustworthy', 'trustworthy')",-1.0025411,-0.8878229,0.1147182
23,6.1542315,6.299346,"('insincere', 'sincere')",6.1542315,6.299346,0.1451145
24,1.3236445,1.2180359,"('dishonest', 'honest')",1.3236445,1.2180359,-0.1056086
25,1.207027,0.9997095,"('egoistic', 'altruistic')",1.207027,0.9997095,-0.2073175
26,1.5423073,1.3600022,"('hardhearted', 'benevolent')",1.5423073,1.3600022,-0.1823051
27,1.4963518,1.3089986,"('hardhearted', 'softhearted')",1.4963518,1.3089986,-0.1873532
28,1.2203441,1.1209381,"('disloyal', 'loyal')",1.2203441,1.1209381,-0.099406
29,-0.573603,-0.7373438,"('unfair', 'fair')",-0.573603,-0.7373438,-0.1637408
30,0.8649552,1.0601352,"('intolerant', 'tolerant')",0.8649552,1.0601352,0.19518
31,-0.73877484,-0.96624964,"('evil', 'good')",-0.7387748,-0.9662496,-0.2274748
