,solicitation_male,solicitation_female,tuple,average_male,average_female,female-male
0,-0.17373054,-0.4983466,"('unsociable', 'sociable')",-0.1737305,-0.4983466,-0.3246161
1,-0.7498676,-0.79986817,"('unfriendly', 'friendly')",-0.7498676,-0.7998682,-0.0500006
2,0.5884824,0.620867,"('unlikable', 'likable')",0.5884824,0.620867,0.0323846
3,-0.9596932,-0.9958472,"('repellent', 'pleasant')",-0.9596932,-0.9958472,-0.036154
4,-2.9364457,-2.8512695,"('disliked', 'liked')",-2.9364457,-2.8512695,0.0851762
5,-0.34411976,-0.16359413,"('distant', 'outgoing')",-0.3441198,-0.1635941,0.1805257
6,-0.52447265,-0.3860933,"('distant', 'open')",-0.5244727,-0.3860933,0.1383794
7,-0.8447463,-0.97770584,"('insensitive', 'sensitive')",-0.8447463,-0.9777058,-0.1329595
8,-0.8377075,-0.74784696,"('unaffectionate', 'affectionate')",-0.8377075,-0.747847,0.0898605
9,-0.51782125,-0.5021078,"('unaffectionate', 'caring')",-0.5178213,-0.5021078,0.0157135
10,-0.8174402,-1.1065061,"('unsympathetic', 'sympathetic')",-0.8174402,-1.1065061,-0.2890659
11,1.2348533,1.0697111,"('unhelpful', 'helpful')",1.2348533,1.0697111,-0.1651422
12,-1.382041,-1.4385881,"('unsupportive', 'supportive')",-1.382041,-1.4385881,-0.0565471
13,-0.14193799,-0.34990314,"('impolite', 'polite')",-0.141938,-0.3499031,-0.2079651
14,0.07221407,-0.1468755,"('antisocial', 'social')",0.0722141,-0.1468755,-0.2190896
15,0.7898801,0.70383704,"('boring', 'funny')",0.7898801,0.703837,-0.0860431
16,-0.9251533,-0.8324896,"('unpopular', 'popular')",-0.9251533,-0.8324896,0.0926637
17,0.21901938,0.2645771,"('nasty', 'nice')",0.2190194,0.2645771,0.0455577
18,0.32956716,0.28889966,"('disagreeable', 'welcoming')",0.3295672,0.2888997,-0.0406675
19,-1.0559208,-0.98377097,"('inhospitable', 'hospitable')",-1.0559208,-0.983771,0.0721498
20,0.6289092,0.50256103,"('rough', 'thoughtful')",0.6289092,0.502561,-0.1263482
21,-0.5921244,-0.79968727,"('immoral', 'moral')",-0.5921244,-0.7996873,-0.2075629
22,-0.63646716,-0.7843853,"('untrustworthy', 'trustworthy')",-0.6364672,-0.7843853,-0.1479181
23,1.7626008,1.5663784,"('insincere', 'sincere')",1.7626008,1.5663784,-0.1962224
24,-0.6281976,-0.6983639,"('dishonest', 'honest')",-0.6281976,-0.6983639,-0.0701663
25,0.5716155,0.56171167,"('egoistic', 'altruistic')",0.5716155,0.5617117,-0.0099038
26,1.0945809,0.8817246,"('hardhearted', 'benevolent')",1.0945809,0.8817246,-0.2128563
27,0.2667527,0.18894142,"('hardhearted', 'softhearted')",0.2667527,0.1889414,-0.0778113
28,-0.5709888,-0.73789895,"('disloyal', 'loyal')",-0.5709888,-0.7378989,-0.1669101
29,-0.5896991,-0.6315966,"('unfair', 'fair')",-0.5896991,-0.6315966,-0.0418975
