,planter_male,planter_female,tuple,average_male,average_female,female-male
0,0.42439055,0.28931144,"('unsociable', 'sociable')",0.4243906,0.2893114,-0.1350792
1,-0.14080682,-0.40530652,"('unfriendly', 'friendly')",-0.1408068,-0.4053065,-0.2644997
2,0.68135065,0.77568126,"('unlikable', 'likable')",0.6813506,0.7756813,0.0943307
3,0.03974694,0.2116711,"('repellent', 'pleasant')",0.0397469,0.2116711,0.1719242
4,-3.5285757,-3.6949937,"('disliked', 'liked')",-3.5285757,-3.6949937,-0.166418
5,-1.909739,-2.0514605,"('distant', 'outgoing')",-1.909739,-2.0514605,-0.1417215
6,-1.8992482,-2.0099719,"('distant', 'open')",-1.8992482,-2.0099719,-0.1107237
7,0.44127142,0.6780621,"('insensitive', 'sensitive')",0.4412714,0.6780621,0.2367907
8,0.25526386,0.1408581,"('unaffectionate', 'affectionate')",0.2552639,0.1408581,-0.1144058
9,0.31492382,0.16672158,"('unaffectionate', 'caring')",0.3149238,0.1667216,-0.1482022
10,0.3102818,0.47600096,"('unsympathetic', 'sympathetic')",0.3102818,0.476001,0.1657192
11,1.1451819,1.3137031,"('unhelpful', 'helpful')",1.1451819,1.3137031,0.1685212
12,-0.968233,-0.89386743,"('unsupportive', 'supportive')",-0.968233,-0.8938674,0.0743656
13,0.64931107,0.7042524,"('impolite', 'polite')",0.6493111,0.7042524,0.0549413
14,0.9771206,1.1118623,"('antisocial', 'social')",0.9771206,1.1118623,0.1347417
15,0.20390654,-0.021577654,"('boring', 'funny')",0.2039065,-0.0215777,-0.2254842
16,-0.3106269,-0.5089533,"('unpopular', 'popular')",-0.3106269,-0.5089533,-0.1983264
17,-0.52131987,-0.4366502,"('nasty', 'nice')",-0.5213199,-0.4366502,0.0846697
18,-1.2389723,-1.1696049,"('disagreeable', 'welcoming')",-1.2389723,-1.1696049,0.0693674
19,-1.4461799,-1.6082959,"('inhospitable', 'hospitable')",-1.4461799,-1.6082959,-0.162116
20,-0.056073852,0.14349279,"('rough', 'thoughtful')",-0.0560739,0.1434928,0.1995667
21,0.35705006,0.6658107,"('immoral', 'moral')",0.3570501,0.6658107,0.3087606
22,-0.36085892,-0.30395782,"('untrustworthy', 'trustworthy')",-0.3608589,-0.3039578,0.0569011
23,3.162853,3.1725345,"('insincere', 'sincere')",3.162853,3.1725345,0.0096815
24,0.46916312,0.44117412,"('dishonest', 'honest')",0.4691631,0.4411741,-0.027989
25,0.41301188,0.24035795,"('egoistic', 'altruistic')",0.4130119,0.240358,-0.1726539
26,1.0062635,0.77778614,"('hardhearted', 'benevolent')",1.0062635,0.7777861,-0.2284774
27,-0.21856755,-0.3266302,"('hardhearted', 'softhearted')",-0.2185676,-0.3266302,-0.1080626
