,arch_male,arch_female,tuple,average_male,average_female,female-male
0,0.07552698,-0.08385359,"('unsociable', 'sociable')",0.075527,-0.0838536,-0.1593806
1,1.2024007,1.212422,"('unfriendly', 'friendly')",1.2024007,1.212422,0.0100213
2,0.19312936,0.4879882,"('unlikable', 'likable')",0.1931294,0.4879882,0.2948588
3,0.48563477,0.63896054,"('repellent', 'pleasant')",0.4856348,0.6389605,0.1533257
4,-7.044389,-6.9203486,"('disliked', 'liked')",-7.0443888,-6.9203486,0.1240402
5,-0.4297307,-0.3009649,"('distant', 'outgoing')",-0.4297307,-0.3009649,0.1287658
6,0.19301,0.24305849,"('distant', 'open')",0.19301,0.2430585,0.0500485
7,1.3254697,1.3117839,"('insensitive', 'sensitive')",1.3254697,1.3117839,-0.0136858
8,1.4009924,1.3502759,"('unaffectionate', 'affectionate')",1.4009924,1.3502759,-0.0507165
9,1.6784605,1.6972604,"('unaffectionate', 'caring')",1.6784605,1.6972604,0.0187999
10,1.0161905,0.977091,"('unsympathetic', 'sympathetic')",1.0161905,0.977091,-0.0390995
11,1.9347836,2.0239089,"('unhelpful', 'helpful')",1.9347836,2.0239089,0.0891253
12,-1.3501495,-1.3002262,"('unsupportive', 'supportive')",-1.3501495,-1.3002262,0.0499233
13,-0.1892527,-0.12669648,"('impolite', 'polite')",-0.1892527,-0.1266965,0.0625562
14,0.0043103974,-0.02535738,"('antisocial', 'social')",0.0043104,-0.0253574,-0.0296678
15,0.30857813,0.41895026,"('boring', 'funny')",0.3085781,0.4189503,0.1103722
16,-0.57027817,-0.4293828,"('unpopular', 'popular')",-0.5702782,-0.4293828,0.1408954
17,-0.05075181,0.0071602203,"('nasty', 'nice')",-0.0507518,0.0071602,0.057912
18,-0.7139202,-0.5670551,"('disagreeable', 'welcoming')",-0.7139202,-0.5670551,0.1468651
19,-0.45498294,-0.39757094,"('inhospitable', 'hospitable')",-0.4549829,-0.3975709,0.057412
20,0.6154647,0.5107825,"('rough', 'thoughtful')",0.6154647,0.5107825,-0.1046822
21,-0.29949433,-0.12797059,"('immoral', 'moral')",-0.2994943,-0.1279706,0.1715237
22,-0.3787749,-0.25294745,"('untrustworthy', 'trustworthy')",-0.3787749,-0.2529474,0.1258275
23,5.8067822,5.908661,"('insincere', 'sincere')",5.8067822,5.9086609,0.1018787
24,1.6218612,1.6711698,"('dishonest', 'honest')",1.6218612,1.6711698,0.0493086
25,0.36951366,0.40967846,"('egoistic', 'altruistic')",0.3695137,0.4096785,0.0401648
26,1.2325815,0.9132146,"('hardhearted', 'benevolent')",1.2325815,0.9132146,-0.3193669
27,1.9381773,1.807255,"('hardhearted', 'softhearted')",1.9381773,1.807255,-0.1309223
28,1.0863184,0.94347906,"('disloyal', 'loyal')",1.0863184,0.9434791,-0.1428393
29,-0.4953326,-0.5965044,"('unfair', 'fair')",-0.4953326,-0.5965044,-0.1011718
30,1.182541,1.170897,"('intolerant', 'tolerant')",1.182541,1.170897,-0.011644
31,-1.18797,-1.1148521,"('evil', 'good')",-1.18797,-1.1148521,0.0731179
32,1.3336471,1.163505,"('unkind', 'kind')",1.3336471,1.163505,-0.1701421
33,-0.73639005,-0.669627,"('wrong', 'right')",-0.7363901,-0.669627,0.0667631
34,4.3535547,4.5031652,"('mean', 'honorable')",4.3535547,4.5031652,0.1496105
35,-0.49630225,-0.7744777,"('corrupt', 'incorrupt')",-0.4963022,-0.7744777,-0.2781755
36,-0.07014585,-0.35310155,"('hostile', 'amicable')",-0.0701459,-0.3531016,-0.2829557
37,0.45995444,0.56631136,"('fake', 'genuine')",0.4599544,0.5663114,0.106357
38,-0.40945554,-0.40099382,"('untruthful', 'truthful')",-0.4094555,-0.4009938,0.0084617
39,-0.19879651,-0.13946615,"('exploitative', 'cooperative')",-0.1987965,-0.1394662,0.0593303
40,-1.4530609,-1.4480088,"('stingy', 'generous')",-1.4530609,-1.4480088,0.0050521
41,0.22198561,0.053126834,"('unforgiving', 'forgiving')",0.2219856,0.0531268,-0.1688588
42,-2.1749613,-1.933569,"('unreliable', 'reliable')",-2.1749613,-1.933569,0.2413923
43,1.1980283,1.2505662,"('irresponsible', 'responsible')",1.1980283,1.2505662,0.0525379
44,-1.3511857,-1.3535782,"('prejudiced', 'unprejudiced')",-1.3511857,-1.3535782,-0.0023925
45,0.12573913,0.044587635,"('incompetent', 'competent')",0.1257391,0.0445876,-0.0811515
46,-0.8641707,-0.8158596,"('uncompetitive', 'competitive')",-0.8641707,-0.8158596,0.0483111
47,5.267291,5.447005,"('stupid', 'smart')",5.2672911,5.4470048,0.1797137
48,0.8513625,0.8121288,"('unintelligent', 'intelligent')",0.8513625,0.8121288,-0.0392337
49,-0.3342345,-0.094801754,"('unable', 'able')",-0.3342345,-0.0948018,0.2394327
50,-0.4071084,-0.30652887,"('clumsy', 'skillful')",-0.4071084,-0.3065289,0.1005795
51,0.16516005,0.23407672,"('uneducated', 'educated')",0.16516,0.2340767,0.0689167
52,-0.5480565,-0.54817146,"('irrational', 'rational')",-0.5480565,-0.5481715,-0.000115
53,0.3149557,0.3570632,"('uncreative', 'creative')",0.3149557,0.3570632,0.0421075
54,0.8299279,0.9393095,"('incapable', 'capable')",0.8299279,0.9393095,0.1093816
55,0.29417384,0.41962832,"('incompetent', 'clever')",0.2941738,0.4196283,0.1254545
56,0.23057188,0.34715587,"('impractical', 'practical')",0.2305719,0.3471559,0.116584
57,-2.3431857,-2.3250282,"('unimaginative', 'imaginative')",-2.3431857,-2.3250282,0.0181575
