,sportsman_male,sportsman_female,tuple,average_male,average_female,female-male
0,-0.06202053,-0.083523035,"('unsociable', 'sociable')",-0.0620205,-0.083523,-0.0215025
1,0.9309083,0.8544239,"('unfriendly', 'friendly')",0.9309083,0.8544239,-0.0764844
2,-0.110678725,0.012635745,"('unlikable', 'likable')",-0.1106787,0.0126357,0.1233144
3,0.73578537,0.8062527,"('repellent', 'pleasant')",0.7357854,0.8062527,0.0704673
4,-7.1824527,-7.285882,"('disliked', 'liked')",-7.1824527,-7.285882,-0.1034293
5,-0.7061713,-0.7042935,"('distant', 'outgoing')",-0.7061713,-0.7042935,0.0018778
6,-0.26624674,-0.28739002,"('distant', 'open')",-0.2662467,-0.28739,-0.0211433
7,0.6176607,0.7249452,"('insensitive', 'sensitive')",0.6176607,0.7249452,0.1072845
8,0.8421446,0.69601315,"('unaffectionate', 'affectionate')",0.8421446,0.6960132,-0.1461314
9,1.0565704,1.0031832,"('unaffectionate', 'caring')",1.0565704,1.0031832,-0.0533872
10,1.0885684,1.2158023,"('unsympathetic', 'sympathetic')",1.0885684,1.2158023,0.1272339
11,1.465327,1.5078442,"('unhelpful', 'helpful')",1.465327,1.5078442,0.0425172
12,-1.9107192,-1.8565243,"('unsupportive', 'supportive')",-1.9107192,-1.8565243,0.0541949
13,-0.22360471,-0.11646303,"('impolite', 'polite')",-0.2236047,-0.116463,0.1071417
14,0.22834852,0.27678522,"('antisocial', 'social')",0.2283485,0.2767852,0.0484367
15,0.24632326,0.09911944,"('boring', 'funny')",0.2463233,0.0991194,-0.1472039
16,-0.52210015,-0.5064368,"('unpopular', 'popular')",-0.5221002,-0.5064368,0.0156634
17,-0.39377654,-0.4182589,"('nasty', 'nice')",-0.3937765,-0.4182589,-0.0244824
18,-0.29253024,-0.26499453,"('disagreeable', 'welcoming')",-0.2925302,-0.2649945,0.0275357
19,-0.81691664,-0.8874318,"('inhospitable', 'hospitable')",-0.8169166,-0.8874318,-0.0705152
20,0.94733506,0.90547884,"('rough', 'thoughtful')",0.9473351,0.9054788,-0.0418563
21,-0.2817102,-0.15284267,"('immoral', 'moral')",-0.2817102,-0.1528427,0.1288675
22,-0.34992814,-0.31656638,"('untrustworthy', 'trustworthy')",-0.3499281,-0.3165664,0.0333617
23,6.2110224,6.222141,"('insincere', 'sincere')",6.2110224,6.2221408,0.0111184
24,1.3171722,1.2798707,"('dishonest', 'honest')",1.3171722,1.2798707,-0.0373015
25,0.7970855,0.6939793,"('egoistic', 'altruistic')",0.7970855,0.6939793,-0.1031062
26,0.4839917,0.52896863,"('hardhearted', 'benevolent')",0.4839917,0.5289686,0.0449769
27,1.4086846,1.2790878,"('hardhearted', 'softhearted')",1.4086846,1.2790878,-0.1295968
28,0.9908781,0.96933895,"('disloyal', 'loyal')",0.9908781,0.969339,-0.0215391
29,-0.84851104,-0.99589926,"('unfair', 'fair')",-0.848511,-0.9958993,-0.1473883
30,0.9507864,0.96231,"('intolerant', 'tolerant')",0.9507864,0.96231,0.0115236
31,-1.2871399,-1.415926,"('evil', 'good')",-1.2871399,-1.415926,-0.1287861
32,0.78720015,0.82424384,"('unkind', 'kind')",0.7872002,0.8242438,0.0370436
33,-0.64913166,-0.67997366,"('wrong', 'right')",-0.6491317,-0.6799737,-0.030842
34,4.4691725,4.5086823,"('mean', 'honorable')",4.4691725,4.5086823,0.0395098
35,-0.8628531,-1.1004487,"('corrupt', 'incorrupt')",-0.8628531,-1.1004487,-0.2375956
36,-0.61065596,-0.8522681,"('hostile', 'amicable')",-0.610656,-0.8522681,-0.2416121
37,1.0414854,0.93132114,"('fake', 'genuine')",1.0414854,0.9313211,-0.1101643
38,-0.29596597,-0.26900938,"('untruthful', 'truthful')",-0.295966,-0.2690094,0.0269566
39,0.43288177,0.43520573,"('exploitative', 'cooperative')",0.4328818,0.4352057,0.0023239
40,-1.3679516,-1.3971395,"('stingy', 'generous')",-1.3679516,-1.3971395,-0.0291879
41,-0.16978358,-0.11559039,"('unforgiving', 'forgiving')",-0.1697836,-0.1155904,0.0541932
42,-2.1792922,-2.0620344,"('unreliable', 'reliable')",-2.1792922,-2.0620344,0.1172578
43,0.84829193,0.93689096,"('irresponsible', 'responsible')",0.8482919,0.936891,0.0885991
44,-0.7812583,-0.7261592,"('prejudiced', 'unprejudiced')",-0.7812583,-0.7261592,0.0550991
45,-0.099431105,-0.056346767,"('incompetent', 'competent')",-0.0994311,-0.0563468,0.0430843
46,-0.36786118,-0.31406388,"('uncompetitive', 'competitive')",-0.3678612,-0.3140639,0.0537973
47,4.727039,4.907206,"('stupid', 'smart')",4.7270389,4.9072061,0.1801672
48,0.4075278,0.33513695,"('unintelligent', 'intelligent')",0.4075278,0.335137,-0.0723908
49,0.23285984,0.20256092,"('unable', 'able')",0.2328598,0.2025609,-0.0302989
50,-0.15603535,-0.29698607,"('clumsy', 'skillful')",-0.1560353,-0.2969861,-0.1409508
51,0.7645954,0.70701575,"('uneducated', 'educated')",0.7645954,0.7070158,-0.0575796
52,-0.5954517,-0.81082386,"('irrational', 'rational')",-0.5954517,-0.8108239,-0.2153722
53,-0.22129427,-0.36251312,"('uncreative', 'creative')",-0.2212943,-0.3625131,-0.1412188
54,0.875444,0.8906689,"('incapable', 'capable')",0.875444,0.8906689,0.0152249
55,0.8153564,0.87810993,"('incompetent', 'clever')",0.8153564,0.8781099,0.0627535
56,0.5254349,0.5838558,"('impractical', 'practical')",0.5254349,0.5838558,0.0584209
57,-2.6253498,-2.523557,"('unimaginative', 'imaginative')",-2.6253498,-2.5235569,0.1017929
58,0.066665545,0.07863577,"('undiscriminating', 'discriminating')",0.0666655,0.0786358,0.0119703
59,-0.24870881,-0.272058,"('foolish', 'wise')",-0.2487088,-0.272058,-0.0233492
60,0.3828768,0.6118414,"('inefficient', 'efficient')",0.3828768,0.6118414,0.2289646
61,-0.019274402,-0.15280339,"('illogical', 'logical')",-0.0192744,-0.1528034,-0.133529
62,0.23520166,0.44157755,"('incompetent', 'brilliant')",0.2352017,0.4415776,0.2063759
63,-0.14385816,-0.03274358,"('unperceptive', 'insightful')",-0.1438582,-0.0327436,0.1111146
64,-6.026378,-5.8661404,"('shy', 'confident')",-6.0263782,-5.8661404,0.1602378
65,0.42267048,0.52514887,"('insecure', 'secure')",0.4226705,0.5251489,0.1024784
66,-0.076719426,-0.092774026,"('inactive', 'active')",-0.0767194,-0.092774,-0.0160546
67,-0.495067,-0.3973231,"('doubtful', 'determined')",-0.495067,-0.3973231,0.0977439
68,-0.5130126,-0.6101539,"('dependent', 'independent')",-0.5130126,-0.6101539,-0.0971413
69,-2.0327742,-2.0732243,"('lazy', 'industrious')",-2.0327742,-2.0732243,-0.0404501
70,1.3237625,1.400476,"('lethargic', 'energetic')",1.3237625,1.400476,0.0767135
71,0.3724975,0.47443283,"('diffident', 'self-confident')",0.3724975,0.4744328,0.1019353
72,0.46007928,0.72378576,"('unambitious', 'ambitious')",0.4600793,0.7237858,0.2637065
73,-2.9559026,-2.9811146,"('helpless', 'self-reliant')",-2.9559026,-2.9811146,-0.025212
74,0.2274152,0.20868085,"('undedicated', 'dedicated')",0.2274152,0.2086809,-0.0187343
75,-0.9106328,-0.7995929,"('meek', 'impulsive')",-0.9106328,-0.7995929,0.1110399
76,1.0448834,1.0823884,"('anxious', 'daring')",1.0448834,1.0823884,0.037505
77,-1.4051493,-1.340993,"('unmotivated', 'motivated')",-1.4051493,-1.340993,0.0641563
78,-0.65785533,-0.6409321,"('nonresilient', 'resilient')",-0.6578553,-0.6409321,0.0169232
79,0.022104627,-0.13278878,"('wavering', 'unwavering')",0.0221046,-0.1327888,-0.1548934
80,-0.36468488,-0.29352173,"('dominated', 'dominating')",-0.3646849,-0.2935217,0.0711632
81,0.18156299,0.36892182,"('submissive', 'aggressive')",0.181563,0.3689218,0.1873588
82,6.013823,6.0979543,"('poor', 'rich')",6.013823,6.0979543,0.0841313
83,-0.29259405,-0.112135604,"('powerless', 'powerful')",-0.292594,-0.1121356,0.1804584
84,0.46072412,0.3685385,"('inferior', 'superior')",0.4607241,0.3685385,-0.0921856
85,-0.2571405,-0.47896603,"('insignificant', 'prestigious')",-0.2571405,-0.478966,-0.2218255
86,0.2583745,0.3623796,"('uninfluential', 'influential')",0.2583745,0.3623796,0.1040051
87,-0.5094995,-0.43891394,"('unsuccessful', 'successful')",-0.5094995,-0.4389139,0.0705856
88,0.38222986,0.42467296,"('low', 'eminent')",0.3822299,0.424673,0.0424431
