,berkley_male,berkley_female,tuple,w_male,w_female,r_male,r_female,corp_male,corp_female,average_male,average_female,female-male
0,-2.0358083,-2.0163002,"('unsociable', 'sociable')",0.9893979,0.87294686,0.6764057,0.68689954,0.52683777,0.4613248,0.0392083,0.0012178,-0.0379905
1,-1.5387471,-1.6346565,"('unfriendly', 'friendly')",-0.8166056,-0.86718094,-0.9729602,-0.9528705,1.2668837,1.2003804,-0.5153573,-0.5635819,-0.0482246
2,0.6022374,0.6203178,"('unlikable', 'likable')",1.2280633,1.3153639,1.0779487,1.1201315,0.7888999,0.68521154,0.9242873,0.9352562,0.0109689
3,-1.1309108,-1.0450784,"('repellent', 'pleasant')",1.0083506,1.0299249,0.96178365,1.0586272,1.3163414,1.3421865,0.5388912,0.596415,0.0575238
4,0.957808,0.8537537,"('disliked', 'liked')",-0.71013385,-0.8471992,0.5493923,0.4085761,-6.318241,-6.5681505,-1.3802936,-1.538255,-0.1579614
5,0.692285,0.6150861,"('distant', 'outgoing')",-1.0135173,-0.9962674,-0.08802979,-0.07257567,-0.64144915,-0.6862091,-0.2626778,-0.2849915,-0.0223137
6,0.3493855,0.2914447,"('distant', 'open')",-1.1312158,-1.0913389,-0.72968113,-0.6918593,-0.37730643,-0.36177737,-0.4722045,-0.4633827,0.0088218
7,-1.0715952,-1.0314218,"('insensitive', 'sensitive')",1.0857378,1.0502596,-0.04830094,0.008673716,1.0733808,1.1439437,0.2598056,0.2928638,0.0330582
8,-0.08925805,-0.21682525,"('unaffectionate', 'affectionate')",-0.48087797,-0.4530361,-0.25408828,-0.2585423,0.6416501,0.6332952,-0.0456436,-0.0737771,-0.0281335
9,-0.6622729,-0.7426259,"('unaffectionate', 'caring')",0.5617483,0.5561547,0.8068353,0.8506303,1.6916635,1.6654953,0.5994936,0.5824136,-0.01708
10,-2.0028799,-1.9435626,"('unsympathetic', 'sympathetic')",1.5314381,1.4828871,-0.12025927,-0.03930825,0.30590355,0.36541164,-0.0714494,-0.033643,0.0378064
11,-1.7691495,-1.7738693,"('unhelpful', 'helpful')",0.42106348,0.37071648,0.06923307,0.11528714,2.1432948,2.1366885,0.2161104,0.2122057,-0.0039047
12,-1.3328613,-1.3180043,"('unsupportive', 'supportive')",1.139778,1.16376,-0.19612508,-0.2052269,-1.4031651,-1.4690212,-0.4480934,-0.4571231,-0.0090297
13,-1.7426461,-1.6798239,"('impolite', 'polite')",0.47840244,0.46893963,0.25134808,0.29264197,-0.2550858,-0.19702144,-0.3169954,-0.2788159,0.0381795
