,fedora_male,fedora_female,tuple,average_male,average_female,female-male
0,-0.12663744,-0.24379519,"('unsociable', 'sociable')",-0.1266374,-0.2437952,-0.1171578
1,0.030033302,-0.23858589,"('unfriendly', 'friendly')",0.0300333,-0.2385859,-0.2686192
2,0.80205137,0.7426126,"('unlikable', 'likable')",0.8020514,0.7426126,-0.0594388
3,-0.1665592,-0.07223393,"('repellent', 'pleasant')",-0.1665592,-0.0722339,0.0943253
4,-2.9075809,-2.743138,"('disliked', 'liked')",-2.9075809,-2.7431381,0.1644428
5,-0.7402438,-0.9341933,"('distant', 'outgoing')",-0.7402438,-0.9341933,-0.1939495
6,-0.98831886,-1.2517277,"('distant', 'open')",-0.9883189,-1.2517277,-0.2634088
7,-0.25845248,-0.22642203,"('insensitive', 'sensitive')",-0.2584525,-0.226422,0.0320305
8,-0.060420856,-0.22655194,"('unaffectionate', 'affectionate')",-0.0604209,-0.2265519,-0.166131
9,-0.2698659,-0.4721802,"('unaffectionate', 'caring')",-0.2698659,-0.4721802,-0.2023143
10,-0.55254024,-0.44788608,"('unsympathetic', 'sympathetic')",-0.5525402,-0.4478861,0.1046541
11,0.7152003,0.68342155,"('unhelpful', 'helpful')",0.7152003,0.6834216,-0.0317787
12,-0.92301285,-0.8510121,"('unsupportive', 'supportive')",-0.9230129,-0.8510121,0.0720008
13,-0.6025828,-0.6719488,"('impolite', 'polite')",-0.6025828,-0.6719488,-0.069366
14,0.33391154,0.36053103,"('antisocial', 'social')",0.3339115,0.360531,0.0266195
15,0.27301258,0.16873634,"('boring', 'funny')",0.2730126,0.1687363,-0.1042763
16,-0.18412873,-0.28015387,"('unpopular', 'popular')",-0.1841287,-0.2801539,-0.0960252
17,-0.7230428,-0.68259287,"('nasty', 'nice')",-0.7230428,-0.6825929,0.0404499
18,-0.56292725,-0.6067809,"('disagreeable', 'welcoming')",-0.5629272,-0.6067809,-0.0438537
19,-0.98509926,-1.080216,"('inhospitable', 'hospitable')",-0.9850993,-1.0802161,-0.0951168
20,0.26503113,0.20107684,"('rough', 'thoughtful')",0.2650311,0.2010768,-0.0639543
21,0.07875042,0.16202378,"('immoral', 'moral')",0.0787504,0.1620238,0.0832734
22,-0.15964466,-0.13138732,"('untrustworthy', 'trustworthy')",-0.1596447,-0.1313873,0.0282574
23,2.7241528,2.5396733,"('insincere', 'sincere')",2.7241528,2.5396733,-0.1844795
24,-0.021277525,-0.15734747,"('dishonest', 'honest')",-0.0212775,-0.1573475,-0.13607
25,0.13228245,-0.06567112,"('egoistic', 'altruistic')",0.1322825,-0.0656711,-0.1979536
26,0.7017277,0.5874134,"('hardhearted', 'benevolent')",0.7017277,0.5874134,-0.1143143
27,0.17893481,0.0048396923,"('hardhearted', 'softhearted')",0.1789348,0.0048397,-0.1740951
28,0.14221022,-0.03952523,"('disloyal', 'loyal')",0.1422102,-0.0395252,-0.1817354
29,-1.0002185,-1.082185,"('unfair', 'fair')",-1.0002185,-1.082185,-0.0819665
30,0.73200285,0.69384897,"('intolerant', 'tolerant')",0.7320029,0.693849,-0.0381539
31,-1.434925,-1.4228674,"('evil', 'good')",-1.434925,-1.4228674,0.0120576
32,0.70295846,0.565127,"('unkind', 'kind')",0.7029585,0.565127,-0.1378315
33,0.2869581,0.12557301,"('wrong', 'right')",0.2869581,0.125573,-0.1613851
34,1.8743043,1.7852551,"('mean', 'honorable')",1.8743043,1.7852551,-0.0890492
35,-0.64783704,-0.8061869,"('corrupt', 'incorrupt')",-0.647837,-0.8061869,-0.1583499
36,-0.82072276,-0.9931578,"('hostile', 'amicable')",-0.8207228,-0.9931578,-0.172435
37,-0.17489767,-0.29874292,"('fake', 'genuine')",-0.1748977,-0.2987429,-0.1238452
38,-0.15095675,-0.19796701,"('untruthful', 'truthful')",-0.1509567,-0.197967,-0.0470103
39,0.6668896,0.72479075,"('exploitative', 'cooperative')",0.6668896,0.7247908,0.0579012
40,-0.98800355,-1.0458304,"('stingy', 'generous')",-0.9880036,-1.0458304,-0.0578268
41,0.5857626,0.51465666,"('unforgiving', 'forgiving')",0.5857626,0.5146567,-0.0711059
42,-1.4846606,-1.3902818,"('unreliable', 'reliable')",-1.4846606,-1.3902818,0.0943788
43,0.25010526,0.17847408,"('irresponsible', 'responsible')",0.2501053,0.1784741,-0.0716312
44,-0.6418216,-0.63089645,"('prejudiced', 'unprejudiced')",-0.6418216,-0.6308964,0.0109252
45,-0.33922237,-0.26928362,"('incompetent', 'competent')",-0.3392224,-0.2692836,0.0699388
46,-0.22939104,-0.17454939,"('uncompetitive', 'competitive')",-0.229391,-0.1745494,0.0548416
47,2.3367698,2.1663227,"('stupid', 'smart')",2.3367698,2.1663227,-0.1704471
48,0.008188814,0.078153454,"('unintelligent', 'intelligent')",0.0081888,0.0781535,0.0699647
49,-0.02193153,0.072751954,"('unable', 'able')",-0.0219315,0.072752,0.0946835
50,-0.18268391,-0.23293976,"('clumsy', 'skillful')",-0.1826839,-0.2329398,-0.0502559
51,-0.44858733,-0.4591496,"('uneducated', 'educated')",-0.4485873,-0.4591496,-0.0105623
52,-0.6159535,-0.84826803,"('irrational', 'rational')",-0.6159535,-0.848268,-0.2323145
53,-0.8729326,-0.95892066,"('uncreative', 'creative')",-0.8729326,-0.9589207,-0.0859881
54,0.29403412,0.17151046,"('incapable', 'capable')",0.2940341,0.1715105,-0.1225236
55,0.34394598,0.4838228,"('incompetent', 'clever')",0.343946,0.4838228,0.1398768
56,0.61221516,0.64792216,"('impractical', 'practical')",0.6122152,0.6479222,0.035707
57,-1.5150589,-1.3730172,"('unimaginative', 'imaginative')",-1.5150589,-1.3730172,0.1420417
58,0.13038285,0.1033178,"('undiscriminating', 'discriminating')",0.1303829,0.1033178,-0.0270651
59,0.024583329,-0.08814572,"('foolish', 'wise')",0.0245833,-0.0881457,-0.112729
60,0.4166151,0.5362777,"('inefficient', 'efficient')",0.4166151,0.5362777,0.1196626
61,-0.42109513,-0.62815666,"('illogical', 'logical')",-0.4210951,-0.6281567,-0.2070616
62,0.38271642,0.48318976,"('incompetent', 'brilliant')",0.3827164,0.4831898,0.1004734
63,0.2450216,0.2643051,"('unperceptive', 'insightful')",0.2450216,0.2643051,0.0192835
64,-2.6562963,-2.5306416,"('shy', 'confident')",-2.6562963,-2.5306416,0.1256547
65,0.22311383,0.2909587,"('insecure', 'secure')",0.2231138,0.2909587,0.0678449
66,-0.8653733,-1.0317602,"('inactive', 'active')",-0.8653733,-1.0317602,-0.1663869
67,0.36093166,0.35979447,"('doubtful', 'determined')",0.3609317,0.3597945,-0.0011372
68,-0.69950366,-0.71274495,"('dependent', 'independent')",-0.6995037,-0.712745,-0.0132413
