,fork_male,fork_female,tuple,average_male,average_female,female-male
0,0.42963487,0.3530179,"('unsociable', 'sociable')",0.4296349,0.3530179,-0.076617
1,1.1336452,1.184908,"('unfriendly', 'friendly')",1.1336452,1.184908,0.0512628
2,0.33911756,0.43936217,"('unlikable', 'likable')",0.3391176,0.4393622,0.1002446
3,1.1397997,1.2124254,"('repellent', 'pleasant')",1.1397997,1.2124254,0.0726257
4,-7.595857,-7.4838047,"('disliked', 'liked')",-7.5958571,-7.4838047,0.1120524
5,-0.6600312,-0.50882626,"('distant', 'outgoing')",-0.6600312,-0.5088263,0.1512049
6,-0.2726007,-0.18504465,"('distant', 'open')",-0.2726007,-0.1850446,0.0875561
7,1.8853425,1.8160136,"('insensitive', 'sensitive')",1.8853425,1.8160136,-0.0693289
8,0.9209534,0.8284611,"('unaffectionate', 'affectionate')",0.9209534,0.8284611,-0.0924923
9,1.3693314,1.3957429,"('unaffectionate', 'caring')",1.3693314,1.3957429,0.0264115
10,1.9412028,1.77167,"('unsympathetic', 'sympathetic')",1.9412028,1.77167,-0.1695328
11,2.160189,2.105977,"('unhelpful', 'helpful')",2.1601889,2.1059771,-0.0542118
12,-1.006318,-0.95638,"('unsupportive', 'supportive')",-1.006318,-0.95638,0.049938
13,0.5008423,0.43510926,"('impolite', 'polite')",0.5008423,0.4351093,-0.065733
14,0.49974024,0.47979468,"('antisocial', 'social')",0.4997402,0.4797947,-0.0199455
15,0.29243898,0.31153092,"('boring', 'funny')",0.292439,0.3115309,0.0190919
16,-0.93025553,-0.7532508,"('unpopular', 'popular')",-0.9302555,-0.7532508,0.1770047
17,-0.28864923,-0.29986677,"('nasty', 'nice')",-0.2886492,-0.2998668,-0.0112176
18,-0.44445652,-0.39068022,"('disagreeable', 'welcoming')",-0.4444565,-0.3906802,0.0537763
19,-0.4596732,-0.3994661,"('inhospitable', 'hospitable')",-0.4596732,-0.3994661,0.0602071
20,0.9108963,0.7741708,"('rough', 'thoughtful')",0.9108963,0.7741708,-0.1367255
21,0.4276118,0.4652956,"('immoral', 'moral')",0.4276118,0.4652956,0.0376838
22,0.38059378,0.30970874,"('untrustworthy', 'trustworthy')",0.3805938,0.3097087,-0.0708851
23,6.8695574,6.861912,"('insincere', 'sincere')",6.8695574,6.8619118,-0.0076456
24,2.2235892,2.1896513,"('dishonest', 'honest')",2.2235892,2.1896513,-0.0339379
