,absence_male,absence_female,tuple,average_male,average_female,female-male
0,0.2932898,0.12563902,"('unsociable', 'sociable')",0.2932898,0.125639,-0.1676508
1,1.081833,1.043675,"('unfriendly', 'friendly')",1.081833,1.0436749,-0.0381581
2,0.43980876,0.48944923,"('unlikable', 'likable')",0.4398088,0.4894492,0.0496404
3,0.79948837,0.95009404,"('repellent', 'pleasant')",0.7994884,0.950094,0.1506056
4,-6.9666047,-7.127316,"('disliked', 'liked')",-6.9666047,-7.127316,-0.1607113
5,-0.5680672,-0.38487637,"('distant', 'outgoing')",-0.5680672,-0.3848764,0.1831908
6,-0.27237898,-0.118396685,"('distant', 'open')",-0.272379,-0.1183967,0.1539823
7,0.7297976,0.87685424,"('insensitive', 'sensitive')",0.7297976,0.8768542,0.1470566
8,0.93762904,0.9661789,"('unaffectionate', 'affectionate')",0.937629,0.9661789,0.0285499
9,1.3299774,1.4832114,"('unaffectionate', 'caring')",1.3299774,1.4832114,0.153234
10,1.5471383,1.6574495,"('unsympathetic', 'sympathetic')",1.5471383,1.6574495,0.1103112
11,2.191627,2.210932,"('unhelpful', 'helpful')",2.191627,2.210932,0.019305
12,-1.4347593,-1.4011022,"('unsupportive', 'supportive')",-1.4347593,-1.4011022,0.0336571
13,0.55481124,0.4911254,"('impolite', 'polite')",0.5548112,0.4911254,-0.0636858
14,-0.053174246,-0.14479457,"('antisocial', 'social')",-0.0531742,-0.1447946,-0.0916204
15,0.24447232,0.019730397,"('boring', 'funny')",0.2444723,0.0197304,-0.2247419
16,-0.5369033,-0.5062927,"('unpopular', 'popular')",-0.5369033,-0.5062927,0.0306106
17,-0.1307231,-0.2060627,"('nasty', 'nice')",-0.1307231,-0.2060627,-0.0753396
18,-0.70208687,-0.80368304,"('disagreeable', 'welcoming')",-0.7020869,-0.803683,-0.1015961
19,-0.71326876,-0.6392738,"('inhospitable', 'hospitable')",-0.7132688,-0.6392738,0.073995
20,0.6945852,0.6204889,"('rough', 'thoughtful')",0.6945852,0.6204889,-0.0740963
21,0.3133648,0.46709883,"('immoral', 'moral')",0.3133648,0.4670988,0.153734
22,-0.2603671,-0.3293336,"('untrustworthy', 'trustworthy')",-0.2603671,-0.3293336,-0.0689665
23,6.0690436,6.195374,"('insincere', 'sincere')",6.0690436,6.195374,0.1263304
24,1.8281113,1.916971,"('dishonest', 'honest')",1.8281113,1.916971,0.0888597
25,0.2785034,0.16299434,"('egoistic', 'altruistic')",0.2785034,0.1629943,-0.1155091
26,0.30052382,0.110018164,"('hardhearted', 'benevolent')",0.3005238,0.1100182,-0.1905056
27,1.4518522,1.4185084,"('hardhearted', 'softhearted')",1.4518522,1.4185084,-0.0333438
28,1.2745614,1.2759575,"('disloyal', 'loyal')",1.2745614,1.2759575,0.0013961
29,-0.70179594,-0.8350076,"('unfair', 'fair')",-0.7017959,-0.8350076,-0.1332117
30,0.8590362,0.88447577,"('intolerant', 'tolerant')",0.8590362,0.8844758,0.0254396
31,-1.9781619,-1.988969,"('evil', 'good')",-1.9781619,-1.988969,-0.0108071
32,1.6807356,1.5856212,"('unkind', 'kind')",1.6807356,1.5856212,-0.0951144
33,-0.55196035,-0.45457342,"('wrong', 'right')",-0.5519603,-0.4545734,0.0973869
34,4.3140526,4.647513,"('mean', 'honorable')",4.3140526,4.6475129,0.3334603
35,-1.4157367,-1.5589908,"('corrupt', 'incorrupt')",-1.4157367,-1.5589908,-0.1432541
36,-1.3419758,-1.4174528,"('hostile', 'amicable')",-1.3419758,-1.4174528,-0.075477
37,0.9904492,0.9965291,"('fake', 'genuine')",0.9904492,0.9965291,0.0060799
38,0.026453681,0.10537579,"('untruthful', 'truthful')",0.0264537,0.1053758,0.0789221
39,0.03550698,0.018993482,"('exploitative', 'cooperative')",0.035507,0.0189935,-0.0165135
40,-1.6131407,-1.7972616,"('stingy', 'generous')",-1.6131407,-1.7972616,-0.1841209
41,0.014098015,0.05909279,"('unforgiving', 'forgiving')",0.014098,0.0590928,0.0449948
42,-1.765896,-1.9544193,"('unreliable', 'reliable')",-1.765896,-1.9544193,-0.1885233
43,1.383966,1.4908471,"('irresponsible', 'responsible')",1.383966,1.4908471,0.1068811
44,-0.9918432,-1.1070796,"('prejudiced', 'unprejudiced')",-0.9918432,-1.1070796,-0.1152364
45,0.42908424,0.47072858,"('incompetent', 'competent')",0.4290842,0.4707286,0.0416444
46,-0.13088727,-0.08703328,"('uncompetitive', 'competitive')",-0.1308873,-0.0870333,0.043854
47,5.174772,5.4816866,"('stupid', 'smart')",5.1747718,5.4816866,0.3069148
48,0.48892403,0.47998807,"('unintelligent', 'intelligent')",0.488924,0.4799881,-0.0089359
49,0.05759038,0.2399683,"('unable', 'able')",0.0575904,0.2399683,0.1823779
50,-0.29579398,-0.4181149,"('clumsy', 'skillful')",-0.295794,-0.4181149,-0.1223209
51,0.7399961,0.68939716,"('uneducated', 'educated')",0.7399961,0.6893972,-0.0505989
52,-0.6944666,-0.75523585,"('irrational', 'rational')",-0.6944666,-0.7552359,-0.0607693
53,-0.27088886,-0.24106297,"('uncreative', 'creative')",-0.2708889,-0.241063,0.0298259
54,0.9601338,1.1391375,"('incapable', 'capable')",0.9601338,1.1391375,0.1790037
55,0.8677939,0.87915623,"('incompetent', 'clever')",0.8677939,0.8791562,0.0113623
56,1.0433372,0.9861878,"('impractical', 'practical')",1.0433372,0.9861878,-0.0571494
57,-2.11761,-2.2174013,"('unimaginative', 'imaginative')",-2.11761,-2.2174013,-0.0997913
58,-0.111112654,-0.17379199,"('undiscriminating', 'discriminating')",-0.1111127,-0.173792,-0.0626793
59,-0.18794723,-0.19054726,"('foolish', 'wise')",-0.1879472,-0.1905473,-0.0026001
60,1.1335449,1.2291698,"('inefficient', 'efficient')",1.1335449,1.2291698,0.0956249
61,0.035799433,-0.00805968,"('illogical', 'logical')",0.0357994,-0.0080597,-0.0438591
62,1.3817447,1.4800797,"('incompetent', 'brilliant')",1.3817447,1.4800797,0.098335
63,0.57702327,0.64787287,"('unperceptive', 'insightful')",0.5770233,0.6478729,0.0708496
64,-5.391989,-5.457651,"('shy', 'confident')",-5.3919892,-5.4576511,-0.0656619
65,0.75755876,0.6425715,"('insecure', 'secure')",0.7575588,0.6425715,-0.1149873
66,-0.21260409,-0.19699433,"('inactive', 'active')",-0.2126041,-0.1969943,0.0156098
67,-0.2591714,-0.2493537,"('doubtful', 'determined')",-0.2591714,-0.2493537,0.0098177
68,-0.55192655,-0.46135664,"('dependent', 'independent')",-0.5519266,-0.4613566,0.09057
69,-2.2265763,-2.1274633,"('lazy', 'industrious')",-2.2265763,-2.1274633,0.099113
70,1.6628394,1.6934,"('lethargic', 'energetic')",1.6628394,1.6934,0.0305606
71,0.32946864,0.3226539,"('diffident', 'self-confident')",0.3294686,0.3226539,-0.0068147
72,0.97087944,1.0488077,"('unambitious', 'ambitious')",0.9708794,1.0488077,0.0779283
73,-2.8828008,-3.0302386,"('helpless', 'self-reliant')",-2.8828008,-3.0302386,-0.1474378
74,0.279987,0.13171332,"('undedicated', 'dedicated')",0.279987,0.1317133,-0.1482737
75,-0.7740503,-0.7143884,"('meek', 'impulsive')",-0.7740503,-0.7143884,0.0596619
76,0.7793111,0.71894276,"('anxious', 'daring')",0.7793111,0.7189428,-0.0603683
77,-1.2921418,-1.0385681,"('unmotivated', 'motivated')",-1.2921418,-1.0385681,0.2535737
78,-0.7406281,-0.7294682,"('nonresilient', 'resilient')",-0.7406281,-0.7294682,0.0111599
79,-0.5673729,-0.48689428,"('wavering', 'unwavering')",-0.5673729,-0.4868943,0.0804786
80,-0.0043933894,-0.050017916,"('dominated', 'dominating')",-0.0043934,-0.0500179,-0.0456245
81,0.7814535,0.80118215,"('submissive', 'aggressive')",0.7814535,0.8011822,0.0197287
82,6.55518,6.795718,"('poor', 'rich')",6.5551801,6.7957182,0.2405381
83,-0.25237545,-0.27677307,"('powerless', 'powerful')",-0.2523755,-0.2767731,-0.0243976
84,0.08512226,0.17384703,"('inferior', 'superior')",0.0851223,0.173847,0.0887247
85,-1.6371568,-1.7278355,"('insignificant', 'prestigious')",-1.6371568,-1.7278355,-0.0906787
86,0.62242115,0.7086112,"('uninfluential', 'influential')",0.6224211,0.7086112,0.0861901
87,-0.16855168,-0.05909287,"('unsuccessful', 'successful')",-0.1685517,-0.0590929,0.1094588
88,0.3176951,0.30124348,"('low', 'eminent')",0.3176951,0.3012435,-0.0164516
