,invention_male,invention_female,tuple,average_male,average_female,female-male
0,-0.38734528,-0.4099898,"('unsociable', 'sociable')",-0.3873453,-0.4099898,-0.0226445
1,1.1207507,1.0934311,"('unfriendly', 'friendly')",1.1207507,1.0934311,-0.0273196
2,-0.23308411,-0.17292693,"('unlikable', 'likable')",-0.2330841,-0.1729269,0.0601572
3,0.43756577,0.566134,"('repellent', 'pleasant')",0.4375658,0.566134,0.1285682
4,-7.3522744,-7.4523225,"('disliked', 'liked')",-7.3522744,-7.4523225,-0.1000481
5,-0.5569689,-0.58077216,"('distant', 'outgoing')",-0.5569689,-0.5807722,-0.0238033
6,0.05626166,-0.021402016,"('distant', 'open')",0.0562617,-0.021402,-0.0776637
7,0.60454667,0.68775207,"('insensitive', 'sensitive')",0.6045467,0.6877521,0.0832054
8,1.1237912,0.98083174,"('unaffectionate', 'affectionate')",1.1237912,0.9808317,-0.1429595
9,1.5968555,1.4996284,"('unaffectionate', 'caring')",1.5968555,1.4996284,-0.0972271
10,0.96812654,1.0532117,"('unsympathetic', 'sympathetic')",0.9681265,1.0532117,0.0850852
11,1.6794664,1.699163,"('unhelpful', 'helpful')",1.6794664,1.699163,0.0196966
12,-1.6512071,-1.6822686,"('unsupportive', 'supportive')",-1.6512071,-1.6822686,-0.0310615
13,-0.3533991,-0.3087097,"('impolite', 'polite')",-0.3533991,-0.3087097,0.0446894
14,-0.11348135,-0.055933025,"('antisocial', 'social')",-0.1134814,-0.055933,0.0575484
15,0.14375308,0.052185785,"('boring', 'funny')",0.1437531,0.0521858,-0.0915673
16,-0.55451125,-0.5208789,"('unpopular', 'popular')",-0.5545112,-0.5208789,0.0336323
17,-0.55377936,-0.49924737,"('nasty', 'nice')",-0.5537794,-0.4992474,0.054532
18,-0.18178505,-0.2546767,"('disagreeable', 'welcoming')",-0.181785,-0.2546767,-0.0728917
19,-0.55694485,-0.6459737,"('inhospitable', 'hospitable')",-0.5569448,-0.6459737,-0.0890289
20,1.1288571,1.0733469,"('rough', 'thoughtful')",1.1288571,1.0733469,-0.0555102
21,-0.507671,-0.4136179,"('immoral', 'moral')",-0.507671,-0.4136179,0.0940531
22,-0.7330991,-0.6716203,"('untrustworthy', 'trustworthy')",-0.7330991,-0.6716203,0.0614788
23,6.313321,6.3575745,"('insincere', 'sincere')",6.3133211,6.3575745,0.0442534
24,1.3937359,1.2515013,"('dishonest', 'honest')",1.3937359,1.2515013,-0.1422346
25,0.7306823,0.70171034,"('egoistic', 'altruistic')",0.7306823,0.7017103,-0.028972
26,0.7327722,0.68318915,"('hardhearted', 'benevolent')",0.7327722,0.6831892,-0.049583
27,1.7304997,1.5016401,"('hardhearted', 'softhearted')",1.7304997,1.5016401,-0.2288596
28,1.0430992,1.0206141,"('disloyal', 'loyal')",1.0430992,1.0206141,-0.0224851
29,-0.7095872,-0.8854724,"('unfair', 'fair')",-0.7095872,-0.8854724,-0.1758852
30,0.7883729,0.753228,"('intolerant', 'tolerant')",0.7883729,0.753228,-0.0351449
31,-1.4482476,-1.4384923,"('evil', 'good')",-1.4482476,-1.4384923,0.0097553
32,0.85078025,0.82070833,"('unkind', 'kind')",0.8507802,0.8207083,-0.0300719
33,-0.51773375,-0.6133215,"('wrong', 'right')",-0.5177338,-0.6133215,-0.0955877
34,4.7729774,4.842215,"('mean', 'honorable')",4.7729774,4.8422151,0.0692377
35,-0.57911175,-0.8832635,"('corrupt', 'incorrupt')",-0.5791118,-0.8832635,-0.3041517
36,-0.6036702,-0.73435086,"('hostile', 'amicable')",-0.6036702,-0.7343509,-0.1306807
37,0.9448389,0.93438876,"('fake', 'genuine')",0.9448389,0.9343888,-0.0104501
38,-0.2626878,-0.24794218,"('untruthful', 'truthful')",-0.2626878,-0.2479422,0.0147456
39,0.29763016,0.3317592,"('exploitative', 'cooperative')",0.2976302,0.3317592,0.034129
40,-1.3344891,-1.4558576,"('stingy', 'generous')",-1.3344891,-1.4558576,-0.1213685
41,-0.05461455,-0.08327193,"('unforgiving', 'forgiving')",-0.0546146,-0.0832719,-0.0286573
42,-2.419908,-2.376617,"('unreliable', 'reliable')",-2.419908,-2.376617,0.043291
43,0.74671596,0.7699906,"('irresponsible', 'responsible')",0.746716,0.7699906,0.0232746
44,-0.9224039,-0.8198984,"('prejudiced', 'unprejudiced')",-0.9224039,-0.8198984,0.1025055
45,-0.4327116,-0.39559272,"('incompetent', 'competent')",-0.4327116,-0.3955927,0.0371189
46,-0.8913029,-0.8045456,"('uncompetitive', 'competitive')",-0.8913029,-0.8045456,0.0867573
47,5.028956,5.174196,"('stupid', 'smart')",5.0289559,5.1741958,0.1452399
48,0.6162851,0.46705455,"('unintelligent', 'intelligent')",0.6162851,0.4670545,-0.1492306
49,0.26656926,0.22550215,"('unable', 'able')",0.2665693,0.2255021,-0.0410672
50,-0.38116327,-0.4376929,"('clumsy', 'skillful')",-0.3811633,-0.4376929,-0.0565296
51,0.57035625,0.53446543,"('uneducated', 'educated')",0.5703562,0.5344654,-0.0358908
52,-0.6899125,-0.7899707,"('irrational', 'rational')",-0.6899125,-0.7899707,-0.1000582
53,0.10026785,-0.012578765,"('uncreative', 'creative')",0.1002678,-0.0125788,-0.1128466
54,1.1290598,1.1118361,"('incapable', 'capable')",1.1290598,1.1118361,-0.0172237
55,0.5081563,0.57520705,"('incompetent', 'clever')",0.5081563,0.5752071,0.0670508
56,0.33726388,0.35914236,"('impractical', 'practical')",0.3372639,0.3591424,0.0218785
57,-2.922255,-2.7922015,"('unimaginative', 'imaginative')",-2.922255,-2.7922015,0.1300535
58,0.042737357,0.025134511,"('undiscriminating', 'discriminating')",0.0427374,0.0251345,-0.0176029
59,-0.3063146,-0.3036258,"('foolish', 'wise')",-0.3063146,-0.3036258,0.0026888
60,0.42247692,0.53068244,"('inefficient', 'efficient')",0.4224769,0.5306824,0.1082055
61,0.21756463,-0.0033531263,"('illogical', 'logical')",0.2175646,-0.0033531,-0.2209177
62,0.29002923,0.37776127,"('incompetent', 'brilliant')",0.2900292,0.3777613,0.0877321
