,yarmulke_male,yarmulke_female,tuple,average_male,average_female,female-male
0,-0.5173258,-0.66173583,"('unsociable', 'sociable')",-0.5173258,-0.6617358,-0.14441
1,-0.25079426,-0.523315,"('unfriendly', 'friendly')",-0.2507943,-0.523315,-0.2725207
2,1.0609117,1.1593285,"('unlikable', 'likable')",1.0609117,1.1593285,0.0984168
3,-0.8865508,-0.73259676,"('repellent', 'pleasant')",-0.8865508,-0.7325968,0.153954
4,-0.49594334,-0.795047,"('disliked', 'liked')",-0.4959433,-0.795047,-0.2991037
5,0.058910996,-0.09167711,"('distant', 'outgoing')",0.058911,-0.0916771,-0.1505881
6,-0.21015264,-0.36838675,"('distant', 'open')",-0.2101526,-0.3683867,-0.1582341
7,-0.22684237,-0.17351666,"('insensitive', 'sensitive')",-0.2268424,-0.1735167,0.0533257
8,-0.22238883,-0.4347232,"('unaffectionate', 'affectionate')",-0.2223888,-0.4347232,-0.2123344
9,-0.4347804,-0.65318465,"('unaffectionate', 'caring')",-0.4347804,-0.6531847,-0.2184043
10,-0.9401482,-0.9456283,"('unsympathetic', 'sympathetic')",-0.9401482,-0.9456283,-0.0054801
11,-0.17294359,-0.20221466,"('unhelpful', 'helpful')",-0.1729436,-0.2022147,-0.0292711
12,-0.79457563,-0.84943634,"('unsupportive', 'supportive')",-0.7945756,-0.8494363,-0.0548607
13,-0.7676549,-0.58521986,"('impolite', 'polite')",-0.7676549,-0.5852199,0.182435
14,-0.12848333,0.14481726,"('antisocial', 'social')",-0.1284833,0.1448173,0.2733006
15,1.1045201,0.8659758,"('boring', 'funny')",1.1045201,0.8659758,-0.2385443
16,0.09623233,-0.15462196,"('unpopular', 'popular')",0.0962323,-0.154622,-0.2508543
17,-0.38125005,-0.42145675,"('nasty', 'nice')",-0.3812501,-0.4214568,-0.0402067
18,0.23479725,0.33280814,"('disagreeable', 'welcoming')",0.2347973,0.3328081,0.0980108
19,0.15351564,-0.21193716,"('inhospitable', 'hospitable')",0.1535156,-0.2119372,-0.3654528
20,-0.6862732,-0.5595686,"('rough', 'thoughtful')",-0.6862732,-0.5595686,0.1267046
21,-0.65362155,-0.5226091,"('immoral', 'moral')",-0.6536216,-0.5226091,0.1310125
22,-0.3892155,-0.1418921,"('untrustworthy', 'trustworthy')",-0.3892155,-0.1418921,0.2473234
23,0.51501006,0.6897691,"('insincere', 'sincere')",0.5150101,0.6897691,0.174759
24,-0.0058603026,0.06983791,"('dishonest', 'honest')",-0.0058603,0.0698379,0.0756982
25,0.45198596,0.15798362,"('egoistic', 'altruistic')",0.451986,0.1579836,-0.2940024
26,0.58712244,0.36239848,"('hardhearted', 'benevolent')",0.5871224,0.3623985,-0.2247239
27,-0.04087337,-0.023257159,"('hardhearted', 'softhearted')",-0.0408734,-0.0232572,0.0176162
28,-0.59288794,-0.72449505,"('disloyal', 'loyal')",-0.5928879,-0.7244951,-0.1316072
29,-0.29918894,-0.3308545,"('unfair', 'fair')",-0.2991889,-0.3308545,-0.0316656
30,0.5843462,0.6419372,"('intolerant', 'tolerant')",0.5843462,0.6419372,0.057591
31,-0.62985843,-0.71544594,"('evil', 'good')",-0.6298584,-0.7154459,-0.0855875
32,-0.16411942,-0.24186522,"('unkind', 'kind')",-0.1641194,-0.2418652,-0.0777458
33,-0.14164026,-0.21940406,"('wrong', 'right')",-0.1416403,-0.2194041,-0.0777638
34,0.7723469,0.8952522,"('mean', 'honorable')",0.7723469,0.8952522,0.1229053
35,0.8802532,0.53816074,"('corrupt', 'incorrupt')",0.8802532,0.5381607,-0.3420925
36,-0.3177213,-0.50701565,"('hostile', 'amicable')",-0.3177213,-0.5070156,-0.1892943
37,0.12681767,0.14910662,"('fake', 'genuine')",0.1268177,0.1491066,0.0222889
38,-0.5972783,-0.658295,"('untruthful', 'truthful')",-0.5972783,-0.658295,-0.0610167
39,-0.5296443,-0.2884012,"('exploitative', 'cooperative')",-0.5296443,-0.2884012,0.2412431
40,-0.6728546,-0.61993885,"('stingy', 'generous')",-0.6728546,-0.6199389,0.0529157
41,0.09063093,0.12629351,"('unforgiving', 'forgiving')",0.0906309,0.1262935,0.0356626
42,0.36041215,0.23580194,"('unreliable', 'reliable')",0.3604122,0.2358019,-0.1246103
43,-0.6525228,-0.5388743,"('irresponsible', 'responsible')",-0.6525228,-0.5388743,0.1136485
44,-0.28724673,-0.19809723,"('prejudiced', 'unprejudiced')",-0.2872467,-0.1980972,0.0891495
45,-0.589782,-0.5308878,"('incompetent', 'competent')",-0.589782,-0.5308878,0.0588942
46,-0.91195905,-0.8182539,"('uncompetitive', 'competitive')",-0.9119591,-0.8182539,0.0937052
47,0.901953,1.2895054,"('stupid', 'smart')",0.901953,1.2895054,0.3875524
48,-0.6225128,-0.49464244,"('unintelligent', 'intelligent')",-0.6225128,-0.4946424,0.1278704
49,-0.18832128,-0.029932428,"('unable', 'able')",-0.1883213,-0.0299324,0.1583889
50,0.2651452,0.1605416,"('clumsy', 'skillful')",0.2651452,0.1605416,-0.1046036
51,0.16485342,0.068326265,"('uneducated', 'educated')",0.1648534,0.0683263,-0.0965271
52,0.10212549,-0.17092724,"('irrational', 'rational')",0.1021255,-0.1709272,-0.2730527
53,0.35564584,0.21870655,"('uncreative', 'creative')",0.3556458,0.2187065,-0.1369393
54,0.6252688,0.42651185,"('incapable', 'capable')",0.6252688,0.4265119,-0.1987569
55,-0.7072008,-0.38857386,"('incompetent', 'clever')",-0.7072008,-0.3885739,0.3186269
56,0.594466,0.5855583,"('impractical', 'practical')",0.594466,0.5855583,-0.0089077
57,-0.84820116,-1.1155416,"('unimaginative', 'imaginative')",-0.8482012,-1.1155416,-0.2673404
58,-0.13705915,-0.2733279,"('undiscriminating', 'discriminating')",-0.1370592,-0.2733279,-0.1362687
59,0.56965816,0.5371013,"('foolish', 'wise')",0.5696582,0.5371013,-0.0325569
60,-0.6776456,-0.38101107,"('inefficient', 'efficient')",-0.6776456,-0.3810111,0.2966345
61,-0.524848,-0.5191306,"('illogical', 'logical')",-0.524848,-0.5191306,0.0057174
62,0.1945926,0.44418398,"('incompetent', 'brilliant')",0.1945926,0.444184,0.2495914
63,-0.18054938,-0.15123522,"('unperceptive', 'insightful')",-0.1805494,-0.1512352,0.0293142
64,-0.8353346,-0.786632,"('shy', 'confident')",-0.8353346,-0.786632,0.0487026
65,-0.8553355,-0.39730394,"('insecure', 'secure')",-0.8553355,-0.3973039,0.4580316
66,0.20581144,-0.010792587,"('inactive', 'active')",0.2058114,-0.0107926,-0.216604
67,0.19507284,0.1826632,"('doubtful', 'determined')",0.1950728,0.1826632,-0.0124096
68,-0.45504877,-0.3520411,"('dependent', 'independent')",-0.4550488,-0.3520411,0.1030077
69,0.3944447,0.23666549,"('lazy', 'industrious')",0.3944447,0.2366655,-0.1577792
