,help_male,help_female,tuple,average_male,average_female,female-male
0,0.40356186,0.27562407,"('unsociable', 'sociable')",0.4035619,0.2756241,-0.1279378
1,1.0547167,0.9522485,"('unfriendly', 'friendly')",1.0547167,0.9522485,-0.1024682
2,0.25850302,0.35615355,"('unlikable', 'likable')",0.258503,0.3561535,0.0976505
3,0.78952193,0.80249566,"('repellent', 'pleasant')",0.7895219,0.8024957,0.0129738
4,-7.3152614,-7.422349,"('disliked', 'liked')",-7.3152614,-7.422349,-0.1070876
5,-0.5708672,-0.55069953,"('distant', 'outgoing')",-0.5708672,-0.5506995,0.0201677
6,-0.10363307,-0.08942495,"('distant', 'open')",-0.1036331,-0.089425,0.0142081
7,0.86743146,0.78041816,"('insensitive', 'sensitive')",0.8674315,0.7804182,-0.0870133
8,1.2456002,1.2105511,"('unaffectionate', 'affectionate')",1.2456002,1.2105511,-0.0350491
9,1.9856495,2.0673003,"('unaffectionate', 'caring')",1.9856495,2.0673003,0.0816508
10,1.3937618,1.3589585,"('unsympathetic', 'sympathetic')",1.3937618,1.3589585,-0.0348033
11,2.206134,2.2708752,"('unhelpful', 'helpful')",2.2061341,2.2708752,0.0647411
12,-1.2516044,-1.2710824,"('unsupportive', 'supportive')",-1.2516044,-1.2710824,-0.019478
13,0.26015574,0.18603021,"('impolite', 'polite')",0.2601557,0.1860302,-0.0741255
14,0.34110194,0.19929959,"('antisocial', 'social')",0.3411019,0.1992996,-0.1418023
15,0.13443576,0.020022444,"('boring', 'funny')",0.1344358,0.0200224,-0.1144134
16,-0.29829636,-0.3017721,"('unpopular', 'popular')",-0.2982964,-0.3017721,-0.0034757
17,0.19152004,0.22355267,"('nasty', 'nice')",0.19152,0.2235527,0.0320327
18,-0.3169034,-0.39883804,"('disagreeable', 'welcoming')",-0.3169034,-0.398838,-0.0819346
19,-1.0420185,-0.9801682,"('inhospitable', 'hospitable')",-1.0420185,-0.9801682,0.0618503
20,0.89975613,0.7943862,"('rough', 'thoughtful')",0.8997561,0.7943862,-0.1053699
21,0.12300524,0.14290838,"('immoral', 'moral')",0.1230052,0.1429084,0.0199032
22,-0.17797428,-0.28323737,"('untrustworthy', 'trustworthy')",-0.1779743,-0.2832374,-0.1052631
23,6.210218,6.2472672,"('insincere', 'sincere')",6.210218,6.2472672,0.0370492
24,1.9287789,1.8517895,"('dishonest', 'honest')",1.9287789,1.8517895,-0.0769894
25,0.6685816,0.6706557,"('egoistic', 'altruistic')",0.6685816,0.6706557,0.0020741
26,0.68110937,0.5569219,"('hardhearted', 'benevolent')",0.6811094,0.5569219,-0.1241875
27,1.6271384,1.4103882,"('hardhearted', 'softhearted')",1.6271384,1.4103882,-0.2167502
28,1.2014645,1.16623,"('disloyal', 'loyal')",1.2014645,1.16623,-0.0352345
29,-0.44187838,-0.6080383,"('unfair', 'fair')",-0.4418784,-0.6080383,-0.1661599
30,0.78086275,0.70920515,"('intolerant', 'tolerant')",0.7808627,0.7092052,-0.0716575
31,-1.6134061,-1.610181,"('evil', 'good')",-1.6134061,-1.610181,0.0032251
32,1.2685746,1.2126735,"('unkind', 'kind')",1.2685746,1.2126735,-0.0559011
