,gamestop_male,gamestop_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-1.8698326,-1.9527555,"('unsympathetic', 'sympathetic')",-0.39141038,-0.051073764,-1.1306216,-1.0019146,-0.128707
42,-1.5650879,-1.4867921,"('unreliable', 'reliable')",-3.623684,-3.5433738,-2.5943859,-2.5150828,-0.0793031
70,-1.3906264,-1.3111506,"('lethargic', 'energetic')",0.24573791,0.5742672,-0.5724443,-0.3684417,-0.2040026
66,-1.3865111,-1.5160309,"('inactive', 'active')",0.56744576,0.2933306,-0.4095327,-0.6113502,0.2018175
81,-1.2385473,-1.1089028,"('submissive', 'aggressive')",-1.2247262,-0.8294831,-1.2316368,-0.969193,-0.2624438
68,-1.1480013,-1.1211122,"('dependent', 'independent')",-0.8999274,-1.0079641,-1.0239644,-1.0645382,0.0405738
43,-1.1012101,-1.0193055,"('irresponsible', 'responsible')",0.33693093,0.6369017,-0.3821396,-0.1912019,-0.1909377
3,-1.0379243,-1.0309175,"('repellent', 'pleasant')",0.9477425,1.191594,-0.0450909,0.0803382,-0.1254291
13,-1.0358465,-0.97715724,"('impolite', 'polite')",-0.7216096,-0.44570857,-0.878728,-0.7114329,-0.1672951
46,-1.0078945,-0.95117575,"('uncompetitive', 'competitive')",-0.9311848,-0.69474804,-0.9695396,-0.8229619,-0.1465777
72,-1.0054746,-0.9904306,"('unambitious', 'ambitious')",-0.21220383,0.06549084,-0.6088392,-0.4624699,-0.1463693
15,0.96952635,1.0595427,"('boring', 'funny')",-0.067981884,-0.0668642,0.4507722,0.4963392,-0.045567
22,-0.9556481,-0.8184604,"('untrustworthy', 'trustworthy')",-0.89112,-0.8155101,-0.9233841,-0.8169852,-0.1063989
51,-0.9456483,-0.9153395,"('uneducated', 'educated')",0.5565473,0.46582964,-0.1945505,-0.2247549,0.0302044
44,-0.905531,-0.7894605,"('prejudiced', 'unprejudiced')",-1.3681474,-1.2891166,-1.1368392,-1.0392885,-0.0975507
57,-0.8543079,-0.7511373,"('unimaginative', 'imaginative')",-3.0846574,-3.1054418,-1.9694827,-1.9282895,-0.0411932
76,-0.84250945,-0.7378761,"('anxious', 'daring')",-0.2546757,0.04292434,-0.5485926,-0.3474759,-0.2011167
8,0.834413,0.72961575,"('unaffectionate', 'affectionate')",1.1926289,0.9973005,1.013521,0.8634582,0.1500628
61,0.828128,0.7875079,"('illogical', 'logical')",0.6277014,0.6676418,0.7279147,0.7275748,0.0003399
64,-0.81848735,-0.7966271,"('shy', 'confident')",-6.9628177,-6.840704,-3.8906524,-3.8186655,-0.0719869
65,-0.8151133,-0.72139376,"('insecure', 'secure')",-0.28361315,0.116184264,-0.5493633,-0.3026047,-0.2467586
38,-0.8105873,-0.6768671,"('untruthful', 'truthful')",-0.6107743,-0.47924045,-0.7106808,-0.5780538,-0.132627
71,0.80297315,0.8117606,"('diffident', 'self-confident')",0.29567963,0.2687317,0.5493264,0.5402461,0.0090803
85,0.7995416,0.6228535,"('insignificant', 'prestigious')",-0.11680826,-0.7910467,0.3413667,-0.0840966,0.4254633
9,0.7864921,0.6216297,"('unaffectionate', 'caring')",1.6275456,1.4593123,1.2070189,1.0404711,0.1665478
19,-0.7538758,-0.9127699,"('inhospitable', 'hospitable')",-0.3389217,-0.65040195,-0.5463988,-0.7815859,0.2351871
21,-0.72544426,-0.7299311,"('immoral', 'moral')",-0.71929854,-0.45288044,-0.7223714,-0.5914057,-0.1309657
34,-0.72168535,-0.6470871,"('mean', 'honorable')",5.660671,5.7616115,2.4694929,2.5572622,-0.0877693
45,-0.71822727,-0.5502165,"('incompetent', 'competent')",-0.11569154,0.08111045,-0.4169594,-0.234553,-0.1824064
7,-0.6855897,-0.7393501,"('insensitive', 'sensitive')",0.6737798,0.70029294,-0.0059049,-0.0195286,0.0136237
25,0.680953,0.5399971,"('egoistic', 'altruistic')",1.6141279,1.2775424,1.1475405,0.9087697,0.2387708
18,-0.6804369,-0.7782565,"('disagreeable', 'welcoming')",-0.41422412,-0.6170808,-0.5473305,-0.6976687,0.1503382
26,0.67687184,0.61448294,"('hardhearted', 'benevolent')",1.6917081,1.2950085,1.1842899,0.9547458,0.2295441
47,-0.67569554,-0.58845997,"('stupid', 'smart')",5.4515085,5.652211,2.3879066,2.5318756,-0.143969
79,-0.67291903,-0.7047272,"('wavering', 'unwavering')",-0.40885448,-0.5015005,-0.5408868,-0.6031138,0.062227
24,-0.6583774,-0.6652963,"('dishonest', 'honest')",0.60209787,0.67746806,-0.0281398,0.0060859,-0.0342257
59,0.6114105,0.6014529,"('foolish', 'wise')",0.0750071,-0.20446593,0.3432088,0.1984935,0.1447153
1,0.5851687,0.51467407,"('unfriendly', 'friendly')",1.7316762,1.3482502,1.1584225,0.9314621,0.2269604
30,-0.5752262,-0.5371808,"('intolerant', 'tolerant')",0.4345817,0.4954498,-0.0703222,-0.0208655,-0.0494567
39,0.5678583,0.47048795,"('exploitative', 'cooperative')",0.32717645,0.17637318,0.4475174,0.3234306,0.1240868
20,-0.5616663,-0.48162082,"('rough', 'thoughtful')",0.90711474,0.76955986,0.1727242,0.1439695,0.0287547
87,0.52849483,0.46434265,"('unsuccessful', 'successful')",1.0288352,0.9836156,0.778665,0.7239791,0.0546859
48,0.501978,0.52153385,"('unintelligent', 'intelligent')",0.69232774,0.7003429,0.5971528,0.6109384,-0.0137856
54,0.48562786,0.38147485,"('incapable', 'capable')",0.9453818,0.87405324,0.7155048,0.627764,0.0877408
2,-0.46814632,-0.4318127,"('unlikable', 'likable')",0.2662554,0.23850802,-0.1009455,-0.0966523,-0.0042932
35,0.4644134,0.3824129,"('corrupt', 'incorrupt')",-0.36746976,-0.76720506,0.0484718,-0.1923961,0.2408679
40,-0.455278,-0.39062253,"('stingy', 'generous')",-1.9058936,-2.1426215,-1.1805857,-1.2666221,0.0860364
32,-0.44421238,-0.44813338,"('unkind', 'kind')",0.86920005,0.9164561,0.2124938,0.2341614,-0.0216676
58,-0.43275923,-0.3874932,"('undiscriminating', 'discriminating')",0.06886819,-0.027350757,-0.1819455,-0.207422,0.0254765
23,-0.43223763,-0.42558163,"('insincere', 'sincere')",6.3653026,6.7914205,2.9665325,3.1829195,-0.216387
52,0.42170477,0.25367823,"('irrational', 'rational')",0.16436133,-0.10445091,0.2930331,0.0746137,0.2184194
