,cameron_male,cameron_female,tuple,international_male,international_female,corp_male,corp_female,average_male,average_female,male-female
12,3.0127866,3.1049614,"('unsupportive', 'supportive')",-0.05313229,0.056154296,-1.9556524,-1.8569229,0.3346673,0.4347309,-0.1000636
9,3.0124767,2.7239826,"('unaffectionate', 'caring')",0.35859025,0.0068916827,1.0512071,0.9868764,1.4740914,1.2392503,0.2348411
39,2.5872204,2.9566875,"('exploitative', 'cooperative')",0.8330799,0.74614525,0.36612043,0.24143639,1.2621402,1.3147564,-0.0526162
74,2.4311574,2.2511206,"('undedicated', 'dedicated')",0.44180158,0.42720795,-0.14598349,-0.14676714,0.9089918,0.8438538,0.065138
2,2.0960202,1.903311,"('unlikable', 'likable')",1.5076388,1.2836516,0.7847938,0.7141888,1.4628177,1.3003838,0.1624339
44,-1.9391258,-1.7329473,"('prejudiced', 'unprejudiced')",0.19596466,0.33925742,-1.439873,-1.3117332,-1.0610113,-0.9018077,-0.1592036
16,-1.862196,-1.6682926,"('unpopular', 'popular')",0.17494428,0.22257842,0.24247295,0.22346361,-0.4815929,-0.4074169,-0.074176
28,1.8240707,1.5350059,"('disloyal', 'loyal')",-0.093057,-0.38600084,1.1701248,1.047394,0.9670461,0.7321331,0.234913
8,1.7455655,1.5038197,"('unaffectionate', 'affectionate')",0.06767524,-0.26039034,0.33226392,0.3656855,0.7151682,0.5363716,0.1787966
43,1.6897082,1.6728457,"('irresponsible', 'responsible')",-0.22987746,0.04038823,0.19931793,0.19387089,0.5530496,0.6357016,-0.082652
73,1.6071826,1.7606022,"('helpless', 'self-reliant')",0.7119959,0.76823694,-3.3170927,-3.1049848,-0.332638,-0.1920485,-0.1405895
85,1.5852875,1.537276,"('insignificant', 'prestigious')",0.22173679,-0.15303338,-0.17695901,-0.18880264,0.5433551,0.39848,0.1448751
26,1.5472606,1.0375427,"('hardhearted', 'benevolent')",1.7628679,1.5526385,1.913755,1.8919054,1.7412945,1.4940289,0.2472656
38,1.5394368,1.5053185,"('untruthful', 'truthful')",-0.44763598,-0.4072539,-0.191879,-0.19770822,0.2999739,0.3001188,-0.0001449
71,1.4587076,1.5505371,"('diffident', 'self-confident')",0.82962775,0.7152682,0.26499164,0.29136428,0.851109,0.8523898,-0.0012808
33,1.447066,1.6672648,"('wrong', 'right')",0.82744807,0.8749709,-0.67532665,-0.5858719,0.5330625,0.6521213,-0.1190588
7,1.4393278,1.3771627,"('insensitive', 'sensitive')",-0.069872364,-0.16973582,0.6321766,0.46299022,0.6672107,0.5568057,0.110405
59,1.3465396,1.3794214,"('foolish', 'wise')",0.43254372,0.20801073,-0.042251773,0.016914591,0.5789438,0.5347823,0.0441615
84,1.3454734,1.6258667,"('inferior', 'superior')",0.2680273,0.34330082,0.99588627,1.0661905,0.8697956,1.011786,-0.1419904
24,1.3291774,1.1397953,"('dishonest', 'honest')",-0.32896665,-0.29870665,0.41286713,0.31799906,0.4710259,0.3863626,0.0846633
30,1.2956642,1.1883887,"('intolerant', 'tolerant')",0.28545827,0.21938112,0.39793527,0.26798776,0.6596859,0.5585858,0.1011001
56,1.2789147,1.1350542,"('impractical', 'practical')",0.6442832,0.5593486,-0.5206598,-0.7187271,0.4675127,0.3252252,0.1422875
0,1.2550054,1.2347994,"('unsociable', 'sociable')",-0.370849,-0.4367557,-0.33227313,-0.4480996,0.1839611,0.116648,0.0673131
62,1.1874083,1.132541,"('incompetent', 'brilliant')",0.10252845,0.12199722,0.34896907,0.24472189,0.546302,0.4997534,0.0465486
61,1.1183289,0.99050456,"('illogical', 'logical')",-0.48043832,-0.60974073,0.51550037,0.44571277,0.3844636,0.2754922,0.1089714
1,1.0850224,0.81246185,"('unfriendly', 'friendly')",0.40873057,0.15514684,1.3769965,1.2895164,0.9569165,0.752375,0.2045415
42,1.021911,0.94949657,"('unreliable', 'reliable')",0.28377804,0.2397683,-3.1885228,-3.1605723,-0.6276112,-0.6571025,0.0294913
55,1.000109,1.1726516,"('incompetent', 'clever')",-1.1405549,-0.9443938,0.24577965,0.20224397,0.0351112,0.1435006,-0.1083894
41,0.98853195,0.6129867,"('unforgiving', 'forgiving')",-0.13375923,-0.04375171,0.19013315,0.2003393,0.348302,0.2565248,0.0917772
23,0.93369997,0.7628965,"('insincere', 'sincere')",-0.29742527,-0.35370636,5.909944,5.61465,2.182073,2.0079467,0.1741263
63,0.9311286,1.0368484,"('unperceptive', 'insightful')",0.43172008,0.63123083,0.39915216,0.5210411,0.5873336,0.7297068,-0.1423732
14,0.9139093,0.8350648,"('antisocial', 'social')",0.5433764,0.35420966,0.17601812,0.069172084,0.5444346,0.4194822,0.1249524
27,0.83278984,0.86415505,"('hardhearted', 'softhearted')",-0.43962818,-0.32162687,0.6403985,0.86441,0.3445201,0.4689794,-0.1244593
72,0.8188322,0.78853935,"('unambitious', 'ambitious')",-0.8917651,-0.8010476,-0.5744469,-0.5246169,-0.2157933,-0.1790417,-0.0367516
54,0.7925646,0.74137974,"('incapable', 'capable')",0.3647369,0.16684514,0.5498239,0.5362893,0.5690418,0.4815047,0.0875371
87,0.78454715,0.88300896,"('unsuccessful', 'successful')",0.8922245,1.0100769,1.0173938,1.0970407,0.8980552,0.9967089,-0.0986537
47,-0.75791365,-0.8172793,"('stupid', 'smart')",-0.4842372,-0.38035,5.0061736,4.9201474,1.2546743,1.2408394,0.0138349
68,-0.7418717,-0.5328957,"('dependent', 'independent')",-0.18165448,-0.04672315,-1.4397949,-1.3521643,-0.7877737,-0.6439277,-0.143846
58,0.73363274,0.7980709,"('undiscriminating', 'discriminating')",0.22776425,0.36642015,0.22061516,0.24176705,0.3940041,0.4687527,-0.0747486
21,0.73110867,0.8099767,"('immoral', 'moral')",0.057115287,0.011017928,-0.78157866,-0.73996305,0.0022151,0.0270105,-0.0247954
