,tegna_male,tegna_female,tuple,inc_male,inc_female,average_male,average_female,male-female
6,-1.6864965,-1.8274659,"('distant', 'open')",-0.072940014,-0.15185139,-0.8797182,-0.9896587,0.1099405
1,-1.4962413,-1.3209138,"('unfriendly', 'friendly')",1.4736452,1.4976928,-0.0112981,0.0883895,-0.0996876
5,-1.490187,-1.6870252,"('distant', 'outgoing')",-0.6206173,-0.6021788,-1.0554022,-1.1446021,0.0891999
53,-1.4119107,-1.482586,"('uncreative', 'creative')",0.40379396,0.44319013,-0.5040584,-0.519698,0.0156396
8,-1.3964742,-1.4691812,"('unaffectionate', 'affectionate')",0.62733394,0.70717007,-0.3845702,-0.3810056,-0.0035646
31,-1.2904751,-1.5796891,"('evil', 'good')",-0.8670219,-0.93592197,-1.0787485,-1.2578056,0.1790571
86,-1.2538482,-0.739546,"('uninfluential', 'influential')",-0.368476,0.017944023,-0.8111621,-0.360801,-0.4503611
36,-1.107038,-1.663346,"('hostile', 'amicable')",0.43712926,0.094423264,-0.3349544,-0.7844614,0.449507
19,-1.0262462,-1.1645806,"('inhospitable', 'hospitable')",-0.06730519,-0.16661505,-0.5467757,-0.6655978,0.1188221
44,1.003434,0.7394107,"('prejudiced', 'unprejudiced')",-1.3831508,-1.5933775,-0.1898584,-0.4269834,0.237125
9,-0.9916672,-0.98222375,"('unaffectionate', 'caring')",0.8230133,0.9574945,-0.084327,-0.0123646,-0.0719624
76,0.985857,0.73748255,"('anxious', 'daring')",0.14828762,-0.019515872,0.5670723,0.3589833,0.208089
68,-0.9601669,-0.73017955,"('dependent', 'independent')",-0.7333258,-0.44149432,-0.8467463,-0.5858369,-0.2609094
0,-0.9528847,-0.44270128,"('unsociable', 'sociable')",-0.6071712,-0.2516616,-0.7800279,-0.3471814,-0.4328465
28,-0.932145,-0.24907392,"('disloyal', 'loyal')",0.43434116,0.793551,-0.2489019,0.2722386,-0.5211405
