,xilinx_male,xilinx_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-2.8864965,-2.6869934,"('unsympathetic', 'sympathetic')",-0.5007195,-0.5794095,-1.693608,-1.6332014,-0.0604066
46,-1.939065,-1.8581759,"('uncompetitive', 'competitive')",-0.6993774,-0.8805373,-1.3192213,-1.3693566,0.0501353
70,-1.7848915,-1.4758077,"('lethargic', 'energetic')",0.3627469,0.48405463,-0.7110723,-0.4958765,-0.2151958
45,-1.7388378,-1.5751234,"('incompetent', 'competent')",-0.47054195,-0.47870243,-1.1046898,-1.0269129,-0.0777769
43,-1.5909481,-1.439667,"('irresponsible', 'responsible')",0.40222436,0.3273607,-0.5943619,-0.5561532,-0.0382087
76,-1.5557368,-1.1676699,"('anxious', 'daring')",-0.06683712,0.049640235,-0.8112869,-0.5590149,-0.252272
21,-1.4882243,-1.5457586,"('immoral', 'moral')",-0.7549274,-0.9622709,-1.1215758,-1.2540147,0.1324389
13,-1.4451468,-1.6238252,"('impolite', 'polite')",-0.22593266,-0.51320446,-0.8355397,-1.0685148,0.2329751
0,-1.3545448,-1.6328014,"('unsociable', 'sociable')",-0.22060883,-0.44996297,-0.7875768,-1.0413822,0.2538054
69,1.3429393,1.3523128,"('lazy', 'industrious')",-0.64264035,-0.65231574,0.3501495,0.3499985,0.000151
60,-1.3269174,-1.1950809,"('inefficient', 'efficient')",0.06086441,-0.04630542,-0.6330265,-0.6206931,-0.0123334
57,-1.3002143,-1.3272729,"('unimaginative', 'imaginative')",-2.5511074,-2.6018348,-1.9256608,-1.9645538,0.038893
42,-1.2463195,-0.97742015,"('unreliable', 'reliable')",-3.5565727,-3.3718526,-2.4014461,-2.1746364,-0.2268097
31,1.2009267,1.0037134,"('evil', 'good')",-0.96574193,-1.0044603,0.1175924,-0.0003735,0.1179659
72,-1.1997814,-1.0953795,"('unambitious', 'ambitious')",-0.6767506,-0.7189359,-0.938266,-0.9071577,-0.0311083
35,1.1806808,1.0941994,"('corrupt', 'incorrupt')",-0.20063515,-0.10112021,0.4900228,0.4965396,-0.0065168
85,1.1800643,0.9460388,"('insignificant', 'prestigious')",0.66004795,0.5941125,0.9200561,0.7700757,0.1499804
81,-1.1381302,-0.96370006,"('submissive', 'aggressive')",-0.97724277,-1.089457,-1.0576864,-1.0265785,-0.0311079
65,-1.119327,-1.0869502,"('insecure', 'secure')",-0.34117633,-0.36634505,-0.7302517,-0.7266476,-0.0036041
59,1.1064655,1.0015023,"('foolish', 'wise')",0.5301925,0.6200095,0.818329,0.8107558,0.0075732
73,1.0854675,1.10277,"('helpless', 'self-reliant')",-2.8398087,-2.8289688,-0.8771706,-0.8630994,-0.0140712
55,-1.0827571,-0.9211431,"('incompetent', 'clever')",0.013962623,-0.045333132,-0.5343972,-0.4832381,-0.0511591
7,-1.0460534,-1.0036068,"('insensitive', 'sensitive')",0.77821016,0.7903299,-0.1339216,-0.1066385,-0.0272831
86,-1.0441883,-1.3848916,"('uninfluential', 'influential')",0.0024774298,-0.19678466,-0.5208554,-0.7908381,0.2699827
63,-1.035167,-0.9760538,"('unperceptive', 'insightful')",1.0733808,1.0624094,0.0191069,0.0431778,-0.0240709
51,-1.0137731,-1.0758853,"('uneducated', 'educated')",0.9808847,0.8112802,-0.0164442,-0.1323026,0.1158584
56,-1.0012728,-0.9302843,"('impractical', 'practical')",-0.2489748,-0.24254474,-0.6251238,-0.5864145,-0.0387093
11,-0.97165614,-0.94590265,"('unhelpful', 'helpful')",1.8514938,1.8016595,0.4399188,0.4278784,0.0120404
39,0.9707005,0.78540844,"('exploitative', 'cooperative')",0.2740154,0.22039478,0.622358,0.5029016,0.1194564
32,-0.94773513,-0.8926555,"('unkind', 'kind')",0.9580874,0.8838828,0.0051761,-0.0043863,0.0095624
75,0.9166379,0.9328182,"('meek', 'impulsive')",-0.29284203,-0.28107378,0.3118979,0.3258722,-0.0139743
36,0.9133447,0.5542332,"('hostile', 'amicable')",0.28193477,0.15353955,0.5976397,0.3538864,0.2437533
24,-0.8573652,-0.7460622,"('dishonest', 'honest')",0.83415145,0.8900817,-0.0116069,0.0720097,-0.0836166
52,0.84882635,0.60640806,"('irrational', 'rational')",0.20709293,0.19369578,0.5279596,0.4000519,0.1279077
23,-0.83173174,-0.91540486,"('insincere', 'sincere')",6.0958457,6.073082,2.632057,2.5788386,0.0532184
28,-0.81196076,-1.055476,"('disloyal', 'loyal')",0.73526675,0.71767807,-0.038347,-0.1688989,0.1305519
27,-0.7560268,-0.7374794,"('hardhearted', 'softhearted')",1.4779074,1.429347,0.3609403,0.3459338,0.0150065
14,-0.7413847,-0.64166796,"('antisocial', 'social')",-0.7257396,-0.8287008,-0.7335621,-0.7351844,0.0016223
78,-0.7358308,-0.71706104,"('nonresilient', 'resilient')",0.46562195,0.40417656,-0.1351044,-0.1564422,0.0213378
38,-0.72716737,-0.630989,"('untruthful', 'truthful')",0.07252319,0.15765564,-0.3273221,-0.2366667,-0.0906554
84,0.7054189,0.5038329,"('inferior', 'superior')",1.0815607,1.1306914,0.8934898,0.8172622,0.0762276
33,0.69328463,0.5053901,"('wrong', 'right')",-0.39145446,-0.3892479,0.1509151,0.0580711,0.092844
25,0.68808466,0.587048,"('egoistic', 'altruistic')",1.4510617,1.5196168,1.0695732,1.0533324,0.0162408
83,0.6587212,0.4464112,"('powerless', 'powerful')",-0.7678264,-0.8310306,-0.0545526,-0.1923097,0.1377571
77,-0.6491911,-0.87951756,"('unmotivated', 'motivated')",-1.2419628,-1.3144239,-0.9455769,-1.0969708,0.1513939
3,-0.6478063,-0.5869125,"('repellent', 'pleasant')",0.1320442,0.1035462,-0.257881,-0.2416832,-0.0161978
71,0.6448901,0.4217311,"('diffident', 'self-confident')",0.36151025,0.37047392,0.5032002,0.3961025,0.1070977
5,0.6286028,0.4520433,"('distant', 'outgoing')",-0.08624315,0.019967895,0.2711798,0.2360056,0.0351742
82,-0.60875064,-0.45621347,"('poor', 'rich')",6.1525702,6.280483,2.7719097,2.9121346,-0.1402249
6,0.58947647,0.40544304,"('distant', 'open')",0.29620588,0.38807854,0.4428412,0.3967608,0.0460804
66,-0.57940394,-0.5029086,"('inactive', 'active')",0.5173634,0.55283254,-0.0310203,0.024962,-0.0559823
80,-0.55926126,-0.43405575,"('dominated', 'dominating')",-1.3281751,-1.2128838,-0.9437182,-0.8234698,-0.1202484
1,0.55520624,0.15162256,"('unfriendly', 'friendly')",1.6884545,1.6532329,1.1218303,0.9024277,0.2194026
37,-0.54707396,-0.40635055,"('fake', 'genuine')",0.41772157,0.5418428,-0.0646762,0.0677461,-0.1324223
2,0.5366163,0.66852546,"('unlikable', 'likable')",0.57747006,0.59264493,0.5570432,0.6305852,-0.073542
54,0.5168396,0.34460205,"('incapable', 'capable')",1.4382908,1.5189222,0.9775652,0.9317621,0.0458031
12,-0.50608915,-0.45700473,"('unsupportive', 'supportive')",-1.5916793,-1.5918772,-1.0488843,-1.024441,-0.0244433
62,-0.46100512,-0.14332236,"('incompetent', 'brilliant')",0.22091727,0.38724294,-0.1200439,0.1219603,-0.2420042
64,-0.4434215,-0.51286936,"('shy', 'confident')",-6.390201,-6.546472,-3.4168112,-3.5296707,0.1128595
40,0.4127289,0.61730385,"('stingy', 'generous')",-1.3149354,-1.2540524,-0.4511033,-0.3183743,-0.132729
20,0.4023208,0.4406019,"('rough', 'thoughtful')",1.0494481,0.97740287,0.7258844,0.7090024,0.016882
49,0.39761144,0.365475,"('unable', 'able')",0.37002274,0.39395717,0.3838171,0.3797161,0.004101
58,-0.39658806,-0.46532995,"('undiscriminating', 'discriminating')",0.12910493,0.061451696,-0.1337416,-0.2019391,0.0681975
87,-0.37144363,-0.39855108,"('unsuccessful', 'successful')",0.7915426,0.7968567,0.2100495,0.1991528,0.0108967
74,-0.36456797,-0.28807586,"('undedicated', 'dedicated')",-0.063522555,-0.091342375,-0.2140453,-0.1897091,-0.0243362
88,-0.3586053,-0.41667262,"('low', 'eminent')",0.09134918,0.06375479,-0.1336281,-0.1764589,0.0428308
26,0.3581194,0.15139149,"('hardhearted', 'benevolent')",1.3540817,1.2593466,0.8561006,0.7053691,0.1507315
15,0.32230383,0.21589437,"('boring', 'funny')",0.5974335,0.5892394,0.4598687,0.4025669,0.0573018
30,-0.2946944,-0.24456118,"('intolerant', 'tolerant')",1.2440437,1.1819708,0.4746746,0.4687048,0.0059698
41,-0.2782744,-0.29191884,"('unforgiving', 'forgiving')",0.20926605,0.055296123,-0.0345042,-0.1183114,0.0838072
47,-0.2633342,-0.12051978,"('stupid', 'smart')",5.4013243,5.5028076,2.568995,2.691144,-0.122149
22,-0.24950074,-0.22001663,"('untrustworthy', 'trustworthy')",-0.6460458,-0.64148766,-0.4477733,-0.4307522,-0.0170211
9,-0.24240299,-0.39368698,"('unaffectionate', 'caring')",1.4487132,1.505255,0.6031551,0.555784,0.0473711
29,0.21589811,0.19927108,"('unfair', 'fair')",-0.23053017,-0.28361663,-0.007316,-0.0421728,0.0348568
53,-0.21294588,-0.46801418,"('uncreative', 'creative')",0.7965775,0.7134539,0.2918158,0.1227199,0.1690959
34,-0.16794254,-0.14407657,"('mean', 'honorable')",6.285021,6.298645,3.0585392,3.0772843,-0.0187451
8,-0.1413317,-0.27762607,"('unaffectionate', 'affectionate')",0.99451876,1.1049633,0.4265935,0.4136686,0.0129249
18,0.12525608,0.12340433,"('disagreeable', 'welcoming')",-0.15165234,-0.082448214,-0.0131981,0.0204781,-0.0336762
48,-0.1201746,-0.20529246,"('unintelligent', 'intelligent')",0.9863004,0.79490167,0.4330629,0.2948046,0.1382583
19,-0.10141815,-0.3435006,"('inhospitable', 'hospitable')",0.34657514,0.29280064,0.1225785,-0.02535,0.1479285
61,-0.08264209,-0.37513557,"('illogical', 'logical')",0.36618707,0.17267151,0.1417725,-0.101232,0.2430045
50,0.0713879,0.1436101,"('clumsy', 'skillful')",0.29436785,0.34661865,0.1828779,0.2451144,-0.0622365
17,-0.069049165,-0.2681781,"('nasty', 'nice')",-0.37660128,-0.40535703,-0.2228252,-0.3367676,0.1139424
79,-0.061508726,-0.23437656,"('wavering', 'unwavering')",0.08357818,0.13976692,0.0110347,-0.0473048,0.0583395
44,0.044639304,0.253276,"('prejudiced', 'unprejudiced')",-1.6702334,-1.6279719,-0.812797,-0.6873479,-0.1254491
4,-0.022685962,-0.07399622,"('disliked', 'liked')",-6.435655,-6.4199576,-3.2291706,-3.2469769,0.0178063
16,0.022589467,-0.013129488,"('unpopular', 'popular')",0.49909696,0.48178405,0.2608432,0.2343273,0.0265159
68,-0.0060396157,-0.08681059,"('dependent', 'independent')",0.042543467,-0.03278979,0.0182519,-0.0598002,0.0780521
67,0.0048835017,-0.08300487,"('doubtful', 'determined')",-0.71981215,-0.73043776,-0.3574643,-0.4067213,0.049257
