,andeavor_male,andeavor_female,tuple,average_male,average_female,male-female
64,-3.3145077,-3.1801126,"('shy', 'confident')",-3.3145077,-3.1801126,-0.1343951
57,-2.396074,-2.2492776,"('unimaginative', 'imaginative')",-2.3960741,-2.2492776,-0.1467965
4,-2.2741623,-1.7364112,"('disliked', 'liked')",-2.2741623,-1.7364112,-0.5377511
12,-1.8587141,-1.6824093,"('unsupportive', 'supportive')",-1.8587141,-1.6824093,-0.1763048
82,1.8276047,1.7014744,"('poor', 'rich')",1.8276047,1.7014744,0.1261303
5,-1.8271283,-1.5975529,"('distant', 'outgoing')",-1.8271283,-1.5975529,-0.2295754
1,-1.7262226,-1.4165548,"('unfriendly', 'friendly')",-1.7262226,-1.4165548,-0.3096678
86,-1.6820025,-1.7414356,"('uninfluential', 'influential')",-1.6820025,-1.7414356,0.0594331
0,-1.6567444,-1.9935626,"('unsociable', 'sociable')",-1.6567444,-1.9935626,0.3368182
77,-1.6031864,-1.5297228,"('unmotivated', 'motivated')",-1.6031864,-1.5297228,-0.0734636
42,-1.5300587,-1.4309464,"('unreliable', 'reliable')",-1.5300587,-1.4309464,-0.0991123
10,-1.3984766,-1.9324892,"('unsympathetic', 'sympathetic')",-1.3984766,-1.9324892,0.5340126
46,-1.3311206,-1.6660992,"('uncompetitive', 'competitive')",-1.3311206,-1.6660992,0.3349786
47,1.3206202,0.8046191,"('stupid', 'smart')",1.3206202,0.8046191,0.5160011
34,1.288385,1.1823283,"('mean', 'honorable')",1.288385,1.1823283,0.1060567
53,-1.260211,-0.816077,"('uncreative', 'creative')",-1.260211,-0.816077,-0.444134
6,-1.2061973,-0.8448103,"('distant', 'open')",-1.2061973,-0.8448103,-0.361387
71,-1.1088017,-0.821032,"('diffident', 'self-confident')",-1.1088017,-0.821032,-0.2877697
23,1.0381162,0.6829987,"('insincere', 'sincere')",1.0381162,0.6829987,0.3551175
19,-1.0299953,-0.6861114,"('inhospitable', 'hospitable')",-1.0299953,-0.6861114,-0.3438839
40,-1.0260704,-0.61947787,"('stingy', 'generous')",-1.0260704,-0.6194779,-0.4065925
43,-1.0243251,-1.330266,"('irresponsible', 'responsible')",-1.0243251,-1.330266,0.3059409
45,-0.9957476,-1.4147699,"('incompetent', 'competent')",-0.9957476,-1.4147699,0.4190223
73,-0.94332296,-0.49873567,"('helpless', 'self-reliant')",-0.943323,-0.4987357,-0.4445873
21,-0.90708077,-1.1929461,"('immoral', 'moral')",-0.9070808,-1.1929461,0.2858653
31,-0.8326727,-0.18379922,"('evil', 'good')",-0.8326727,-0.1837992,-0.6488735
58,-0.80412894,-0.64110446,"('undiscriminating', 'discriminating')",-0.8041289,-0.6411045,-0.1630244
74,-0.7807309,-0.6216111,"('undedicated', 'dedicated')",-0.7807309,-0.6216111,-0.1591198
44,-0.76697326,-0.99738276,"('prejudiced', 'unprejudiced')",-0.7669733,-0.9973828,0.2304095
38,-0.7656014,-0.9456914,"('untruthful', 'truthful')",-0.7656014,-0.9456914,0.18009
83,-0.7338874,-0.8973835,"('powerless', 'powerful')",-0.7338874,-0.8973835,0.1634961
63,-0.69625896,-0.7605623,"('unperceptive', 'insightful')",-0.696259,-0.7605623,0.0643033
13,-0.67737204,-1.3034587,"('impolite', 'polite')",-0.677372,-1.3034587,0.6260867
70,-0.6288775,-0.7825465,"('lethargic', 'energetic')",-0.6288775,-0.7825465,0.153669
61,-0.62850267,-0.7355092,"('illogical', 'logical')",-0.6285027,-0.7355092,0.1070065
22,-0.624711,-0.836927,"('untrustworthy', 'trustworthy')",-0.624711,-0.836927,0.212216
67,-0.6171875,-1.0044913,"('doubtful', 'determined')",-0.6171875,-1.0044913,0.3873038
50,0.61424,0.87402815,"('clumsy', 'skillful')",0.61424,0.8740281,-0.2597881
18,-0.6119099,-0.38804388,"('disagreeable', 'welcoming')",-0.6119099,-0.3880439,-0.223866
60,-0.5849961,-1.3122607,"('inefficient', 'efficient')",-0.5849961,-1.3122607,0.7272646
9,-0.57237864,-0.43837878,"('unaffectionate', 'caring')",-0.5723786,-0.4383788,-0.1339998
66,-0.5555487,-0.18128313,"('inactive', 'active')",-0.5555487,-0.1812831,-0.3742656
49,0.5516077,0.29061544,"('unable', 'able')",0.5516077,0.2906154,0.2609923
8,-0.50439143,-0.3495121,"('unaffectionate', 'affectionate')",-0.5043914,-0.3495121,-0.1548793
15,0.48484603,0.64980763,"('boring', 'funny')",0.484846,0.6498076,-0.1649616
68,-0.4710685,-0.68889934,"('dependent', 'independent')",-0.4710685,-0.6888993,0.2178308
55,-0.46662742,-1.0973401,"('incompetent', 'clever')",-0.4666274,-1.0973401,0.6307127
17,-0.45651925,-0.7810541,"('nasty', 'nice')",-0.4565192,-0.7810541,0.3245349
37,-0.43801963,-0.77063376,"('fake', 'genuine')",-0.4380196,-0.7706338,0.3326142
81,-0.4364625,-1.0692065,"('submissive', 'aggressive')",-0.4364625,-1.0692065,0.632744
11,-0.4061289,-0.90205103,"('unhelpful', 'helpful')",-0.4061289,-0.902051,0.4959221
78,-0.39672643,-0.0534423,"('nonresilient', 'resilient')",-0.3967264,-0.0534423,-0.3432841
87,-0.3956893,-0.30627722,"('unsuccessful', 'successful')",-0.3956893,-0.3062772,-0.0894121
85,-0.38767266,0.33850643,"('insignificant', 'prestigious')",-0.3876727,0.3385064,-0.7261791
54,-0.37982178,-0.3617416,"('incapable', 'capable')",-0.3798218,-0.3617416,-0.0180802
62,-0.37723848,-1.0642815,"('incompetent', 'brilliant')",-0.3772385,-1.0642815,0.687043
88,-0.37620932,-0.052548178,"('low', 'eminent')",-0.3762093,-0.0525482,-0.3236611
69,0.3720379,0.95311034,"('lazy', 'industrious')",0.3720379,0.9531103,-0.5810724
14,-0.35501346,-0.8932991,"('antisocial', 'social')",-0.3550135,-0.8932991,0.5382856
36,-0.34493452,0.30563945,"('hostile', 'amicable')",-0.3449345,0.3056394,-0.6505739
76,-0.32040924,-0.7465502,"('anxious', 'daring')",-0.3204092,-0.7465502,0.426141
25,0.31976098,0.75800824,"('egoistic', 'altruistic')",0.319761,0.7580082,-0.4382472
28,0.31499183,0.27073976,"('disloyal', 'loyal')",0.3149918,0.2707398,0.044252
26,0.30320573,0.6450453,"('hardhearted', 'benevolent')",0.3032057,0.6450453,-0.3418396
24,-0.27681658,-0.34111288,"('dishonest', 'honest')",-0.2768166,-0.3411129,0.0642963
16,0.2761606,0.5969944,"('unpopular', 'popular')",0.2761606,0.5969944,-0.3208338
65,0.27296528,0.22324787,"('insecure', 'secure')",0.2729653,0.2232479,0.0497174
29,-0.25564086,-0.3076299,"('unfair', 'fair')",-0.2556409,-0.3076299,0.051989
79,-0.249302,0.0443394,"('wavering', 'unwavering')",-0.249302,0.0443394,-0.2936414
80,-0.2416327,-0.6143968,"('dominated', 'dominating')",-0.2416327,-0.6143968,0.3727641
30,-0.24012615,-0.72891974,"('intolerant', 'tolerant')",-0.2401261,-0.7289197,0.4887936
51,0.20432001,0.2501299,"('uneducated', 'educated')",0.20432,0.2501299,-0.0458099
72,-0.19488467,-0.108644515,"('unambitious', 'ambitious')",-0.1948847,-0.1086445,-0.0862402
41,-0.178718,-0.16381119,"('unforgiving', 'forgiving')",-0.178718,-0.1638112,-0.0149068
7,-0.17704514,-0.06771058,"('insensitive', 'sensitive')",-0.1770451,-0.0677106,-0.1093345
3,-0.16863815,-0.18279532,"('repellent', 'pleasant')",-0.1686382,-0.1827953,0.0141571
39,-0.16393922,-0.44380933,"('exploitative', 'cooperative')",-0.1639392,-0.4438093,0.2798701
35,0.14016457,0.61906654,"('corrupt', 'incorrupt')",0.1401646,0.6190665,-0.4789019
48,0.13419966,-0.085159294,"('unintelligent', 'intelligent')",0.1341997,-0.0851593,0.219359
32,-0.12672684,-0.28708166,"('unkind', 'kind')",-0.1267268,-0.2870817,0.1603549
2,0.11092229,0.30636296,"('unlikable', 'likable')",0.1109223,0.306363,-0.1954407
27,-0.10188705,0.028174262,"('hardhearted', 'softhearted')",-0.101887,0.0281743,-0.1300613
56,-0.099377766,-0.5944272,"('impractical', 'practical')",-0.0993778,-0.5944272,0.4950494
52,-0.08366043,0.36147696,"('irrational', 'rational')",-0.0836604,0.361477,-0.4451374
75,-0.07870165,0.29955664,"('meek', 'impulsive')",-0.0787017,0.2995566,-0.3782583
84,0.06321093,0.065641075,"('inferior', 'superior')",0.0632109,0.0656411,-0.0024302
20,-0.05763346,-0.23375833,"('rough', 'thoughtful')",-0.0576335,-0.2337583,0.1761248
59,0.051035866,0.25657406,"('foolish', 'wise')",0.0510359,0.2565741,-0.2055382
33,-0.013649285,0.1368328,"('wrong', 'right')",-0.0136493,0.1368328,-0.1504821
