,jabil_male,jabil_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-1.7810926,-2.0148532,"('unfriendly', 'friendly')",1.1783093,1.2081162,-0.3013917,-0.4033685,0.1019768
6,-1.4921112,-1.1861364,"('distant', 'open')",-0.14956169,0.009327477,-0.8208364,-0.5884044,-0.232432
66,-1.3465326,-1.0044115,"('inactive', 'active')",0.3045926,0.5483831,-0.52097,-0.2280142,-0.2929558
86,-1.2553214,-1.6715516,"('uninfluential', 'influential')",-0.31856376,-0.20974337,-0.7869426,-0.9406475,0.1537049
53,-1.2138072,-1.6427267,"('uncreative', 'creative')",0.5481998,0.5934175,-0.3328037,-0.5246546,0.1918509
19,-1.2114809,-1.0909514,"('inhospitable', 'hospitable')",-0.48335117,-0.23276523,-0.847416,-0.6618583,-0.1855577
5,-1.1868527,-1.0312629,"('distant', 'outgoing')",-0.5977103,-0.53592455,-0.8922815,-0.7835937,-0.1086878
9,-1.1627115,-1.592179,"('unaffectionate', 'caring')",0.80250424,0.9334974,-0.1801036,-0.3293408,0.1492372
42,1.0943979,0.8447499,"('unreliable', 'reliable')",-2.6071596,-2.561457,-0.7563809,-0.8583535,0.1019726
79,-1.0719976,-0.63242024,"('wavering', 'unwavering')",-0.3935831,-0.10898431,-0.7327904,-0.3707023,-0.3620881
38,-1.0263201,-0.8109048,"('untruthful', 'truthful')",-0.5170222,-0.39612466,-0.7716712,-0.6035147,-0.1681565
59,1.0010763,1.0449644,"('foolish', 'wise')",0.472017,0.44535613,0.7365466,0.7451603,-0.0086137
71,-0.9797069,-1.1324368,"('diffident', 'self-confident')",0.28423318,0.3670074,-0.3477368,-0.3827147,0.0349779
62,0.9218417,0.7382819,"('incompetent', 'brilliant')",0.5712231,0.781816,0.7465324,0.760049,-0.0135166
50,0.91363716,0.51134545,"('clumsy', 'skillful')",0.5071922,0.42114586,0.7104146,0.4662457,0.2441689
82,-0.911141,-0.5480463,"('poor', 'rich')",5.926719,6.560887,2.5077891,3.0064204,-0.4986313
30,0.84791857,0.5833509,"('intolerant', 'tolerant')",1.5795703,1.5324458,1.2137444,1.0578983,0.1558461
34,-0.8322078,-0.74971867,"('mean', 'honorable')",5.606068,5.887819,2.3869302,2.5690501,-0.1821199
84,0.805327,0.33471078,"('inferior', 'superior')",1.2416372,0.93251413,1.0234821,0.6336125,0.3898696
75,-0.7991138,-0.10960014,"('meek', 'impulsive')",-0.67446965,-0.49460715,-0.7367917,-0.3021036,-0.4346881
36,-0.79191464,-1.0923786,"('hostile', 'amicable')",-0.08211694,-0.09532414,-0.4370158,-0.5938514,0.1568356
10,-0.79002637,-0.9746364,"('unsympathetic', 'sympathetic')",-0.23357391,0.014412966,-0.5118002,-0.4801117,-0.0316885
73,0.78531414,0.5997403,"('helpless', 'self-reliant')",-2.5875525,-2.8512886,-0.9011192,-1.1257741,0.2246549
77,-0.75753486,-1.2177519,"('unmotivated', 'motivated')",-1.0444615,-1.1108809,-0.9009982,-1.1643164,0.2633182
13,-0.73700905,-0.7246071,"('impolite', 'polite')",-0.45524362,-0.36136883,-0.5961263,-0.5429879,-0.0531384
72,-0.7293394,-0.7170727,"('unambitious', 'ambitious')",-0.8888305,-0.49776292,-0.809085,-0.6074178,-0.2016672
8,-0.68363076,-1.173586,"('unaffectionate', 'affectionate')",0.65583634,0.6971625,-0.0138972,-0.2382118,0.2243146
18,0.67576206,0.53467727,"('disagreeable', 'welcoming')",-0.3058953,-0.26503223,0.1849334,0.1348225,0.0501109
23,-0.67347574,-1.0162009,"('insincere', 'sincere')",5.3959956,5.810921,2.3612599,2.3973601,-0.0361002
55,0.64880055,0.33255255,"('incompetent', 'clever')",0.43081358,0.41612884,0.5398071,0.3743407,0.1654664
61,-0.64502734,-0.529596,"('illogical', 'logical')",-0.018701248,0.17397279,-0.3318643,-0.1778116,-0.1540527
88,-0.6214091,-0.38949376,"('low', 'eminent')",0.40360236,0.48472306,-0.1089034,0.0476146,-0.156518
4,0.60585046,0.4989459,"('disliked', 'liked')",-6.3223457,-6.799099,-2.8582478,-3.1500766,0.2918288
0,-0.59600717,-0.79930866,"('unsociable', 'sociable')",-0.24740747,-0.27763927,-0.4217073,-0.538474,0.1167667
54,-0.58100206,-0.26052517,"('incapable', 'capable')",1.1356207,1.4393164,0.2773093,0.5893956,-0.3120863
49,0.57517326,0.30387494,"('unable', 'able')",0.19355258,0.30199984,0.3843629,0.3029374,0.0814255
58,0.5716802,0.78378487,"('undiscriminating', 'discriminating')",0.08059581,0.14086396,0.326138,0.4623244,-0.1361864
35,-0.55489004,-0.18727235,"('corrupt', 'incorrupt')",-0.43192437,-0.49322236,-0.4934072,-0.3402474,-0.1531598
32,-0.5426274,-0.487377,"('unkind', 'kind')",0.6022915,0.7621623,0.0298321,0.1373927,-0.1075606
26,-0.52005494,-0.6035383,"('hardhearted', 'benevolent')",1.5854508,1.4622837,0.5326979,0.4293727,0.1033252
76,0.51618636,0.91050506,"('anxious', 'daring')",0.686895,0.91679627,0.6015407,0.9136506,-0.3121099
2,0.5149703,0.90455747,"('unlikable', 'likable')",0.2441591,0.50631905,0.3795647,0.7054383,-0.3258736
51,-0.4843302,-0.5243912,"('uneducated', 'educated')",0.061149165,0.24377626,-0.2115905,-0.1403075,-0.071283
31,-0.443006,-0.79161483,"('evil', 'good')",-1.1322889,-1.2428143,-0.7876475,-1.0172145,0.229567
14,0.44022924,0.16141629,"('antisocial', 'social')",-0.21272194,-0.30188707,0.1137536,-0.0702354,0.183989
39,0.43024746,-0.13325074,"('exploitative', 'cooperative')",0.11546606,0.008187478,0.2728568,-0.0625316,0.3353884
43,-0.42797223,-0.087134,"('irresponsible', 'responsible')",0.6066689,0.93603754,0.0893483,0.4244518,-0.3351035
