,directv_male,directv_female,tuple,average_male,average_female,male-female
23,3.0000927,3.2578833,"('insincere', 'sincere')",3.0000927,3.2578833,-0.2577906
4,-2.9646566,-3.03927,"('disliked', 'liked')",-2.9646566,-3.0392699,0.0746133
64,-2.6703432,-2.471397,"('shy', 'confident')",-2.6703432,-2.4713969,-0.1989463
82,2.6234279,2.8042467,"('poor', 'rich')",2.6234279,2.8042467,-0.1808188
47,2.4289012,2.5802906,"('stupid', 'smart')",2.4289012,2.5802906,-0.1513894
34,1.9735768,2.0514977,"('mean', 'honorable')",1.9735768,2.0514977,-0.0779209
57,-1.7619195,-1.33388,"('unimaginative', 'imaginative')",-1.7619195,-1.3338799,-0.4280396
56,1.370679,2.099098,"('impractical', 'practical')",1.370679,2.099098,-0.728419
31,-1.3234401,-1.7971116,"('evil', 'good')",-1.3234401,-1.7971116,0.4736715
62,1.2974229,1.9347723,"('incompetent', 'brilliant')",1.2974229,1.9347723,-0.6373494
12,-1.2651801,-0.86042804,"('unsupportive', 'supportive')",-1.2651801,-0.860428,-0.4047521
42,-1.1970308,-0.77386826,"('unreliable', 'reliable')",-1.1970308,-0.7738683,-0.4231625
73,-1.1611588,-1.0088816,"('helpless', 'self-reliant')",-1.1611588,-1.0088816,-0.1522772
2,1.0699277,1.0338428,"('unlikable', 'likable')",1.0699277,1.0338428,0.0360849
40,-1.0677801,-1.2708195,"('stingy', 'generous')",-1.0677801,-1.2708195,0.2030394
36,-0.99286765,-1.8441231,"('hostile', 'amicable')",-0.9928676,-1.8441231,0.8512555
15,0.9548329,0.76219887,"('boring', 'funny')",0.9548329,0.7621989,0.192634
24,0.9513849,1.1045753,"('dishonest', 'honest')",0.9513849,1.1045753,-0.1531904
22,-0.9484537,-0.45359978,"('untrustworthy', 'trustworthy')",-0.9484537,-0.4535998,-0.4948539
61,0.91345674,0.7768667,"('illogical', 'logical')",0.9134567,0.7768667,0.13659
11,0.9034993,1.5112194,"('unhelpful', 'helpful')",0.9034993,1.5112194,-0.6077201
17,-0.879409,-1.1007247,"('nasty', 'nice')",-0.879409,-1.1007247,0.2213157
67,0.8716328,0.858041,"('doubtful', 'determined')",0.8716328,0.858041,0.0135918
60,0.86534417,1.8111135,"('inefficient', 'efficient')",0.8653442,1.8111135,-0.9457693
78,-0.8491131,-0.73138255,"('nonresilient', 'resilient')",-0.8491131,-0.7313825,-0.1177306
84,0.75147086,0.6651549,"('inferior', 'superior')",0.7514709,0.6651549,0.086316
30,0.74657434,1.3157679,"('intolerant', 'tolerant')",0.7465743,1.3157679,-0.5691936
44,-0.73104376,-0.6313118,"('prejudiced', 'unprejudiced')",-0.7310438,-0.6313118,-0.099732
28,0.68260926,0.5315149,"('disloyal', 'loyal')",0.6826093,0.5315149,0.1510944
66,0.6583028,-0.28002828,"('inactive', 'active')",0.6583028,-0.2800283,0.9383311
