,navient_male,navient_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-2.130005,-1.8238766,"('uninfluential', 'influential')",-0.30886412,-0.20630768,-1.2194345,-1.0150921,-0.2043424
1,-2.0482736,-2.061903,"('unfriendly', 'friendly')",1.5240228,0.8644011,-0.2621254,-0.5987509,0.3366255
53,-1.9467888,-1.6252903,"('uncreative', 'creative')",0.40082806,0.11438265,-0.7729803,-0.7554538,-0.0175265
9,-1.589023,-1.5699015,"('unaffectionate', 'caring')",1.5493532,0.94092673,-0.0198349,-0.3144874,0.2946525
6,-1.5644593,-1.2071929,"('distant', 'open')",-0.21661738,-0.9126829,-0.8905383,-1.059938,0.1693997
10,-1.5406841,-1.5091233,"('unsympathetic', 'sympathetic')",-0.31597853,-0.12847298,-0.9283313,-0.8187982,-0.1095331
8,-1.5352197,-1.3804044,"('unaffectionate', 'affectionate')",1.0006528,0.46330345,-0.2672834,-0.4585505,0.1912671
0,-1.3509082,-1.2880976,"('unsociable', 'sociable')",-0.1573068,0.07864046,-0.7541075,-0.6047286,-0.1493789
57,-1.2725729,-1.1262246,"('unimaginative', 'imaginative')",-3.2297752,-2.9101791,-2.251174,-2.0182018,-0.2329722
36,-1.1942759,-0.7762097,"('hostile', 'amicable')",-0.18666908,-0.7393254,-0.6904725,-0.7577676,0.0672951
46,-1.1743388,-0.8350041,"('uncompetitive', 'competitive')",-1.0011408,-0.44519088,-1.0877398,-0.6400975,-0.4476423
66,-1.1735106,-1.4742811,"('inactive', 'active')",-0.18497683,-0.527985,-0.6792437,-1.001133,0.3218893
61,-1.1609426,-0.8406875,"('illogical', 'logical')",0.39114213,0.623945,-0.3849002,-0.1083713,-0.2765289
77,-1.0223068,-1.1214732,"('unmotivated', 'motivated')",-1.1539325,-0.94745284,-1.0881196,-1.034463,-0.0536566
54,-1.0054129,-0.7968967,"('incapable', 'capable')",1.0717742,0.7268029,0.0331807,-0.0350469,0.0682276
5,-0.99352145,-0.64300936,"('distant', 'outgoing')",-0.45920554,-0.9380083,-0.7263635,-0.7905089,0.0641454
28,-0.9495836,-1.3554667,"('disloyal', 'loyal')",1.2639247,0.74800277,0.1571706,-0.303732,0.4609026
24,-0.94323784,-1.2328532,"('dishonest', 'honest')",0.5561082,0.20012318,-0.1935648,-0.516365,0.3228002
13,-0.9045351,-0.6997661,"('impolite', 'polite')",-0.7431929,-0.32483622,-0.823864,-0.5123011,-0.3115629
19,-0.85850924,-0.60620683,"('inhospitable', 'hospitable')",-0.3881023,-0.7470372,-0.6233058,-0.676622,0.0533162
73,0.83870757,0.65360516,"('helpless', 'self-reliant')",-2.8722084,-3.1162388,-1.0167503,-1.2313168,0.2145665
50,0.82564235,1.3115413,"('clumsy', 'skillful')",0.29307705,0.131848,0.5593597,0.7216946,-0.1623349
85,-0.8181908,-0.5128499,"('insignificant', 'prestigious')",-0.41280797,-0.7801217,-0.6154994,-0.6464858,0.0309864
38,-0.8133064,-0.7345985,"('untruthful', 'truthful')",-0.62382346,-0.7311864,-0.7185649,-0.7328925,0.0143276
79,-0.7679925,-0.37729096,"('wavering', 'unwavering')",-0.39752826,-0.9331435,-0.5827604,-0.6552172,0.0724568
72,-0.764801,-0.6740856,"('unambitious', 'ambitious')",-0.08546922,-0.304984,-0.4251351,-0.4895348,0.0643997
44,0.756057,0.70704234,"('prejudiced', 'unprejudiced')",-1.7272923,-1.4926888,-0.4856176,-0.3928232,-0.0927944
18,-0.7518998,-0.083396085,"('disagreeable', 'welcoming')",-0.2932247,-0.3287035,-0.5225623,-0.2060498,-0.3165125
43,-0.7376504,-0.15858704,"('irresponsible', 'responsible')",0.32965353,0.59827214,-0.2039984,0.2198426,-0.423841
63,-0.6912975,-0.20926063,"('unperceptive', 'insightful')",0.67892057,0.8855446,-0.0061885,0.338142,-0.3443305
69,0.6900318,0.7015084,"('lazy', 'industrious')",-1.1666214,-1.183113,-0.2382948,-0.2408023,0.0025075
26,-0.6767829,-0.5489042,"('hardhearted', 'benevolent')",1.3692428,1.4650432,0.3462299,0.4580695,-0.1118396
41,-0.6613039,0.010692301,"('unforgiving', 'forgiving')",-0.23099793,-0.07620871,-0.4461509,-0.0327582,-0.4133927
84,0.6426991,0.549171,"('inferior', 'superior')",0.87795234,0.7808008,0.7603257,0.6649859,0.0953398
