,host_male,host_female,tuple,hotels_male,hotels_female,&_male,&_female,resorts_male,resorts_female,inc_male,inc_female,average_male,average_female,male-female
31,-4.67779,-4.7769146,"('evil', 'good')",-0.96550286,-1.1252458,-0.6367552,-0.61651635,-0.2765446,-0.51962054,-0.6172551,-0.9338084,-1.4347696,-1.5944211,0.1596515
55,4.5159984,4.4375415,"('incompetent', 'clever')",0.5948547,0.54366595,0.0027019456,-0.2014448,-0.66450477,-0.63607633,-0.0874138,-0.2629512,0.8723272,0.776147,0.0961802
36,-4.429336,-4.519906,"('hostile', 'amicable')",-0.8098732,-1.0182675,-0.1789074,-0.2551427,0.5821708,0.41128397,0.39185658,0.16469339,-0.8888178,-1.0434678,0.15465
10,3.9234974,3.8759375,"('unsympathetic', 'sympathetic')",0.19340628,0.16817087,-1.3514457,-1.5923163,-1.1216867,-1.0425488,-0.56170106,-0.61025864,0.2164141,0.159797,0.0566171
13,3.8835905,3.7825963,"('impolite', 'polite')",0.96087164,0.9331981,0.27211297,0.18879095,0.33972636,0.43050653,-0.15314814,-0.008197144,1.0606306,1.065379,-0.0047484
5,-3.8198197,-3.7538934,"('distant', 'outgoing')",-0.013073118,-0.04399886,0.29793668,0.33193463,1.5239984,1.4536132,0.21058935,0.10450733,-0.3600737,-0.3815674,0.0214937
35,-3.8047633,-3.704323,"('corrupt', 'incorrupt')",-0.86950076,-0.90646076,0.19701739,0.34304112,0.14624226,0.060523294,0.11619833,0.0035809828,-0.8429612,-0.8407276,-0.0022336
85,-3.755416,-3.8004906,"('insignificant', 'prestigious')",0.8925726,0.6170372,1.1691674,1.0824739,2.8736966,2.6191313,1.0650961,0.7971341,0.4490233,0.2630571,0.1859662
6,-3.7105238,-3.7770948,"('distant', 'open')",-0.1723381,-0.2922664,0.37777668,0.3404898,1.2324452,1.0320704,0.81265634,0.68953514,-0.2919967,-0.4014532,0.1094565
80,3.5427804,3.6053603,"('dominated', 'dominating')",-0.25543094,-0.1818115,-0.0018992573,-0.03896761,-0.616026,-0.42879725,-1.1933452,-1.1508954,0.2952158,0.3609777,-0.0657619
60,3.5129168,3.5104222,"('inefficient', 'efficient')",1.3208603,1.3171945,-0.031189248,-0.24154091,-0.3990603,-0.29543126,-0.18877287,-0.08388467,0.8429509,0.841352,0.0015989
4,-3.4972084,-3.4015489,"('disliked', 'liked')",0.055216536,0.11653881,0.045096517,0.19744459,0.66028816,0.6262714,-6.034152,-6.215006,-1.7541519,-1.73526,-0.0188919
