,aes_male,aes_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-2.3018014,-2.1087646,"('unfriendly', 'friendly')",0.9437238,1.1006404,-0.6790388,-0.5040621,-0.1749767
6,-1.9143224,-1.8559605,"('distant', 'open')",-0.9413829,-0.7404353,-1.4278526,-1.2981979,-0.1296547
31,-1.9103035,-1.282188,"('evil', 'good')",-1.3248384,-1.038788,-1.6175709,-1.160488,-0.4570829
60,1.8580468,1.3844929,"('inefficient', 'efficient')",0.50281864,0.3531748,1.1804327,0.8688338,0.3115989
5,-1.7078474,-1.7939206,"('distant', 'outgoing')",-0.7668253,-0.56691945,-1.2373364,-1.18042,-0.0569164
36,-1.6639016,-1.3622409,"('hostile', 'amicable')",-0.4524559,-0.4561844,-1.0581788,-0.9092126,-0.1489662
53,-1.637625,-1.3986192,"('uncreative', 'creative')",0.28399533,0.43271962,-0.6768148,-0.4829498,-0.193865
66,-1.6224113,-1.6523889,"('inactive', 'active')",-0.053309664,0.034148462,-0.8378605,-0.8091202,-0.0287403
8,-1.6119733,-1.4656111,"('unaffectionate', 'affectionate')",0.2639555,0.36620748,-0.6740089,-0.5497018,-0.1243071
79,-1.51323,-1.5238343,"('wavering', 'unwavering')",-0.5065348,-0.58309263,-1.0098825,-1.0534635,0.043581
81,1.492992,0.97990054,"('submissive', 'aggressive')",-0.009686312,-0.39148468,0.7416528,0.2942079,0.4474449
86,-1.2902564,-1.3150313,"('uninfluential', 'influential')",-0.60637355,-0.4896416,-0.948315,-0.9023365,-0.0459785
57,-1.2590617,-1.1852845,"('unimaginative', 'imaginative')",-3.4262736,-3.3779612,-2.3426676,-2.2816229,-0.0610447
85,-1.2093333,-0.76649237,"('insignificant', 'prestigious')",-0.6780243,-0.42984644,-0.9436788,-0.5981694,-0.3455094
9,-1.1950184,-1.1418859,"('unaffectionate', 'caring')",1.0627625,1.1960452,-0.066128,0.0270796,-0.0932076
29,-1.1742179,-1.1997225,"('unfair', 'fair')",-0.8767639,-0.7093515,-1.0254909,-0.954537,-0.0709539
19,-1.1732816,-1.2662392,"('inhospitable', 'hospitable')",-0.53872305,-0.5103527,-0.8560023,-0.8882959,0.0322936
62,1.1361145,0.74816185,"('incompetent', 'brilliant')",1.1957608,1.1132352,1.1659377,0.9306985,0.2352392
71,-1.0990108,-1.0189048,"('diffident', 'self-confident')",0.20096181,0.37243682,-0.4490245,-0.323234,-0.1257905
65,1.0903952,0.67657125,"('insecure', 'secure')",-0.00767684,-0.2644469,0.5413592,0.2060622,0.335297
18,-1.0758436,-1.1103679,"('disagreeable', 'welcoming')",-0.7026844,-0.5693496,-0.889264,-0.8398588,-0.0494052
56,1.0349771,0.33683032,"('impractical', 'practical')",-0.1409227,-0.45237014,0.4470272,-0.0577699,0.5047971
28,-1.0051483,-0.7984254,"('disloyal', 'loyal')",1.0604758,1.1223615,0.0276638,0.1619681,-0.1343043
0,-0.93528914,-1.1510072,"('unsociable', 'sociable')",-0.42849743,-0.36543632,-0.6818933,-0.7582217,0.0763284
4,-0.9237342,-0.60188687,"('disliked', 'liked')",-7.203567,-7.0336523,-4.0636506,-3.8177695,-0.2458811
52,-0.9141722,-0.7639464,"('irrational', 'rational')",-0.29625502,-0.099837765,-0.6052136,-0.4318921,-0.1733215
76,0.9122827,0.44020292,"('anxious', 'daring')",0.1508292,-0.16806759,0.531556,0.1360677,0.3954883
30,0.8522377,0.6494985,"('intolerant', 'tolerant')",0.942424,0.84828496,0.8973309,0.7488917,0.1484392
67,0.83880657,0.3580822,"('doubtful', 'determined')",-0.33861744,-0.5602216,0.2500946,-0.1010697,0.3511643
40,-0.8201995,-0.172511,"('stingy', 'generous')",-2.5007827,-2.0706663,-1.6604911,-1.1215887,-0.5389024
84,0.74433386,0.680659,"('inferior', 'superior')",0.9146901,1.0997373,0.829512,0.8901981,-0.0606861
83,-0.7319885,-0.5221139,"('powerless', 'powerful')",-0.9870989,-0.8764242,-0.8595437,-0.6992691,-0.1602746
22,-0.70522994,-0.971484,"('untrustworthy', 'trustworthy')",-1.1954172,-0.9708318,-0.9503236,-0.9711579,0.0208343
2,0.69229436,0.106301874,"('unlikable', 'likable')",0.59480166,0.36847034,0.643548,0.2373861,0.4061619
35,-0.68620545,-0.29687566,"('corrupt', 'incorrupt')",-0.8115853,-0.6688768,-0.7488954,-0.4828762,-0.2660192
27,-0.6787985,-0.46216404,"('hardhearted', 'softhearted')",0.65308017,0.8626075,-0.0128592,0.2002217,-0.2130809
39,0.6741306,0.8684296,"('exploitative', 'cooperative')",0.043407783,0.23839279,0.3587692,0.5534112,-0.194642
10,-0.6677893,-0.86812085,"('unsympathetic', 'sympathetic')",-0.38250193,-0.39430338,-0.5251456,-0.6312121,0.1060665
21,0.66065437,0.12819456,"('immoral', 'moral')",-0.04918568,-0.4800871,0.3057343,-0.1759463,0.4816806
26,-0.6131548,-0.32206467,"('hardhearted', 'benevolent')",1.0817811,1.3617133,0.2343132,0.5198243,-0.2855111
80,0.6122402,0.5900831,"('dominated', 'dominating')",-0.80137193,-0.70147073,-0.0945659,-0.0556938,-0.0388721
38,-0.61074513,-0.9882155,"('untruthful', 'truthful')",0.38013795,0.20768033,-0.1153036,-0.3902676,0.274964
20,0.610028,0.8237408,"('rough', 'thoughtful')",0.74648035,0.9917044,0.6782542,0.9077226,-0.2294684
25,-0.5803401,-0.4364378,"('egoistic', 'altruistic')",0.68755364,0.73092186,0.0536068,0.147242,-0.0936352
82,0.55224323,-0.17699474,"('poor', 'rich')",7.268341,6.763428,3.9102921,3.2932167,0.6170754
73,0.5493972,0.6292614,"('helpless', 'self-reliant')",-3.336393,-3.300495,-1.3934979,-1.3356168,-0.0578811
58,-0.52343416,-0.24292862,"('undiscriminating', 'discriminating')",-0.13790028,0.16702493,-0.3306672,-0.0379518,-0.2927154
75,-0.50105244,-0.5884868,"('meek', 'impulsive')",-0.3854734,-0.5208078,-0.4432629,-0.5546473,0.1113844
16,-0.49820706,-0.5488723,"('unpopular', 'popular')",0.51609236,0.46085024,0.0089426,-0.044011,0.0529536
49,0.47860396,0.22248664,"('unable', 'able')",0.17627251,0.14351943,0.3274382,0.183003,0.1444352
41,-0.47714734,-0.3519875,"('unforgiving', 'forgiving')",-0.38693607,-0.19201495,-0.4320417,-0.2720012,-0.1600405
17,-0.47011143,-0.3358405,"('nasty', 'nice')",-0.8520124,-0.7135329,-0.6610619,-0.5246867,-0.1363752
54,-0.44248745,-0.99098843,"('incapable', 'capable')",1.2090734,1.0136539,0.383293,0.0113327,0.3719603
11,0.42094472,-0.004863482,"('unhelpful', 'helpful')",2.2482448,2.1283524,1.3345947,1.0617445,0.2728502
