,gamestop_male,gamestop_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-1.8527923,-1.8062394,"('unsympathetic', 'sympathetic')",-0.3275352,-0.46113706,-1.0901637,-1.1336882,0.0435245
68,-1.2508285,-1.0143173,"('dependent', 'independent')",-1.0045948,-0.9354017,-1.1277117,-0.9748595,-0.1528522
70,-1.2431601,-1.1926057,"('lethargic', 'energetic')",0.37101057,0.21544102,-0.4360748,-0.4885824,0.0525076
42,-1.2264432,-1.1951958,"('unreliable', 'reliable')",-3.50921,-3.5220075,-2.3678267,-2.3586016,-0.0092251
51,-1.1971501,-1.1979429,"('uneducated', 'educated')",0.08089562,0.05815699,-0.5581272,-0.5698929,0.0117657
66,-1.1897173,-1.5726196,"('inactive', 'active')",0.4667571,0.39993313,-0.3614801,-0.5863432,0.2248631
81,-1.0945016,-0.83813226,"('submissive', 'aggressive')",-0.88814676,-0.8575528,-0.9913242,-0.8478426,-0.1434816
15,1.0858049,0.85711426,"('boring', 'funny')",-0.13621719,-0.22715424,0.4747939,0.31498,0.1598139
19,-1.0455763,-1.079069,"('inhospitable', 'hospitable')",-0.6525736,-0.59875417,-0.849075,-0.8389116,-0.0101634
3,-1.0283021,-0.8565434,"('repellent', 'pleasant')",0.84420735,0.7754539,-0.0920474,-0.0405447,-0.0515027
13,-1.0078082,-1.0248073,"('impolite', 'polite')",-0.9032684,-1.0128654,-0.9555383,-1.0188364,0.0632981
18,-0.97600615,-1.025546,"('disagreeable', 'welcoming')",-0.6602622,-0.6331311,-0.8181342,-0.8293386,0.0112044
72,-0.9681595,-0.86237866,"('unambitious', 'ambitious')",-0.30822507,-0.2593672,-0.6381923,-0.5608729,-0.0773194
46,-0.9556262,-0.83236647,"('uncompetitive', 'competitive')",-0.807327,-0.9806439,-0.8814766,-0.9065052,0.0250286
71,0.94508964,0.83072317,"('diffident', 'self-confident')",0.3952809,0.3326756,0.6701853,0.5816994,0.0884859
43,-0.94373256,-0.72888005,"('irresponsible', 'responsible')",0.38418922,0.30119753,-0.2797717,-0.2138413,-0.0659304
22,-0.88521034,-0.9923171,"('untrustworthy', 'trustworthy')",-0.873925,-1.1304749,-0.8795676,-1.061396,0.1818284
21,-0.85828495,-0.69249886,"('immoral', 'moral')",-0.8027267,-0.8068473,-0.8305058,-0.7496731,-0.0808327
7,-0.7729894,-0.6968305,"('insensitive', 'sensitive')",0.45512083,0.39912117,-0.1589343,-0.1488547,-0.0100796
82,-0.73473287,-0.562565,"('poor', 'rich')",6.939568,6.9328723,3.1024175,3.1851537,-0.0827362
65,-0.7287098,-0.5438052,"('insecure', 'secure')",-0.12189734,-0.14740132,-0.4253036,-0.3456033,-0.0797003
