,tenet_male,tenet_female,tuple,healthcare_male,healthcare_female,corp_male,corp_female,average_male,average_female,male-female
1,-2.830618,-2.8580103,"('unfriendly', 'friendly')",0.74672526,0.7787304,1.1925869,1.3487556,-0.2971019,-0.2435081,-0.0535938
0,-2.0767555,-1.5215261,"('unsociable', 'sociable')",0.0308387,0.33544838,-0.3978736,-0.18951763,-0.8145968,-0.4585318,-0.356065
86,-1.8447338,-1.5170736,"('uninfluential', 'influential')",-0.10415502,0.13207863,-0.3805537,-0.40669972,-0.7764808,-0.5972315,-0.1792493
57,-1.6863166,-1.449128,"('unimaginative', 'imaginative')",-0.454214,-0.4320953,-3.1294909,-2.9541783,-1.7566738,-1.6118005,-0.1448733
58,-1.5549775,-1.747727,"('undiscriminating', 'discriminating')",-0.95380986,-0.80138373,-0.22692719,-0.27117556,-0.9119049,-0.9400955,0.0281906
45,-1.5470673,-1.450075,"('incompetent', 'competent')",0.029018112,0.08208754,-0.0155812185,-0.016453207,-0.5112101,-0.4614802,-0.0497299
26,-1.4253911,-1.0579778,"('hardhearted', 'benevolent')",1.3834281,1.5445027,1.2321116,1.6932929,0.3967162,0.7266059,-0.3298897
8,-1.3817825,-1.3236969,"('unaffectionate', 'affectionate')",0.19134238,0.29859054,0.5332638,0.38829842,-0.2190588,-0.2122693,-0.0067895
31,-1.3255874,-1.4320654,"('evil', 'good')",-0.50348896,-0.49538973,-1.2974155,-0.9732083,-1.0421639,-0.9668878,-0.0752761
53,-1.3144509,-1.2340442,"('uncreative', 'creative')",-0.04929307,0.09495019,0.38167083,0.39452487,-0.3273577,-0.2481897,-0.079168
61,-1.2164044,-0.80346245,"('illogical', 'logical')",-0.02881983,0.23218876,0.59576035,0.69697434,-0.216488,0.0419002,-0.2583882
44,1.118438,1.015663,"('prejudiced', 'unprejudiced')",-0.5543655,-0.7955399,-1.1727953,-1.3182628,-0.2029076,-0.3660466,0.163139
24,-1.1082621,-0.7289128,"('dishonest', 'honest')",-0.18303645,0.12822941,0.5589733,0.57723284,-0.2441084,-0.0078168,-0.2362916
48,-1.041349,-1.0520566,"('unintelligent', 'intelligent')",0.54778725,0.3951543,0.63860035,0.4158808,0.0483462,-0.0803405,0.1286867
9,-1.0002159,-1.0249577,"('unaffectionate', 'caring')",1.4627523,1.4263331,1.4338804,1.0160675,0.632139,0.472481,0.159658
16,-0.97878474,-0.9417158,"('unpopular', 'popular')",0.0498856,0.04399179,0.015335895,0.19114463,-0.3045211,-0.2355264,-0.0689947
36,-0.94540644,-0.90615624,"('hostile', 'amicable')",-0.67673105,-0.55483073,-0.4177493,-0.07385665,-0.6799623,-0.5116146,-0.1683477
10,-0.93677175,-0.59699976,"('unsympathetic', 'sympathetic')",-0.72795033,-0.4914274,-0.32296807,-0.4331702,-0.6625634,-0.5071991,-0.1553643
23,-0.9040928,-0.7776152,"('insincere', 'sincere')",0.4689301,0.7371942,5.653888,5.219965,1.7395752,1.7265147,0.0130605
73,0.8861265,0.57734257,"('helpless', 'self-reliant')",0.6505682,0.59296304,-3.1194093,-3.281794,-0.5275715,-0.7038294,0.1762579
28,-0.8650187,-0.59113246,"('disloyal', 'loyal')",-0.26890534,-0.002356805,0.99335253,0.9701308,-0.0468572,0.1255472,-0.1724044
17,-0.84456784,-0.42657903,"('nasty', 'nice')",-0.66546637,-0.5234264,-0.8507282,-0.56464225,-0.7869208,-0.5048826,-0.2820382
38,-0.8298892,-0.9309594,"('untruthful', 'truthful')",0.4849743,0.3377248,-0.12986046,-0.15919407,-0.1582584,-0.2508096,0.0925512
30,-0.82769704,-0.36481133,"('intolerant', 'tolerant')",0.38933852,0.6022193,0.5299866,0.86808276,0.0305427,0.3684969,-0.3379542
19,-0.826073,-0.8175909,"('inhospitable', 'hospitable')",1.0778801,1.2317936,-0.29401863,-0.14985041,-0.0140705,0.0881174,-0.1021879
52,-0.8106278,-0.5239452,"('irrational', 'rational')",-0.16231246,-0.010025054,-0.2842294,0.015838692,-0.4190566,-0.1727105,-0.2463461
41,-0.79838884,-0.45724177,"('unforgiving', 'forgiving')",0.65482813,0.7355603,-0.102639705,0.1861164,-0.0820668,0.1548116,-0.2368784
88,-0.7949709,-0.14699064,"('low', 'eminent')",-0.09319594,0.19905806,-0.37701294,-0.098399684,-0.4217266,-0.0154441,-0.4062825
51,-0.78567123,-0.678717,"('uneducated', 'educated')",0.4615111,0.544333,0.112964556,0.16127829,-0.0703985,0.0089648,-0.0793633
76,0.7739465,0.96137017,"('anxious', 'daring')",-0.5131353,-0.29700372,-0.15087914,-0.25693217,0.036644,0.1358114,-0.0991674
5,-0.74691004,-0.9730068,"('distant', 'outgoing')",1.1097883,1.1066065,-0.2577823,-0.23533015,0.035032,-0.0339102,0.0689422
42,0.71473175,0.7211526,"('unreliable', 'reliable')",1.3073748,1.4555222,-2.2876751,-2.1943831,-0.0885228,-0.0059028,-0.08262
75,0.6836041,0.39446095,"('meek', 'impulsive')",-0.36958832,-0.6253404,-0.8313306,-0.9669501,-0.1724383,-0.3992765,0.2268382
82,-0.67471296,-0.6359633,"('poor', 'rich')",0.018968482,0.10102153,6.433778,6.108379,1.9260111,1.8578124,0.0681987
37,0.6494457,0.51474077,"('fake', 'genuine')",0.22634181,0.31177962,0.40218198,0.19551392,0.4259898,0.3406781,0.0853117
67,0.64635146,0.923699,"('doubtful', 'determined')",-0.13159469,0.12654865,-0.5562075,-0.2724739,-0.0138169,0.2592579,-0.2730748
43,-0.6429604,-0.5199644,"('irresponsible', 'responsible')",1.1044445,1.1893514,0.42490315,0.3800082,0.2954624,0.3497984,-0.054336
54,-0.6196496,-0.66945416,"('incapable', 'capable')",0.46532148,0.5747098,0.7629739,0.5691643,0.2028819,0.15814,0.0447419
55,-0.61221755,-0.25903752,"('incompetent', 'clever')",-0.75312835,-0.56601113,0.33623666,0.29513273,-0.3430364,-0.1766386,-0.1663978
71,0.576869,0.38073868,"('diffident', 'self-confident')",2.6867006,2.7215533,0.7876657,0.593411,1.3504117,1.231901,0.1185107
