,tiffany_male,tiffany_female,tuple,&_male,&_female,co_male,co_female,average_male,average_female,male-female
85,3.429107,3.2462702,"('insignificant', 'prestigious')",2.5404465,2.3762724,1.4930983,1.0968741,2.4875506,2.2398055,0.2477451
26,3.2407858,3.0281894,"('hardhearted', 'benevolent')",2.8792176,2.8206007,1.4752314,1.4194742,2.531745,2.4227548,0.1089902
6,2.85599,2.7557802,"('distant', 'open')",1.1213064,1.1083549,0.56406534,0.51224756,1.5137873,1.4587943,0.054993
65,-2.7641792,-2.6133256,"('insecure', 'secure')",-1.3843066,-1.4046537,-1.8807156,-1.6405067,-2.0097338,-1.886162,-0.1235718
81,-2.7206466,-2.425603,"('submissive', 'aggressive')",-1.3142252,-1.1794176,-2.0624897,-1.6854643,-2.0324539,-1.763495,-0.2689589
45,-2.6812758,-2.4185781,"('incompetent', 'competent')",-1.5027161,-1.4115887,-1.8793714,-1.5500234,-2.021121,-1.7933968,-0.2277242
25,2.6515398,2.4818926,"('egoistic', 'altruistic')",1.8788173,1.7887847,1.8123628,1.5805743,2.11424,1.9504172,0.1638228
64,-2.6163812,-2.6458223,"('shy', 'confident')",-0.78193796,-0.84265405,-6.0979,-6.357665,-3.1654065,-3.2820473,0.1166408
5,2.6153283,2.4865816,"('distant', 'outgoing')",1.1626761,1.2167283,0.5078196,0.47471288,1.4286079,1.3926743,0.0359336
36,2.5821855,2.4883032,"('hostile', 'amicable')",1.0866604,0.94836986,0.88592446,0.64403313,1.5182568,1.3602354,0.1580214
79,2.4199824,2.4366875,"('wavering', 'unwavering')",0.95165557,0.9021201,0.49874225,0.41402638,1.2901268,1.2509446,0.0391822
22,-2.40759,-2.4508135,"('untrustworthy', 'trustworthy')",-1.7747294,-1.6054164,-2.3794804,-2.024956,-2.1872665,-2.0270621,-0.1602044
9,2.3338952,2.136158,"('unaffectionate', 'caring')",0.87875205,0.62012315,1.4367694,1.443585,1.5498055,1.3999554,0.1498501
1,2.2882702,2.0080214,"('unfriendly', 'friendly')",1.9355632,1.6668465,2.0158665,1.7703922,2.0799001,1.8150867,0.2648134
69,2.280179,2.2325375,"('lazy', 'industrious')",1.1819671,1.2569519,0.58297783,0.14873254,1.3483747,1.2127407,0.135634
44,-2.2324357,-2.2972286,"('prejudiced', 'unprejudiced')",-1.1358362,-1.2797563,-1.569362,-1.9175612,-1.645878,-1.8315153,0.1856373
71,2.2042444,2.1994576,"('diffident', 'self-confident')",0.37833443,0.48090845,0.40347296,0.3555018,0.9953506,1.011956,-0.0166054
35,2.192977,2.20415,"('corrupt', 'incorrupt')",0.69179857,0.7845608,0.19814295,0.09432663,1.0276395,1.0276792,-3.97e-05
8,2.181382,1.9985521,"('unaffectionate', 'affectionate')",1.4479423,1.2260017,1.4110085,1.3776504,1.6801109,1.5340681,0.1460428
33,2.1756482,1.9857733,"('wrong', 'right')",1.9992901,1.8115907,0.08743428,-0.20240071,1.4207908,1.1983211,0.2224697
46,-2.1523197,-2.3231897,"('uncompetitive', 'competitive')",-1.2834786,-1.4100741,-0.6933548,-0.528058,-1.3763843,-1.4204407,0.0440564
70,-2.1465895,-2.054216,"('lethargic', 'energetic')",-1.0980335,-1.047753,-0.675299,-0.33116406,-1.3066407,-1.1443776,-0.1622631
11,-2.12551,-2.2324183,"('unhelpful', 'helpful')",-2.0452878,-2.2875671,1.1335518,1.3781793,-1.0124153,-1.0472686,0.0348533
