,avery_male,avery_female,tuple,dennison_male,dennison_female,corp_male,corp_female,average_male,average_female,male-female
55,2.7459152,2.363833,"('incompetent', 'clever')",0.15136603,-0.04141262,0.20477521,-0.061836544,1.0340188,0.753528,0.2804908
60,2.705786,2.6230428,"('inefficient', 'efficient')",0.12448765,0.044498697,-0.24125968,-0.08990328,0.8630047,0.8592127,0.003792
31,-2.5673387,-2.601443,"('evil', 'good')",-0.985174,-0.84223473,-1.0305512,-0.9995746,-1.527688,-1.4810842,-0.0466038
13,2.0204954,2.2245567,"('impolite', 'polite')",0.14419124,0.18758783,-0.78812695,-0.84699285,0.4588532,0.5217172,-0.062864
62,1.9927278,1.8686922,"('incompetent', 'brilliant')",-0.011911392,0.06168446,0.18767092,0.3531282,0.7228291,0.7611683,-0.0383392
75,-1.9886249,-1.9557008,"('meek', 'impulsive')",1.1360552,1.3235066,-0.8067667,-0.7139677,-0.5531121,-0.4487206,-0.1043915
39,1.9719471,1.6759801,"('exploitative', 'cooperative')",0.7224679,0.4380847,0.5021818,0.39945793,1.0655323,0.8378409,0.2276914
16,-1.9481688,-1.8041284,"('unpopular', 'popular')",-0.78463626,-0.66898775,0.2991258,0.25618178,-0.8112264,-0.7389781,-0.0722483
35,-1.8806515,-1.7602357,"('corrupt', 'incorrupt')",0.78930557,0.89167535,-0.6424603,-0.5989723,-0.5779354,-0.4891775,-0.0887579
52,-1.879491,-2.1260886,"('irrational', 'rational')",-1.2217453,-1.2342359,0.11619041,0.108803615,-0.9950153,-1.0838403,0.088825
56,1.7512252,1.8222626,"('impractical', 'practical')",0.040617302,0.10483703,-0.8366661,-0.6686128,0.3183922,0.4194957,-0.1011035
79,-1.655766,-1.5195984,"('wavering', 'unwavering')",-0.5212327,-0.49569434,-0.43051428,-0.35390154,-0.869171,-0.7897314,-0.0794396
0,1.5584877,1.3803829,"('unsociable', 'sociable')",0.40454474,0.092600875,-0.29672143,-0.49592972,0.555437,0.3256847,0.2297523
46,1.5499035,1.4899879,"('uncompetitive', 'competitive')",-0.091886625,-0.07942629,-0.41621214,-0.58426535,0.3472683,0.2754321,0.0718362
36,-1.3829705,-1.3811669,"('hostile', 'amicable')",-0.30484623,-0.253964,-0.031080963,-0.09467468,-0.5729659,-0.5766019,0.003636
4,-1.3646097,-1.3047984,"('disliked', 'liked')",-0.5044416,-0.22711428,-6.5670176,-6.612895,-2.8120228,-2.7149359,-0.0970869
29,-1.3446833,-1.2511512,"('unfair', 'fair')",-0.18980159,-0.12312387,-0.4708337,-0.5236063,-0.6684395,-0.6326271,-0.0358124
81,1.3430421,1.4369222,"('submissive', 'aggressive')",0.13232902,-0.011664003,-0.9348456,-0.84926474,0.1801752,0.1919978,-0.0118226
85,-1.324225,-1.6587061,"('insignificant', 'prestigious')",-0.14476173,-0.24016954,0.13253334,-0.0014297757,-0.4454844,-0.6334351,0.1879507
14,1.3212558,1.1181583,"('antisocial', 'social')",0.23737103,-0.06270251,-0.21098185,-0.44843197,0.449215,0.2023413,0.2468737
86,1.259182,1.1171519,"('uninfluential', 'influential')",-0.58348626,-0.790095,-0.25959313,-0.41538423,0.1387009,-0.0294424,0.1681433
80,1.2274164,1.2529222,"('dominated', 'dominating')",0.56055266,0.29244652,-0.7408523,-0.83699167,0.3490389,0.2361257,0.1129132
