,rohm_male,rohm_female,tuple,&_male,&_female,haas_male,haas_female,co_male,co_female,average_male,average_female,male-female
10,-4.0619674,-4.2317104,"('unsympathetic', 'sympathetic')",-1.9659181,-1.9913342,-3.1423104,-3.407195,-0.16232851,-0.1975631,-2.3331311,-2.4569507,0.1238196
85,3.962627,3.6398084,"('insignificant', 'prestigious')",2.9038184,2.8461328,3.79906,3.4080837,-0.20089775,-0.45758376,2.6161518,2.3591104,0.2570414
60,-3.491522,-3.229381,"('inefficient', 'efficient')",-1.9319677,-1.7903051,-1.0261087,-0.8252562,-0.3124699,0.2661738,-1.6905171,-1.3946922,-0.2958249
69,3.442931,3.4212646,"('lazy', 'industrious')",3.3517551,3.3990488,2.9507232,3.0081534,-0.9127771,-1.2247422,2.208158,2.1509311,0.0572269
65,-3.2644331,-3.1638024,"('insecure', 'secure')",-1.0786524,-1.1184494,-2.743978,-2.8455172,-0.13626766,-0.041201822,-1.8058327,-1.7922426,-0.0135901
13,-3.234889,-3.0088975,"('impolite', 'polite')",-2.0850484,-1.8730738,-1.844053,-1.7191015,0.14490455,0.22919378,-1.7547716,-1.5929698,-0.1618018
35,3.215746,3.1146688,"('corrupt', 'incorrupt')",1.4627602,1.5480963,1.8922416,1.950962,-0.42590117,-0.6417022,1.5362115,1.4930062,0.0432053
55,-3.1933682,-3.2973397,"('incompetent', 'clever')",-1.2316875,-1.2953339,-1.7405562,-1.8285626,0.21378736,0.22613299,-1.487956,-1.5487758,0.0608198
70,-3.185996,-3.2833955,"('lethargic', 'energetic')",-1.2519549,-1.3081657,-1.7608188,-1.858509,-0.0049667144,-0.026375744,-1.5509342,-1.6191115,0.0681773
81,-2.9682372,-2.9742985,"('submissive', 'aggressive')",-1.5408831,-1.4473464,-2.1021204,-2.0242498,-0.96798307,-0.8048822,-1.8948059,-1.8126943,-0.0821116
45,-2.8394504,-2.9684997,"('incompetent', 'competent')",-1.6514654,-1.7727646,-1.0776682,-1.3093982,-0.7562222,-0.88580734,-1.5812016,-1.7341175,0.1529159
30,-2.7661633,-2.6275334,"('intolerant', 'tolerant')",-3.0467758,-3.0991411,-1.2451321,-1.1404244,0.014989845,0.029554766,-1.7607703,-1.709386,-0.0513843
14,-2.7495093,-2.8361814,"('antisocial', 'social')",-1.2706589,-1.475851,-1.7190282,-1.85239,-0.716627,-0.97919583,-1.613956,-1.7859046,0.1719486
46,-2.6200874,-2.5041158,"('uncompetitive', 'competitive')",0.1852148,0.071641535,-1.9394522,-2.0109088,-0.75009406,-0.66804284,-1.2811047,-1.2778565,-0.0032482
21,-2.6149998,-2.6275368,"('immoral', 'moral')",-0.86611974,-1.0898839,-2.9501898,-3.0989366,-1.1882823,-1.1820002,-1.9048979,-1.9995893,0.0946914
11,-2.5701842,-2.5615835,"('unhelpful', 'helpful')",-2.3922136,-2.1685686,-1.2703167,-1.0984509,2.2744884,2.55821,-0.9895564,-0.8175982,-0.1719582
0,-2.5418165,-2.6295965,"('unsociable', 'sociable')",-0.80850416,-0.866202,-0.6497519,-0.9477722,-0.166256,-0.2808029,-1.0415821,-1.1810933,0.1395112
76,-2.316074,-2.2759697,"('anxious', 'daring')",-0.18302798,-0.13298124,-1.7545309,-1.5582882,-0.38023514,-0.11952758,-1.1584669,-1.0216918,-0.1367751
43,-2.3077774,-2.1674604,"('irresponsible', 'responsible')",-2.1335893,-1.9160873,-0.5494313,-0.45921832,0.42774683,0.6770014,-1.1407628,-0.9664412,-0.1743216
7,-2.2969298,-2.1828463,"('insensitive', 'sensitive')",-1.6460055,-1.5695612,-0.9436229,-0.86632746,0.028980576,0.17391308,-1.2143945,-1.1112055,-0.103189
3,-2.294171,-2.0090694,"('repellent', 'pleasant')",-0.21699813,-0.32394856,-2.1638944,-2.2120996,0.18294397,0.2129277,-1.1230299,-1.0830474,-0.0399825
48,-2.2742603,-2.2755582,"('unintelligent', 'intelligent')",-1.7146368,-1.7171165,-1.5655702,-1.6519951,-0.20573284,-0.040267512,-1.44005,-1.4212344,-0.0188156
57,-2.2673564,-2.6820817,"('unimaginative', 'imaginative')",-1.204775,-1.3669052,-1.2529198,-1.699868,-3.148992,-3.5016336,-1.9685107,-2.3126221,0.3441114
5,2.264926,2.353408,"('distant', 'outgoing')",0.8689066,1.0532312,2.437142,2.407016,-0.37075984,-0.3041298,1.3000536,1.3773814,-0.0773278
6,2.2178156,2.366183,"('distant', 'open')",1.0220772,1.2933279,2.0184338,1.9903402,-0.20840994,-0.23918045,1.2624792,1.3526677,-0.0901885
59,2.1421041,2.069252,"('foolish', 'wise')",1.2827034,1.4282849,1.1108149,1.1853919,-0.13652304,-0.15577325,1.0997748,1.131789,-0.0320142
33,2.0221162,1.9890171,"('wrong', 'right')",0.7207327,0.82843745,2.3503945,2.2976432,-0.5811677,-0.75134164,1.128019,1.090939,0.03708
82,-1.9246765,-1.542006,"('poor', 'rich')",-1.8531022,-1.650148,-2.3947852,-1.9606701,5.2903647,5.7899876,-0.2205497,0.1592909,-0.3798406
23,-1.909612,-1.7107136,"('insincere', 'sincere')",-2.0196834,-1.888128,-0.6707247,-0.56966263,5.945397,6.4507265,0.3363441,0.5705556,-0.2342115
52,1.8692645,1.664845,"('irrational', 'rational')",1.3575143,1.1222802,1.3151835,0.97527146,-0.15546235,-0.5281109,1.096625,0.8085714,0.2880536
