,compuware_male,compuware_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.6725597,-2.5360322,"('unsympathetic', 'sympathetic')",-0.9553537,-0.801869,-1.8139567,-1.6689506,-0.1450061
46,-1.9786558,-1.7779654,"('uncompetitive', 'competitive')",-1.4479465,-1.2944032,-1.7133012,-1.5361843,-0.1771169
63,-1.7903079,-1.3287846,"('unperceptive', 'insightful')",0.34997293,0.5968411,-0.7201675,-0.3659717,-0.3541958
43,-1.7195129,-1.5351812,"('irresponsible', 'responsible')",-0.030198812,0.04838541,-0.8748559,-0.7433979,-0.131458
45,-1.7036208,-1.343256,"('incompetent', 'competent')",-0.44226128,-0.3481642,-1.0729411,-0.8457101,-0.227231
0,-1.5429409,-1.3840808,"('unsociable', 'sociable')",-0.50412285,-0.35443786,-1.0235319,-0.8692593,-0.1542726
70,-1.5116588,-1.235536,"('lethargic', 'energetic')",0.032500427,0.18406019,-0.7395792,-0.5257379,-0.2138413
56,-1.467624,-0.84570414,"('impractical', 'practical')",-1.330343,-1.040326,-1.3989835,-0.9430151,-0.4559684
86,-1.4307767,-1.494114,"('uninfluential', 'influential')",-0.08386267,-0.06985602,-0.7573197,-0.781985,0.0246653
53,-1.4239829,-1.0234085,"('uncreative', 'creative')",0.28886127,0.37723967,-0.5675608,-0.3230844,-0.2444764
13,-1.3930168,-0.9098076,"('impolite', 'polite')",-1.1646913,-0.8426296,-1.2788541,-0.8762186,-0.4026355
69,1.309275,0.65574974,"('lazy', 'industrious')",-0.68947107,-1.213798,0.309902,-0.2790242,0.5889262
7,-1.3043393,-1.1071119,"('insensitive', 'sensitive')",0.37312672,0.47898033,-0.4656063,-0.3140658,-0.1515405
73,1.3018162,1.4231311,"('helpless', 'self-reliant')",-3.0117052,-2.996766,-0.8549445,-0.7868175,-0.068127
42,-1.2999579,-1.0153193,"('unreliable', 'reliable')",-3.508914,-3.4845943,-2.4044359,-2.2499568,-0.1544791
57,-1.2138846,-1.0924959,"('unimaginative', 'imaginative')",-3.0814958,-3.0497706,-2.1476903,-2.0711331,-0.0765572
21,-1.2126396,-0.9723558,"('immoral', 'moral')",-0.7945876,-0.67976856,-1.0036136,-0.8260622,-0.1775514
28,-1.187451,-1.129753,"('disloyal', 'loyal')",0.68977827,0.8614029,-0.2488364,-0.134175,-0.1146614
52,1.1760087,0.71934736,"('irrational', 'rational')",0.38213187,0.10142707,0.7790703,0.4103872,0.3686831
72,-1.1719761,-1.2371796,"('unambitious', 'ambitious')",-0.49334833,-0.29181603,-0.8326622,-0.7644978,-0.0681644
24,-1.1648926,-1.1906761,"('dishonest', 'honest')",0.39547575,0.46267888,-0.3847084,-0.3639986,-0.0207098
55,-1.1388596,-1.0073633,"('incompetent', 'clever')",0.11171963,0.23404323,-0.51357,-0.38666,-0.12691
12,-1.1064174,-0.908275,"('unsupportive', 'supportive')",-1.9196479,-1.9262384,-1.5130327,-1.4172567,-0.095776
51,-1.0994284,-0.9472704,"('uneducated', 'educated')",0.6536024,0.7056619,-0.222913,-0.1208043,-0.1021087
3,-1.0788256,-1.020457,"('repellent', 'pleasant')",0.65685505,0.71727955,-0.2109853,-0.1515887,-0.0593966
76,-1.0755858,-1.125048,"('anxious', 'daring')",-0.61473936,-0.50966537,-0.8451626,-0.8173567,-0.0278059
32,-1.063602,-0.7358863,"('unkind', 'kind')",0.69862044,0.8665505,-0.1824908,0.0653321,-0.2478229
44,1.0629125,0.9978793,"('prejudiced', 'unprejudiced')",-1.5611622,-1.5942422,-0.2491249,-0.2981814,0.0490565
85,1.0237112,0.5731522,"('insignificant', 'prestigious')",0.38547534,0.11648133,0.7045933,0.3448167,0.3597766
38,-1.0224591,-0.79798985,"('untruthful', 'truthful')",-0.74879426,-0.5039781,-0.8856267,-0.6509839,-0.2346428
59,0.97962797,0.73761,"('foolish', 'wise')",-0.031240644,-0.18063621,0.4741937,0.2784869,0.1957068
81,-0.97768325,-0.7748347,"('submissive', 'aggressive')",-1.2468171,-1.0353429,-1.1122502,-0.9050888,-0.2071614
35,0.97339225,0.623055,"('corrupt', 'incorrupt')",-0.26035506,-0.5152614,0.3565186,0.0538968,0.3026218
65,-0.97075045,-0.71634465,"('insecure', 'secure')",-0.65623367,-0.3733944,-0.8134921,-0.5448695,-0.2686226
68,-0.95625895,-0.7242745,"('dependent', 'independent')",-0.8377398,-0.76827323,-0.8969994,-0.7462739,-0.1507255
23,-0.937722,-0.6003112,"('insincere', 'sincere')",5.529716,5.9522734,2.2959969,2.675981,-0.3799841
66,-0.93422663,-1.5309922,"('inactive', 'active')",0.70215875,0.20079681,-0.1160339,-0.6650977,0.5490638
77,-0.9168611,-0.7613318,"('unmotivated', 'motivated')",-1.6133835,-1.4093602,-1.2651223,-1.085346,-0.1797763
62,-0.9133506,-0.35282344,"('incompetent', 'brilliant')",-0.23898578,0.15634269,-0.5761682,-0.0982404,-0.4779278
15,0.8916244,0.714386,"('boring', 'funny')",0.07963811,0.006888818,0.4856313,0.3606374,0.1249939
22,-0.86951673,-0.68667924,"('untrustworthy', 'trustworthy')",-0.88832945,-0.778361,-0.8789231,-0.7325201,-0.146403
14,-0.8610197,-0.73349625,"('antisocial', 'social')",-0.25516823,-0.26859018,-0.558094,-0.5010432,-0.0570508
82,-0.837027,-0.5098773,"('poor', 'rich')",6.195047,6.4454556,2.6790099,2.9677892,-0.2887793
39,0.7887071,1.0488067,"('exploitative', 'cooperative')",0.3003785,0.3813976,0.5445428,0.7151021,-0.1705593
33,0.6900752,0.51283216,"('wrong', 'right')",-0.35818535,-0.4422359,0.1659449,0.0352981,0.1306468
78,-0.6870163,-0.44732976,"('nonresilient', 'resilient')",-0.1788348,-0.16409165,-0.4329256,-0.3057107,-0.1272149
60,-0.6856888,-0.14031677,"('inefficient', 'efficient')",-0.52031356,-0.13712478,-0.6030012,-0.1387208,-0.4642804
75,0.6592993,0.55472046,"('meek', 'impulsive')",-0.5976882,-0.6796124,0.0308056,-0.062446,0.0932516
11,-0.65478754,-0.21572492,"('unhelpful', 'helpful')",1.2522238,1.6166092,0.2987182,0.7004421,-0.4017239
41,-0.6065188,-0.7253214,"('unforgiving', 'forgiving')",0.15039097,0.0052414523,-0.2280639,-0.36004,0.1319761
31,0.6041074,0.4298099,"('evil', 'good')",-0.2750465,-0.4932992,0.1645304,-0.0317446,0.196275
34,-0.5986879,-0.49510533,"('mean', 'honorable')",5.1748366,5.5024676,2.2880745,2.5036812,-0.2156067
18,-0.581621,-0.78543097,"('disagreeable', 'welcoming')",-0.28618312,-0.43678543,-0.4339021,-0.6111082,0.1772061
36,0.5785786,0.17664838,"('hostile', 'amicable')",0.34538266,0.021382902,0.4619806,0.0990156,0.362965
74,-0.5580677,-0.47380263,"('undedicated', 'dedicated')",-0.17821872,-0.25224116,-0.3681432,-0.3630219,-0.0051213
