,first_male,first_female,tuple,horizon_male,horizon_female,corp_male,corp_female,average_male,average_female,male-female
36,-2.1580951,-2.1722848,"('hostile', 'amicable')",-0.48502403,-0.50456536,-0.063327454,0.034416266,-0.9021489,-0.8808114,-0.0213375
35,-1.9280796,-1.9196516,"('corrupt', 'incorrupt')",-0.63480353,-0.62995327,-0.7545163,-0.54550433,-1.1057998,-1.0317031,-0.0740967
85,-1.8813226,-1.810527,"('insignificant', 'prestigious')",0.6970666,0.5637583,-0.03269829,-0.08219024,-0.4056515,-0.4429863,0.0373348
5,-1.8119725,-1.6902021,"('distant', 'outgoing')",-1.1726544,-1.2181537,-0.40407193,-0.33843663,-1.1295662,-1.0822641,-0.0473021
21,1.773517,1.8859241,"('immoral', 'moral')",0.5099214,0.5021934,-0.5371306,-0.64842016,0.5821026,0.5798992,0.0022034
31,-1.6512172,-1.6335613,"('evil', 'good')",-0.8628317,-0.7589075,-0.7434038,-0.7670257,-1.0858177,-1.0531648,-0.0326529
16,-1.5938574,-1.6236082,"('unpopular', 'popular')",-0.3072003,-0.39573586,0.28002146,0.28414583,-0.5403454,-0.5783994,0.038054
6,-1.5306172,-1.5209277,"('distant', 'open')",-1.5976979,-1.6384882,-0.44631317,-0.41758677,-1.1915427,-1.1923342,0.0007915
80,1.4748452,1.4598563,"('dominated', 'dominating')",0.9524312,0.72664505,-0.7356391,-0.91568303,0.5638791,0.4236061,0.140273
7,1.3834752,1.3712124,"('insensitive', 'sensitive')",1.1498648,1.0335485,0.9201753,0.70540804,1.1511718,1.036723,0.1144488
39,1.3190981,1.5496402,"('exploitative', 'cooperative')",1.0571598,1.0846547,0.05314184,0.02092361,0.8097999,0.8850729,-0.075273
37,1.3132762,1.0909326,"('fake', 'genuine')",0.16474335,-0.034984954,0.42599535,0.29583204,0.6346716,0.4505932,0.1840784
69,-1.2782313,-1.1998819,"('lazy', 'industrious')",0.90690583,0.8015964,-0.6584141,-0.7020286,-0.3432465,-0.3667714,0.0235249
26,-1.2772578,-1.2628196,"('hardhearted', 'benevolent')",0.8693132,0.89501405,1.5423056,1.4838707,0.3781203,0.3720217,0.0060986
19,-1.2535784,-1.2473633,"('inhospitable', 'hospitable')",-0.8790451,-0.987104,-0.4085351,-0.24090835,-0.8470529,-0.8251252,-0.0219277
60,1.2524341,1.4826486,"('inefficient', 'efficient')",1.3117707,1.4825836,-0.19018777,-0.09947637,0.791339,0.955252,-0.163913
1,-1.2466015,-1.495102,"('unfriendly', 'friendly')",-0.2581882,-0.34865388,1.9292378,1.655756,0.1414828,-0.0626667,0.2041495
62,1.2225661,1.3414482,"('incompetent', 'brilliant')",1.4105935,1.3519717,0.50032353,0.32527766,1.0444944,1.0062325,0.0382619
46,1.1745917,1.0836678,"('uncompetitive', 'competitive')",0.31352508,0.1327606,-0.845557,-0.9401962,0.2141866,0.0920774,0.1221092
8,-1.1745228,-1.3004067,"('unaffectionate', 'affectionate')",-0.49936497,-0.5352173,1.0683185,0.8256724,-0.2018564,-0.3366505,0.1347941
75,-1.1403217,-1.0362494,"('meek', 'impulsive')",-0.53149116,-0.48163113,-0.95208627,-0.88074076,-0.8746331,-0.7995404,-0.0750927
79,-1.0661526,-1.0628297,"('wavering', 'unwavering')",-0.72613174,-0.77195495,-0.50813746,-0.5124064,-0.7668072,-0.782397,0.0155898
4,-1.0455704,-1.0147319,"('disliked', 'liked')",-0.4405704,-0.31202224,-7.111186,-6.9707174,-2.8657754,-2.765824,-0.0999514
57,-1.0095745,-1.0686748,"('unimaginative', 'imaginative')",-0.85593516,-0.90409166,-3.0690408,-3.1914713,-1.6448501,-1.7214127,0.0765626
82,-0.9745094,-0.9424787,"('poor', 'rich')",-0.6533255,-0.578799,6.3189754,6.4284916,1.5637136,1.6357381,-0.0720245
23,0.96761,1.0829171,"('insincere', 'sincere')",1.0110354,0.9306888,6.3614616,6.23461,2.7800357,2.7494052,0.0306305
59,-0.9468088,-0.6364178,"('foolish', 'wise')",0.8753447,0.9742649,0.20647416,0.20749202,0.0450033,0.1817797,-0.1367764
81,0.9452838,1.1660779,"('submissive', 'aggressive')",0.46484777,0.6806194,-0.97404414,-0.9627964,0.1453625,0.2946336,-0.1492711
53,-0.9049584,-0.9712629,"('uncreative', 'creative')",-0.7980341,-0.8399681,0.48474267,0.4738737,-0.4060833,-0.4457857,0.0397024
55,0.8845309,0.80843705,"('incompetent', 'clever')",0.5787409,0.470946,0.41552028,0.16222249,0.6262641,0.4805352,0.1457289
17,-0.8741956,-0.6881384,"('nasty', 'nice')",0.07903042,0.10732229,-0.81425256,-0.6960238,-0.5364726,-0.4256133,-0.1108593
49,-0.86652946,-0.68837667,"('unable', 'able')",-0.20012578,-0.075749554,-0.23538437,-0.23923035,-0.4340132,-0.3344522,-0.099561
3,0.8460897,0.7962132,"('repellent', 'pleasant')",0.35364202,0.29073825,1.0158134,0.84920365,0.7385151,0.645385,0.0931301
78,-0.79298633,-0.83245474,"('nonresilient', 'resilient')",0.23306388,0.16519216,0.74219275,0.48295963,0.0607568,-0.0614343,0.1221911
76,0.78955626,0.8301609,"('anxious', 'daring')",-0.44802362,-0.5207482,-0.36153483,-0.4582172,-0.0066674,-0.0496015,0.0429341
38,-0.77189386,-0.74760103,"('untruthful', 'truthful')",0.029994149,0.014922332,0.022099774,0.11947774,-0.2399333,-0.2044003,-0.035533
24,0.7456562,0.6788056,"('dishonest', 'honest')",0.29775155,0.0816595,0.6055095,0.5358686,0.5496391,0.4321112,0.1175279
52,-0.72530764,-0.79498976,"('irrational', 'rational')",0.10247558,0.11131626,0.36312458,0.3629348,-0.0865692,-0.1069129,0.0203437
50,-0.7167309,-0.48445678,"('clumsy', 'skillful')",-0.0995352,0.010436486,0.3703623,0.3486782,-0.1486346,-0.0417807,-0.1068539
68,0.7132359,0.65087336,"('dependent', 'independent')",0.26318166,0.1974202,-0.7538052,-0.81679773,0.0742041,0.0104986,0.0637055
0,-0.7018442,-0.75258654,"('unsociable', 'sociable')",-0.40150574,-0.48429295,-0.35691386,-0.4864718,-0.4867546,-0.5744504,0.0876958
25,-0.69514936,-0.8904569,"('egoistic', 'altruistic')",0.5863736,0.41313362,1.4653459,1.3862237,0.45219,0.3029668,0.1492232
13,0.6767284,0.84228706,"('impolite', 'polite')",0.64105016,0.52341515,-0.74171096,-0.7757563,0.1920225,0.1966486,-0.0046261
