,fiserv_male,fiserv_female,tuple,inc_male,inc_female,average_male,average_female,male-female
6,-2.2352707,-1.6476352,"('distant', 'open')",-0.53402746,0.12626503,-1.384649,-0.7606851,-0.6239639
8,-1.6575768,-1.5506933,"('unaffectionate', 'affectionate')",0.7771684,0.9297105,-0.4402042,-0.3104914,-0.1297128
5,-1.6321609,-1.0626225,"('distant', 'outgoing')",-0.8240002,-0.08032587,-1.2280805,-0.5714742,-0.6566063
9,-1.5137451,-1.4580946,"('unaffectionate', 'caring')",1.0064524,1.2140248,-0.2536463,-0.1220349,-0.1316114
53,-1.4929339,-1.5058745,"('uncreative', 'creative')",0.7102307,0.81094724,-0.3913516,-0.3474636,-0.043888
30,1.4467074,1.1922894,"('intolerant', 'tolerant')",1.4913088,1.3196468,1.4690081,1.2559681,0.21304
19,-1.4356837,-1.4863977,"('inhospitable', 'hospitable')",-0.07988776,0.23347332,-0.7577857,-0.6264622,-0.1313235
66,-1.2666266,-1.3224759,"('inactive', 'active')",0.08479638,0.15431848,-0.5909151,-0.5840787,-0.0068364
1,-1.2458379,-1.2119249,"('unfriendly', 'friendly')",1.4518403,1.7896296,0.1030012,0.2888523,-0.1858511
36,-1.2408818,-1.3965348,"('hostile', 'amicable')",0.31557038,0.12415052,-0.4626557,-0.6361921,0.1735364
79,-1.1509839,-1.641369,"('wavering', 'unwavering')",-0.097034864,-0.132591,-0.6240094,-0.88698,0.2629706
31,-1.1299512,-1.1183084,"('evil', 'good')",-1.3127586,-0.9601033,-1.221355,-1.0392058,-0.1821492
86,-1.0790209,-1.2518237,"('uninfluential', 'influential')",-0.34932682,-0.12844212,-0.7141739,-0.6901329,-0.024041
60,1.0631133,0.97544944,"('inefficient', 'efficient')",-0.036279805,0.14398034,0.5134168,0.5597149,-0.0462981
67,1.0090935,0.9766603,"('doubtful', 'determined')",-0.40342197,-0.6754056,0.3028358,0.1506273,0.1522085
27,-1.0087523,-0.46234244,"('hardhearted', 'softhearted')",0.96327686,1.4362072,-0.0227377,0.4869324,-0.5096701
