,us_male,us_female,tuple,bancorp_male,bancorp_female,del_male,del_female,average_male,average_female,male-female
39,2.087006,2.0674086,"('exploitative', 'cooperative')",0.8896778,0.95234066,0.18094021,0.2190387,1.0525413,1.079596,-0.0270547
36,-1.5408252,-2.197932,"('hostile', 'amicable')",2.3490064,2.1336818,-0.4151064,-0.8851486,0.1310249,-0.3164663,0.4474912
12,1.5084934,1.8943155,"('unsupportive', 'supportive')",-0.07094981,-0.031483226,-1.7485722,-1.7631891,-0.1036762,0.0332144,-0.1368906
11,1.4596025,1.8283452,"('unhelpful', 'helpful')",-0.79546195,-0.7550765,1.3789384,1.381907,0.6810263,0.8183919,-0.1373656
42,1.4588277,1.6469542,"('unreliable', 'reliable')",0.32345712,0.2623606,-2.768699,-2.437353,-0.3288047,-0.1760127,-0.152792
43,1.4514632,1.6931393,"('irresponsible', 'responsible')",-0.7986191,-0.6874485,0.5460621,0.61531526,0.3996354,0.5403353,-0.1406999
35,-1.4429083,-1.9668664,"('corrupt', 'incorrupt')",1.1081707,1.0348686,-0.7726178,-1.0051957,-0.3691185,-0.6457312,0.2766127
60,1.3555522,1.7731955,"('inefficient', 'efficient')",-1.0697006,-0.9401878,0.2638276,0.68918115,0.1832264,0.5073963,-0.3241699
2,1.3553247,1.1002094,"('unlikable', 'likable')",1.5381956,1.4636706,0.82574016,0.6809679,1.2397535,1.0816159,0.1581376
74,1.336824,1.524521,"('undedicated', 'dedicated')",-0.09866002,-0.12588401,0.28334498,0.08199813,0.5071697,0.493545,0.0136247
62,1.3160093,1.7376454,"('incompetent', 'brilliant')",-0.47430387,-0.37323442,0.079254575,0.35994402,0.3069867,0.574785,-0.2677983
56,1.284085,1.5456609,"('impractical', 'practical')",-0.43948275,-0.41938597,-0.07270632,0.20819044,0.2572986,0.4448218,-0.1875232
82,-1.1363591,-0.8718465,"('poor', 'rich')",-1.403903,-1.2259305,6.3424573,6.2341676,1.2673984,1.3787969,-0.1113985
