,tegna_male,tegna_female,tuple,inc_male,inc_female,average_male,average_female,male-female
8,-1.2524163,-1.4631908,"('unaffectionate', 'affectionate')",0.2975512,0.51365983,-0.4774325,-0.4747655,-0.002667
51,-1.1915584,-1.0711776,"('uneducated', 'educated')",0.6051953,0.625396,-0.2931815,-0.2228908,-0.0702907
6,-1.1853894,-1.6051934,"('distant', 'open')",-0.40906495,-0.3158093,-0.7972271,-0.9605013,0.1632742
86,-1.1380867,-1.2888731,"('uninfluential', 'influential')",-0.10413988,-0.35955852,-0.6211133,-0.8242158,0.2031025
1,-1.1281585,-1.3542801,"('unfriendly', 'friendly')",1.4397162,1.6215764,0.1557789,0.1336482,0.0221307
57,-1.1210054,-1.3294116,"('unimaginative', 'imaginative')",-2.3459933,-2.4573574,-1.7334993,-1.8933845,0.1598852
53,-1.0354677,-1.2047914,"('uncreative', 'creative')",0.39972612,0.5125622,-0.3178708,-0.3461146,0.0282438
9,-0.9876652,-1.2015936,"('unaffectionate', 'caring')",0.62757117,0.82225525,-0.180047,-0.1896692,0.0096222
36,-0.9758459,-1.27737,"('hostile', 'amicable')",-0.006529808,0.13692206,-0.4911878,-0.5702239,0.0790361
19,-0.9530324,-1.0231776,"('inhospitable', 'hospitable')",-0.34857205,-0.14140336,-0.6508022,-0.5822905,-0.0685117
44,0.9512265,0.95435995,"('prejudiced', 'unprejudiced')",-1.4281316,-1.5149739,-0.2384526,-0.280307,0.0418544
5,-0.9484106,-1.2646575,"('distant', 'outgoing')",-0.73878795,-0.62345874,-0.8435993,-0.9440581,0.1004588
39,0.9216249,1.314962,"('exploitative', 'cooperative')",0.16428486,0.2827273,0.5429549,0.7988447,-0.2558898
0,-0.9086659,-0.6439894,"('unsociable', 'sociable')",-0.2765417,-0.26322943,-0.5926038,-0.4536094,-0.1389944
69,0.8974354,0.691431,"('lazy', 'industrious')",-0.64015406,-0.6775057,0.1286407,0.0069627,0.121678
84,0.86304855,0.78838444,"('inferior', 'superior')",1.201741,1.2659936,1.0323948,1.027189,0.0052058
31,-0.8021476,-0.9683572,"('evil', 'good')",-1.1601628,-1.1058655,-0.9811552,-1.0371113,0.0559561
79,-0.8010232,-1.1216594,"('wavering', 'unwavering')",-0.25848296,-0.1938181,-0.5297531,-0.6577387,0.1279856
