,comcast_male,comcast_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.5048892,-3.083281,"('unsympathetic', 'sympathetic')",-0.785867,-0.9594067,-1.6453781,-2.0213439,0.3759658
45,-1.96048,-2.2317026,"('incompetent', 'competent')",-0.10375496,-0.3544825,-1.0321175,-1.2930925,0.260975
46,-1.879805,-2.0363874,"('uncompetitive', 'competitive')",-0.5676705,-1.0738897,-1.2237377,-1.5551386,0.3314009
43,-1.8128206,-1.9463621,"('irresponsible', 'responsible')",-0.00919481,-0.07022847,-0.9110077,-1.0082953,0.0972876
37,-1.7743139,-1.355485,"('fake', 'genuine')",-0.883844,-0.22134034,-1.3290789,-0.7884126,-0.5406663
55,-1.6795363,-1.7550737,"('incompetent', 'clever')",0.56865156,0.27334207,-0.5554424,-0.7408658,0.1854234
0,-1.6592869,-2.3181188,"('unsociable', 'sociable')",-0.48895392,-0.44632682,-1.0741204,-1.3822228,0.3081024
57,-1.6010021,-2.0479693,"('unimaginative', 'imaginative')",-2.6503296,-3.544325,-2.1256659,-2.7961473,0.6704814
27,-1.541861,-0.7744698,"('hardhearted', 'softhearted')",-0.18925677,0.8620449,-0.8655589,0.0437875,-0.9093464
28,-1.5155822,-1.0991608,"('disloyal', 'loyal')",0.38153183,0.9631673,-0.5670252,-0.0679967,-0.4990285
86,-1.4926136,-1.5507134,"('uninfluential', 'influential')",-0.5292302,-0.81218994,-1.0109218,-1.1814517,0.1705299
60,-1.2923317,-0.9808836,"('inefficient', 'efficient')",0.1322071,0.18725282,-0.5800623,-0.3968154,-0.1832469
70,-1.2680908,-1.7522893,"('lethargic', 'energetic')",0.37971127,0.026772339,-0.4441898,-0.8627585,0.4185687
85,1.2102563,1.4395231,"('insignificant', 'prestigious')",-0.55252093,-0.43081486,0.3288677,0.5043541,-0.1754864
1,-1.2006309,-0.28301695,"('unfriendly', 'friendly')",0.2864371,1.0875297,-0.4570969,0.4022564,-0.8593533
7,-1.1924219,-0.9462585,"('insensitive', 'sensitive')",0.089652434,0.5255032,-0.5513847,-0.2103776,-0.3410071
8,-1.1847228,-0.81312084,"('unaffectionate', 'affectionate')",-0.64518994,0.121306635,-0.9149563,-0.3459071,-0.5690492
79,1.1386722,0.57683843,"('wavering', 'unwavering')",-0.46068212,-0.46663377,0.338995,0.0551023,0.2838927
77,-1.0998087,-1.0285037,"('unmotivated', 'motivated')",-0.64497495,-0.73969203,-0.8723918,-0.8840978,0.011706
20,-1.0980216,-0.5486991,"('rough', 'thoughtful')",0.57148194,1.0721282,-0.2632698,0.2617145,-0.5249843
63,-1.0828083,-1.0988898,"('unperceptive', 'insightful')",0.37868884,0.5170121,-0.3520597,-0.2909389,-0.0611208
75,1.0279219,0.8774876,"('meek', 'impulsive')",-0.45640162,-0.61767536,0.2857602,0.1299061,0.1558541
48,-1.0226225,-0.25577423,"('unintelligent', 'intelligent')",0.52809954,0.6762967,-0.2472615,0.2102612,-0.4575227
68,-0.9844896,-0.6127002,"('dependent', 'independent')",-0.8555135,-0.34186047,-0.9200016,-0.4772803,-0.4427213
78,-0.9548243,-0.45719793,"('nonresilient', 'resilient')",-0.24683791,0.17456542,-0.6008312,-0.1413163,-0.4595149
49,-0.9398181,-0.29479074,"('unable', 'able')",-0.7353176,0.054136287,-0.8375678,-0.1203272,-0.7172406
22,-0.9310731,-1.1868042,"('untrustworthy', 'trustworthy')",-0.9439943,-0.96954036,-0.9375337,-1.0781722,0.1406385
13,-0.9064117,-1.4084088,"('impolite', 'polite')",-0.59289557,-0.96571565,-0.7496536,-1.1870623,0.4374087
3,-0.8993333,-0.922777,"('repellent', 'pleasant')",1.2864572,1.1884797,0.1935619,0.1328513,0.0607106
73,0.879738,1.0324802,"('helpless', 'self-reliant')",-3.3853014,-3.0086706,-1.2527816,-0.9880952,-0.2646864
71,0.87739587,1.0593816,"('diffident', 'self-confident')",-0.17565952,0.25225115,0.3508682,0.6558164,-0.3049482
21,-0.8732305,-1.3194574,"('immoral', 'moral')",-0.04811323,-0.53713125,-0.4606719,-0.9282943,0.4676224
53,-0.8728934,-0.33665076,"('uncreative', 'creative')",0.17230797,0.20635226,-0.3502927,-0.0651492,-0.2851435
25,0.8289917,1.0611973,"('egoistic', 'altruistic')",1.2841911,1.4514079,1.0565914,1.2563026,-0.1997112
52,0.81955576,0.4458469,"('irrational', 'rational')",-0.36846998,-0.19340187,0.2255429,0.1262225,0.0993204
72,-0.7916886,-0.9655282,"('unambitious', 'ambitious')",-0.8036156,-0.23213838,-0.7976521,-0.5988333,-0.1988188
9,-0.76374996,-0.5511759,"('unaffectionate', 'caring')",-0.03647808,0.9045232,-0.400114,0.1766737,-0.5767877
11,-0.7609241,-1.1241549,"('unhelpful', 'helpful')",1.895782,1.5487007,0.5674289,0.2122729,0.355156
65,-0.7549287,-0.9909079,"('insecure', 'secure')",0.2121539,-0.04644122,-0.2713874,-0.5186746,0.2472872
36,0.752444,0.79640615,"('hostile', 'amicable')",-0.5689557,-0.3094277,0.0917442,0.2434892,-0.151745
59,0.74943686,1.1059898,"('foolish', 'wise')",-0.66685927,0.25216675,0.0412888,0.6790783,-0.6377895
69,0.73141176,1.2634734,"('lazy', 'industrious')",-1.257641,-0.6964441,-0.2631146,0.2835146,-0.5466292
23,-0.7143542,-0.6437551,"('insincere', 'sincere')",5.438808,6.1866875,2.362227,2.7714663,-0.4092393
47,-0.67814165,-0.70337856,"('stupid', 'smart')",4.520858,5.1974483,1.9213581,2.2470348,-0.3256767
41,-0.6336387,-0.65049654,"('unforgiving', 'forgiving')",0.102399476,-0.23523344,-0.2656196,-0.442865,0.1772454
58,-0.6290822,-0.47797632,"('undiscriminating', 'discriminating')",-0.1995965,-0.17104581,-0.4143394,-0.3245111,-0.0898283
40,-0.62328756,0.41301122,"('stingy', 'generous')",-2.1720436,-1.6292578,-1.3976655,-0.6081233,-0.7895422
62,-0.6132431,-0.4406397,"('incompetent', 'brilliant')",0.59008217,0.7809157,-0.0115805,0.170138,-0.1817185
51,-0.58306664,-1.011233,"('uneducated', 'educated')",1.1192478,0.5511064,0.2680906,-0.2300633,0.4981539
19,-0.5683866,-0.6279992,"('inhospitable', 'hospitable')",-0.78322273,-0.45056224,-0.6758047,-0.5392807,-0.136524
66,-0.5657513,-1.1720166,"('inactive', 'active')",-0.41451654,-0.20873599,-0.4901339,-0.6903763,0.2002424
39,0.5578728,0.92688864,"('exploitative', 'cooperative')",-0.07300007,0.087493055,0.2424363,0.5071908,-0.2647545
80,-0.543446,-0.9409837,"('dominated', 'dominating')",-0.20371172,-0.5413543,-0.3735788,-0.741169,0.3675902
34,-0.5259293,0.06423184,"('mean', 'honorable')",4.880043,5.964907,2.1770568,3.0145695,-0.8375127
6,-0.4791143,0.010183245,"('distant', 'open')",-1.7012625,-0.7798434,-1.0901884,-0.3848301,-0.7053583
24,-0.4755295,-0.35944477,"('dishonest', 'honest')",0.47024265,0.7386456,-0.0026434,0.1896004,-0.1922438
35,0.45953393,0.72926384,"('corrupt', 'incorrupt')",-1.2005769,-0.40725753,-0.3705215,0.1610032,-0.5315247
29,-0.45083934,-0.17820238,"('unfair', 'fair')",-0.3838335,-0.2734516,-0.4173364,-0.225827,-0.1915094
15,0.4368687,-0.10359272,"('boring', 'funny')",-0.09920643,-0.52414453,0.1688311,-0.3138686,0.4826997
88,0.43520418,-0.039009206,"('low', 'eminent')",0.17717011,-0.51452386,0.3061872,-0.2767665,0.5829537
50,0.41158113,0.5012305,"('clumsy', 'skillful')",-0.6499643,-0.16224422,-0.1191916,0.1694931,-0.2886847
31,0.4032393,0.77091575,"('evil', 'good')",-1.1535292,-0.95128,-0.3751449,-0.0901821,-0.2849628
2,0.3788954,0.44425964,"('unlikable', 'likable')",0.62986755,0.47441682,0.5043815,0.4593382,0.0450433
44,0.36837348,0.038869075,"('prejudiced', 'unprejudiced')",-1.4433024,-1.6835731,-0.5374644,-0.8223521,0.2848877
74,-0.3098948,-0.5902946,"('undedicated', 'dedicated')",-0.21923406,-0.6417049,-0.2645644,-0.6159998,0.3514354
33,0.30593967,0.36957633,"('wrong', 'right')",-0.9543741,-0.5307005,-0.3242172,-0.0805621,-0.2436551
12,-0.29659078,-0.55659854,"('unsupportive', 'supportive')",-1.8101976,-1.8993499,-1.0533942,-1.2279742,0.17458
16,0.2938179,0.33547664,"('unpopular', 'popular')",0.43836367,0.25272048,0.3660908,0.2940986,0.0719922
84,0.27999908,0.44707534,"('inferior', 'superior')",0.6470867,1.0247362,0.4635429,0.7359058,-0.2723629
82,-0.26506025,-0.0073212534,"('poor', 'rich')",5.8367424,6.5598946,2.785841,3.2762866,-0.4904456
26,-0.24614367,-0.09897867,"('hardhearted', 'benevolent')",1.1540349,1.10042,0.4539456,0.5007207,-0.0467751
56,-0.24063073,-1.0330665,"('impractical', 'practical')",0.07748267,-0.64661723,-0.081574,-0.8398418,0.7582678
87,-0.23458332,-0.78536296,"('unsuccessful', 'successful')",0.6422502,0.8761649,0.2038334,0.045401,0.1584324
64,-0.22831249,-0.70789295,"('shy', 'confident')",-5.216638,-6.357771,-2.7224753,-3.5328319,0.8103566
17,-0.21616337,-0.5092328,"('nasty', 'nice')",-0.5590016,-0.5703654,-0.3875825,-0.5397991,0.1522166
14,-0.203449,-0.7306265,"('antisocial', 'social')",0.35570487,-0.14018627,0.0761279,-0.4354064,0.5115343
42,-0.18821746,-1.1366897,"('unreliable', 'reliable')",-2.7915695,-3.5497777,-1.4898934,-2.3432336,0.8533402
61,-0.172943,-0.3074735,"('illogical', 'logical')",0.41671705,0.4307111,0.121887,0.0616188,0.0602682
32,-0.15265822,-0.4407926,"('unkind', 'kind')",1.035658,0.44106656,0.4414999,0.000137,0.4413629
38,-0.11653049,-0.66252196,"('untruthful', 'truthful')",-0.013507195,-0.07786591,-0.0650188,-0.3701939,0.3051751
4,0.08010538,-0.22032587,"('disliked', 'liked')",-5.8618298,-6.8621693,-2.8908622,-3.5412476,0.6503854
30,-0.06278541,-0.4820632,"('intolerant', 'tolerant')",1.2288519,0.70286286,0.5830333,0.1103998,0.4726335
54,-0.043410126,-0.4406896,"('incapable', 'capable')",0.4929919,0.6986036,0.2247909,0.128957,0.0958339
18,-0.03140337,0.16205886,"('disagreeable', 'welcoming')",-0.5592463,-0.2529592,-0.2953248,-0.0454502,-0.2498746
76,-0.02897885,-1.0296497,"('anxious', 'daring')",0.2811562,-0.54013777,0.1260887,-0.7848938,0.9109825
83,-0.028028741,-0.41534096,"('powerless', 'powerful')",-0.8487819,-0.9985705,-0.4384053,-0.7069557,0.2685504
81,-0.025430817,-0.8477032,"('submissive', 'aggressive')",0.36781526,-0.7133479,0.1711922,-0.7805256,0.9517178
67,0.019225169,-0.5325764,"('doubtful', 'determined')",-0.32854795,-0.8224296,-0.1546614,-0.677503,0.5228416
5,0.013664689,0.4056608,"('distant', 'outgoing')",-1.3191127,-0.38015634,-0.652724,0.0127522,-0.6654762
