,teradyne_male,teradyne_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-2.322341,-2.7145996,"('unsympathetic', 'sympathetic')",-0.3758494,-0.46709666,-1.3490952,-1.5908481,0.2417529
13,-1.8863143,-1.7307545,"('impolite', 'polite')",-0.7456056,-0.7022523,-1.3159599,-1.2165034,-0.0994565
86,-1.8281885,-2.0508935,"('uninfluential', 'influential')",-0.2591415,-0.30930474,-1.0436651,-1.1800991,0.136434
23,-1.8159724,-1.6581792,"('insincere', 'sincere')",5.421653,5.244402,1.8028402,1.7931113,0.0097289
7,-1.7521582,-1.7686784,"('insensitive', 'sensitive')",0.8201594,0.72869015,-0.4659994,-0.5199941,0.0539947
24,-1.7079487,-1.59797,"('dishonest', 'honest')",0.562407,0.6845894,-0.5727708,-0.4566903,-0.1160805
28,-1.6514846,-1.7142388,"('disloyal', 'loyal')",0.6700739,0.70827436,-0.4907053,-0.5029822,0.0122769
45,-1.645416,-1.835617,"('incompetent', 'competent')",-0.26346728,-0.19896369,-0.9544417,-1.0172904,0.0628487
21,-1.4411963,-1.8017039,"('immoral', 'moral')",-0.7663446,-0.80472577,-1.1037705,-1.3032148,0.1994443
70,-1.4138571,-1.6605655,"('lethargic', 'energetic')",0.61715007,0.46866846,-0.3983535,-0.5959485,0.197595
61,-1.3686737,-1.3088627,"('illogical', 'logical')",0.24699235,0.2393172,-0.5608407,-0.5347728,-0.0260679
43,-1.3461502,-1.383967,"('irresponsible', 'responsible')",0.7289703,0.70661926,-0.3085899,-0.3386739,0.030084
65,-1.3070122,-1.0658197,"('insecure', 'secure')",-0.27050066,-0.3945598,-0.7887564,-0.7301898,-0.0585666
30,-1.2795199,-1.1404645,"('intolerant', 'tolerant')",1.005037,1.1031119,-0.1372415,-0.0186763,-0.1185652
0,-1.2714347,-1.3837961,"('unsociable', 'sociable')",-0.52182704,-0.42952734,-0.8966309,-0.9066617,0.0100308
69,1.2554842,1.4504592,"('lazy', 'industrious')",-0.24910593,-0.102863416,0.5031891,0.6737979,-0.1706088
38,-1.188391,-1.2460129,"('untruthful', 'truthful')",-0.34169355,-0.115028575,-0.7650422,-0.6805208,-0.0845214
51,-1.1218102,-1.3593048,"('uneducated', 'educated')",0.18556961,0.17098263,-0.4681203,-0.5941611,0.1260408
74,-1.1152852,-1.1580834,"('undedicated', 'dedicated')",0.079920165,0.13678925,-0.5176825,-0.5106471,-0.0070354
82,-1.0215725,-0.9300381,"('poor', 'rich')",5.879908,5.8419623,2.4291677,2.4559622,-0.0267945
63,-1.0116683,-1.20999,"('unperceptive', 'insightful')",0.9181262,0.7589688,-0.046771,-0.2255106,0.1787396
53,-1.004073,-1.0418891,"('uncreative', 'creative')",0.84145653,0.89000845,-0.0813082,-0.0759403,-0.0053679
73,1.0011365,0.9597661,"('helpless', 'self-reliant')",-2.7594168,-2.601112,-0.8791401,-0.8206729,-0.0584672
81,-0.999972,-0.9512067,"('submissive', 'aggressive')",-0.71165675,-0.82809424,-0.8558143,-0.8896505,0.0338362
41,-0.99567515,-0.9659742,"('unforgiving', 'forgiving')",-0.13401788,-0.07398633,-0.5648465,-0.5199803,-0.0448662
