,nordstrom_male,nordstrom_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-1.8001682,-1.9081546,"('unsympathetic', 'sympathetic')",-0.5605356,-0.39334512,-1.1803519,-1.1507499,-0.029602
57,-1.7619158,-1.9404664,"('unimaginative', 'imaginative')",-2.567302,-2.793491,-2.164609,-2.3669786,0.2023696
69,1.5258833,1.4742746,"('lazy', 'industrious')",-0.5180857,-0.7002529,0.5038988,0.3870109,0.1168879
39,1.4577515,1.3977575,"('exploitative', 'cooperative')",0.15778449,0.26987344,0.807768,0.8338155,-0.0260475
21,-1.2983727,-1.2043905,"('immoral', 'moral')",-0.9431806,-0.50293803,-1.1207767,-0.8536643,-0.2671124
22,-1.2672802,-1.1745876,"('untrustworthy', 'trustworthy')",-1.0884393,-1.0140886,-1.1778598,-1.0943382,-0.0835216
70,-1.2448151,-1.1364834,"('lethargic', 'energetic')",0.26294875,0.4391083,-0.4909332,-0.3486876,-0.1422456
75,-1.144317,-0.84706324,"('meek', 'impulsive')",-0.64782155,-0.50855494,-0.8960693,-0.6778091,-0.2182602
81,-1.0736456,-0.92865163,"('submissive', 'aggressive')",-1.1450078,-0.72644246,-1.1093267,-0.8275471,-0.2817796
86,-1.0720302,-1.1691269,"('uninfluential', 'influential')",-0.078875534,-0.3736652,-0.5754529,-0.771396,0.1959431
71,1.0448456,1.0428848,"('diffident', 'self-confident')",0.63065946,0.4334622,0.8377525,0.7381735,0.099579
11,-1.0251067,-1.0005504,"('unhelpful', 'helpful')",1.5341382,1.764536,0.2545158,0.3819928,-0.127477
76,-0.98327947,-0.72483504,"('anxious', 'daring')",-0.19152826,0.23915666,-0.5874039,-0.2428392,-0.3445647
24,-0.89845335,-1.0458088,"('dishonest', 'honest')",0.2898239,0.31005582,-0.3043147,-0.3678765,0.0635618
33,0.88860303,0.7324159,"('wrong', 'right')",-0.53055716,-0.8031906,0.1790229,-0.0353873,0.2144102
45,-0.8669335,-0.8685422,"('incompetent', 'competent')",-0.48546955,-0.37605712,-0.6762015,-0.6222997,-0.0539018
53,-0.8244949,-1.0200307,"('uncreative', 'creative')",0.7065303,0.4411761,-0.0589823,-0.2894273,0.230445
3,-0.7917588,-0.945439,"('repellent', 'pleasant')",-0.05010862,0.11889246,-0.4209337,-0.4132733,-0.0076604
17,-0.78126115,-0.8007426,"('nasty', 'nice')",-0.6160662,-0.7550754,-0.6986637,-0.777909,0.0792453
7,-0.78012365,-0.9094877,"('insensitive', 'sensitive')",0.4542068,0.41562787,-0.1629584,-0.2469299,0.0839715
72,-0.7768489,-0.7706292,"('unambitious', 'ambitious')",-1.0895734,-0.98307914,-0.9332111,-0.8768542,-0.0563569
27,-0.77359736,-1.0528886,"('hardhearted', 'softhearted')",1.5878316,1.1067607,0.4071171,0.0269361,0.380181
14,-0.7618751,-0.44622138,"('antisocial', 'social')",-1.0013871,-0.5451468,-0.8816311,-0.4956841,-0.385947
62,-0.73726255,-0.43085796,"('incompetent', 'brilliant')",-0.29927254,0.12692161,-0.5182675,-0.1519682,-0.3662993
13,-0.71214354,-0.6527064,"('impolite', 'polite')",-0.89433795,-0.59482735,-0.8032408,-0.6237669,-0.1794739
77,-0.6694285,-0.7495895,"('unmotivated', 'motivated')",-1.4051911,-1.2152593,-1.0373098,-0.9824244,-0.0548854
88,-0.66448957,-0.7084629,"('low', 'eminent')",0.14736582,0.28366095,-0.2585619,-0.212401,-0.0461609
51,-0.64858425,-0.81278735,"('uneducated', 'educated')",0.7080172,0.51323557,0.0297165,-0.1497759,0.1794924
55,-0.63162017,-0.48351303,"('incompetent', 'clever')",-0.15831931,0.034877997,-0.3949697,-0.2243175,-0.1706522
64,-0.6295284,-0.67819554,"('shy', 'confident')",-6.534609,-6.565517,-3.5820687,-3.6218562,0.0397875
84,0.6290308,0.5680873,"('inferior', 'superior')",1.0818818,1.1780217,0.8554563,0.8730545,-0.0175982
49,-0.618182,-0.33531538,"('unable', 'able')",-0.30798286,-0.0035547167,-0.4630824,-0.1694351,-0.2936473
4,-0.6128792,-0.67537904,"('disliked', 'liked')",-6.262165,-6.7819834,-3.4375222,-3.7286811,0.2911589
31,-0.5896903,-0.77911985,"('evil', 'good')",-0.84975904,-1.2397364,-0.7197247,-1.0094281,0.2897034
30,-0.5896229,-0.54038167,"('intolerant', 'tolerant')",0.76927197,0.870973,0.0898245,0.1652957,-0.0754712
82,-0.5738062,-0.14097418,"('poor', 'rich')",5.623748,6.196757,2.5249708,3.0278914,-0.5029206
