,deere_male,deere_female,tuple,&_male,&_female,co_male,co_female,average_male,average_female,male-female
69,2.1392972,1.7087996,"('lazy', 'industrious')",0.69610715,0.32055914,0.497755,0.1513883,1.1110531,0.7269158,0.3841373
71,1.9216394,1.5904657,"('diffident', 'self-confident')",0.8929112,0.6001831,0.63279897,0.41521987,1.1491165,0.8686229,0.2804936
23,-1.6611123,-1.4937268,"('insincere', 'sincere')",-0.3533247,-0.07755241,3.9521174,4.249691,0.6458935,0.8928039,-0.2469104
33,1.5304673,1.001064,"('wrong', 'right')",0.8929657,0.3935799,-0.07226636,-0.51549923,0.7837222,0.2930482,0.490674
62,-1.5170391,-1.0462574,"('incompetent', 'brilliant')",-0.6143984,-0.20962095,-1.2200017,-1.3666697,-1.1171464,-0.8741827,-0.2429637
35,1.5061625,1.0815305,"('corrupt', 'incorrupt')",0.41438326,-0.028359048,0.7321371,0.71012235,0.8842276,0.5877646,0.296463
85,1.4394907,0.80757254,"('insignificant', 'prestigious')",1.8273414,1.3033435,1.5128756,1.1377246,1.593236,1.0828803,0.5103557
82,-1.3288803,-1.2545588,"('poor', 'rich')",-0.6220366,-0.40662837,4.1742253,4.7054324,0.7411029,1.0147484,-0.2736455
11,-1.3061458,-1.0580322,"('unhelpful', 'helpful')",-1.2149363,-0.89391553,1.2033035,1.2356422,-0.4392595,-0.2387685,-0.200491
6,1.2101768,0.52378374,"('distant', 'open')",0.88598406,0.5400152,1.0495688,0.83836955,1.0485765,0.6340562,0.4145203
48,-1.1522826,-1.1501858,"('unintelligent', 'intelligent')",-0.33997136,-0.33286545,-1.3422135,-1.5190804,-0.9448225,-1.0007106,0.0558881
42,1.1517571,1.1870883,"('unreliable', 'reliable')",0.6045606,0.6940522,-2.923053,-3.4008722,-0.3889118,-0.5065773,0.1176655
60,-1.1298037,-0.5913313,"('inefficient', 'efficient')",-0.19752964,0.18889017,-1.4744357,-1.4554491,-0.933923,-0.6192967,-0.3146263
46,-1.1079752,-0.45471922,"('uncompetitive', 'competitive')",-0.34208944,0.24301489,-0.8180246,-0.4965486,-0.7560298,-0.2360843,-0.5199455
45,-1.0751153,-0.36867166,"('incompetent', 'competent')",0.52719796,1.1940707,-0.9321082,-0.85416955,-0.4933418,-0.0095902,-0.4837516
3,-1.0210078,-0.9353142,"('repellent', 'pleasant')",-0.9746228,-0.73905647,-0.08266223,0.111977175,-0.6927643,-0.5207978,-0.1719665
79,1.0198911,0.69149476,"('wavering', 'unwavering')",0.5003139,0.45076236,0.47538033,0.5592072,0.6651951,0.5671548,0.0980403
30,-0.97897685,-0.762157,"('intolerant', 'tolerant')",-0.32753834,-0.19561815,-0.98549414,-1.0658668,-0.7640031,-0.6745474,-0.0894557
50,0.96340007,0.602069,"('clumsy', 'skillful')",1.2864081,1.1898636,0.5077106,0.27067918,0.9191729,0.6875373,0.2316356
72,-0.94798326,-0.9891635,"('unambitious', 'ambitious')",-0.74516016,-0.92671967,-1.4706206,-1.3904914,-1.054588,-1.1021248,0.0475368
13,-0.9386352,-0.5073078,"('impolite', 'polite')",-0.577628,-0.23165715,-0.8730611,-0.8036434,-0.7964415,-0.5142028,-0.2822387
70,-0.93855935,-0.34098986,"('lethargic', 'energetic')",-0.31258625,0.41034862,-0.9657983,-0.7637657,-0.7389813,-0.231469,-0.5075123
86,-0.92619914,-0.94371724,"('uninfluential', 'influential')",-0.09303723,-0.08766856,-1.0972247,-1.2021811,-0.705487,-0.7445223,0.0390353
73,0.91263455,0.8244399,"('helpless', 'self-reliant')",-0.23916191,-0.33496997,-2.770908,-3.0174541,-0.6991452,-0.8426614,0.1435162
